,Report_Date,Malaysia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,99.199864115461,5177.214976340356,True,1,297.8688003011709,10337.389173541716
1,2020-01-23,0,99.199864115461,5177.214976340356,True,2,308.41380883348285,10337.389173541716
2,2020-01-24,0,99.199864115461,5177.214976340356,True,3,319.3202732254189,10337.389173541716
3,2020-01-25,3,99.199864115461,5177.214976340356,True,4,330.5997314961729,10337.389173541716
4,2020-01-26,4,99.199864115461,5177.214976340356,True,5,342.2640288445885,10337.389173541716
5,2020-01-27,4,99.199864115461,5177.214976340356,True,6,354.3253213452522,10337.389173541716
6,2020-01-28,4,99.199864115461,5177.214976340356,True,7,366.7960793199262,10337.389173541716
7,2020-01-29,7,99.199864115461,5177.214976340356,True,8,379.68909034828926,10337.389173541716
8,2020-01-30,8,99.199864115461,5177.214976340356,True,9,393.01746187980484,10337.389173541716
9,2020-01-31,8,99.199864115461,5177.214976340356,True,10,406.7946234063192,10337.389173541716
10,2020-02-01,8,99.199864115461,5177.214976340356,True,11,421.0343281527352,10337.389173541716
11,2020-02-02,8,99.199864115461,5177.214976340356,True,12,435.75065424079986,10337.389173541716
12,2020-02-03,8,99.199864115461,5177.214976340356,True,13,450.9580052787067,10337.389173541716
13,2020-02-04,10,99.199864115461,5177.214976340356,True,14,466.67111032685017,10337.389173541716
14,2020-02-05,12,99.199864115461,5177.214976340356,True,15,482.9050231876922,10337.389173541716
15,2020-02-06,12,99.199864115461,5177.214976340356,True,16,499.67512096532664,10337.389173541716
16,2020-02-07,12,99.199864115461,5177.214976340356,True,17,516.9971018379625,10337.389173541716
17,2020-02-08,16,99.199864115461,5177.214976340356,True,18,534.886981984221,10337.389173541716
18,2020-02-09,16,99.199864115461,5177.214976340356,True,19,553.3610916018573,10337.389173541716
19,2020-02-10,18,99.199864115461,5177.214976340356,True,20,572.4360699553137,10337.389173541716
20,2020-02-11,18,99.199864115461,5177.214976340356,True,21,592.12885938639,10337.389173541716
21,2020-02-12,18,99.199864115461,5177.214976340356,True,22,612.4566982203278,10337.389173541716
22,2020-02-13,19,99.199864115461,5177.214976340356,True,23,633.4371124977516,10337.389173541716
23,2020-02-14,19,99.199864115461,5177.214976340356,True,24,655.0879064612378,10337.389173541716
24,2020-02-15,22,99.199864115461,5177.214976340356,True,25,677.4271517238242,10337.389173541716
25,2020-02-16,22,99.199864115461,5177.214976340356,True,26,700.4731750455508,10337.389173541716
26,2020-02-17,22,99.199864115461,5177.214976340356,True,27,724.2445446431904,10337.389173541716
27,2020-02-18,22,99.199864115461,5177.214976340356,True,28,748.7600549577132,10337.389173541716
28,2020-02-19,22,99.199864115461,5177.214976340356,True,29,774.038709803789,10337.389173541716
29,2020-02-20,22,99.199864115461,5177.214976340356,True,30,800.0997038257873,10337.389173541716
30,2020-02-21,22,99.199864115461,5177.214976340356,True,31,826.9624021853703,10337.389173541716
31,2020-02-22,22,99.199864115461,5177.214976340356,True,32,854.6463184068972,10337.389173541716
32,2020-02-23,22,99.199864115461,5177.214976340356,True,33,883.1710903085562,10337.389173541716
33,2020-02-24,22,99.199864115461,5177.214976340356,True,34,912.5564539494474,10337.389173541716
34,2020-02-25,22,99.199864115461,5177.214976340356,True,35,942.8222155258077,10337.389173541716
35,2020-02-26,22,99.199864115461,5177.214976340356,True,36,973.9882211532727,10337.389173541716
36,2020-02-27,23,99.199864115461,5177.214976340356,True,37,1006.0743244765381,10337.389173541716
37,2020-02-28,23,99.199864115461,5177.214976340356,True,38,1039.1003520530926,10337.389173541716
38,2020-02-29,25,99.199864115461,5177.214976340356,True,39,1073.0860664638888,10337.389173541716
39,2020-03-01,29,99.199864115461,5177.214976340356,True,40,1108.0511271109438,10337.389173541716
40,2020-03-02,29,99.199864115461,5177.214976340356,True,41,1144.0150486699924,10337.389173541716
41,2020-03-03,36,99.199864115461,5177.214976340356,True,42,1180.99715717545,10337.389173541716
42,2020-03-04,50,99.199864115461,5177.214976340356,True,43,1219.0165437251865,10337.389173541716
43,2020-03-05,50,99.199864115461,5177.214976340356,True,44,1258.0920158039314,10337.389173541716
44,2020-03-06,83,99.199864115461,5177.214976340356,True,45,1298.2420462366065,10337.389173541716
45,2020-03-07,93,99.199864115461,5177.214976340356,True,46,1339.4847197965091,10337.389173541716
46,2020-03-08,99,99.199864115461,5177.214976340356,True,47,1381.8376775080462,10337.389173541716
47,2020-03-09,117,99.199864115461,5177.214976340356,True,48,1425.3180586996832,10337.389173541716
48,2020-03-10,129,99.199864115461,5177.214976340356,True,49,1469.9424408798504,10337.389173541716
49,2020-03-11,149,99.199864115461,5177.214976340356,True,50,1515.726777526785,10337.389173541716
50,2020-03-12,149,99.199864115461,5177.214976340356,True,51,1562.6863339025438,10337.389173541716
51,2020-03-13,197,99.199864115461,5177.214976340356,True,52,1610.8356210217453,10337.389173541716
52,2020-03-14,238,99.199864115461,5177.214976340356,True,53,1660.1883279268056,10337.389173541716
53,2020-03-15,428,99.199864115461,5177.214976340356,True,54,1710.7572524434872,10337.389173541716
54,2020-03-16,566,99.199864115461,5177.214976340356,True,55,1762.5542306133555,10337.389173541716
55,2020-03-17,673,99.199864115461,5177.214976340356,True,56,1815.5900650230412,10337.389173541716
56,2020-03-18,790,99.199864115461,5177.214976340356,True,57,1869.8744522739519,10337.389173541716
57,2020-03-19,900,99.199864115461,5177.214976340356,True,58,1925.4159098599866,10337.389173541716
58,2020-03-20,1030,99.199864115461,5177.214976340356,True,59,1982.2217027447718,10337.389173541716
59,2020-03-21,1183,99.199864115461,5177.214976340356,True,60,2040.297769953602,10337.389173541716
60,2020-03-22,1306,99.199864115461,5177.214976340356,True,61,2099.6486515185074,10337.389173541716
