,Report_Date,Brazil_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,177.2092467064251,2054885.2014021748,True,1,2108.578745457855,3525008.116326144
1,2020-01-23,0,177.2092467064251,2054885.2014021748,True,2,2201.1456402142862,3525008.116326144
2,2020-01-24,0,177.2092467064251,2054885.2014021748,True,3,2297.7739611044467,3525008.116326144
3,2020-01-25,0,177.2092467064251,2054885.2014021748,True,4,2398.6417015981788,3525008.116326144
4,2020-01-26,0,177.2092467064251,2054885.2014021748,True,5,2503.9346374952165,3525008.116326144
5,2020-01-27,0,177.2092467064251,2054885.2014021748,True,6,2613.8466655465277,3525008.116326144
6,2020-01-28,0,177.2092467064251,2054885.2014021748,True,7,2728.5801566621208,3525008.116326144
7,2020-01-29,0,177.2092467064251,2054885.2014021748,True,8,2848.3463243203464,3525008.116326144
8,2020-01-30,0,177.2092467064251,2054885.2014021748,True,9,2973.365608818486,3525008.116326144
9,2020-01-31,0,177.2092467064251,2054885.2014021748,True,10,3103.8680780299933,3525008.116326144
10,2020-02-01,0,177.2092467064251,2054885.2014021748,True,11,3240.0938453603067,3525008.116326144
11,2020-02-02,0,177.2092467064251,2054885.2014021748,True,12,3382.293505620578,3525008.116326144
12,2020-02-03,0,177.2092467064251,2054885.2014021748,True,13,3530.7285895670275,3525008.116326144
13,2020-02-04,0,177.2092467064251,2054885.2014021748,True,14,3685.672037883035,3525008.116326144
14,2020-02-05,0,177.2092467064251,2054885.2014021748,True,15,3847.408695411334,3525008.116326144
15,2020-02-06,0,177.2092467064251,2054885.2014021748,True,16,4016.235826475072,3525008.116326144
16,2020-02-07,0,177.2092467064251,2054885.2014021748,True,17,4192.463652158763,3525008.116326144
17,2020-02-08,0,177.2092467064251,2054885.2014021748,True,18,4376.415910453582,3525008.116326144
18,2020-02-09,0,177.2092467064251,2054885.2014021748,True,19,4568.430440205758,3525008.116326144
19,2020-02-10,0,177.2092467064251,2054885.2014021748,True,20,4768.859789842335,3525008.116326144
20,2020-02-11,0,177.2092467064251,2054885.2014021748,True,21,4978.071851884954,3525008.116326144
21,2020-02-12,0,177.2092467064251,2054885.2014021748,True,22,5196.450524299905,3525008.116326144
22,2020-02-13,0,177.2092467064251,2054885.2014021748,True,23,5424.396399771168,3525008.116326144
23,2020-02-14,0,177.2092467064251,2054885.2014021748,True,24,5662.327484022846,3525008.116326144
24,2020-02-15,0,177.2092467064251,2054885.2014021748,True,25,5910.679944357937,3525008.116326144
25,2020-02-16,0,177.2092467064251,2054885.2014021748,True,26,6169.908889622026,3525008.116326144
26,2020-02-17,0,177.2092467064251,2054885.2014021748,True,27,6440.4891828431455,3525008.116326144
27,2020-02-18,0,177.2092467064251,2054885.2014021748,True,28,6722.916287842502,3525008.116326144
28,2020-02-19,0,177.2092467064251,2054885.2014021748,True,29,7017.707151155368,3525008.116326144
29,2020-02-20,0,177.2092467064251,2054885.2014021748,True,30,7325.401120646667,3525008.116326144
30,2020-02-21,0,177.2092467064251,2054885.2014021748,True,31,7646.5609022520275,3525008.116326144
31,2020-02-22,0,177.2092467064251,2054885.2014021748,True,32,7981.773556321955,3525008.116326144
