,Report_Date,Turkey_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,89.5536165235743,81909.64895013064,True,1,18.613015197989874,163575.18788930454
1,2020-01-23,0,89.5536165235743,81909.64895013064,True,2,20.62315121402526,163575.18788930454
2,2020-01-24,0,89.5536165235743,81909.64895013064,True,3,22.850344116658196,163575.18788930454
3,2020-01-25,0,89.5536165235743,81909.64895013064,True,4,25.318025073567505,163575.18788930454
4,2020-01-26,0,89.5536165235743,81909.64895013064,True,5,28.05215306431742,163575.18788930454
5,2020-01-27,0,89.5536165235743,81909.64895013064,True,6,31.08148722965022,163575.18788930454
6,2020-01-28,0,89.5536165235743,81909.64895013064,True,7,34.43788848265358,163575.18788930454
7,2020-01-29,0,89.5536165235743,81909.64895013064,True,8,38.156653507237344,163575.18788930454
8,2020-01-30,0,89.5536165235743,81909.64895013064,True,9,42.276884598949586,163575.18788930454
9,2020-01-31,0,89.5536165235743,81909.64895013064,True,10,46.84189916654501,163575.18788930454
10,2020-02-01,0,89.5536165235743,81909.64895013064,True,11,51.899683113130955,163575.18788930454
11,2020-02-02,0,89.5536165235743,81909.64895013064,True,12,57.503392756650584,163575.18788930454
12,2020-02-03,0,89.5536165235743,81909.64895013064,True,13,63.71191043468538,163575.18788930454
13,2020-02-04,0,89.5536165235743,81909.64895013064,True,14,70.5904594720926,163575.18788930454
14,2020-02-05,0,89.5536165235743,81909.64895013064,True,15,78.21128477613726,163575.18788930454
15,2020-02-06,0,89.5536165235743,81909.64895013064,True,16,86.65440596707691,163575.18788930454
16,2020-02-07,0,89.5536165235743,81909.64895013064,True,17,96.00845065740447,163575.18788930454
17,2020-02-08,0,89.5536165235743,81909.64895013064,True,18,106.37157626513536,163575.18788930454
18,2020-02-09,0,89.5536165235743,81909.64895013064,True,19,117.85248959080324,163575.18788930454
19,2020-02-10,0,89.5536165235743,81909.64895013064,True,20,130.57157430944304,163575.18788930454
20,2020-02-11,0,89.5536165235743,81909.64895013064,True,21,144.66213753304342,163575.18788930454
21,2020-02-12,0,89.5536165235743,81909.64895013064,True,22,160.27178769086882,163575.18788930454
22,2020-02-13,0,89.5536165235743,81909.64895013064,True,23,177.56395715952323,163575.18788930454
23,2020-02-14,0,89.5536165235743,81909.64895013064,True,24,196.71958435598899,163575.18788930454
24,2020-02-15,0,89.5536165235743,81909.64895013064,True,25,217.93897138869556,163575.18788930454
25,2020-02-16,0,89.5536165235743,81909.64895013064,True,26,241.44383484638158,163575.18788930454
26,2020-02-17,0,89.5536165235743,81909.64895013064,True,27,267.4795688929742,163575.18788930454
27,2020-02-18,0,89.5536165235743,81909.64895013064,True,28,296.31774152765826,163575.18788930454
28,2020-02-19,0,89.5536165235743,81909.64895013064,True,29,328.2588466586264,163575.18788930454
29,2020-02-20,0,89.5536165235743,81909.64895013064,True,30,363.6353365189137,163575.18788930454
30,2020-02-21,0,89.5536165235743,81909.64895013064,True,31,402.8149609106288,163575.18788930454
31,2020-02-22,0,89.5536165235743,81909.64895013064,True,32,446.2044417811709,163575.18788930454
32,2020-02-23,0,89.5536165235743,81909.64895013064,True,33,494.25351368529647,163575.18788930454
33,2020-02-24,0,89.5536165235743,81909.64895013064,True,34,547.459362734212,163575.18788930454
