,Report_Date,Suriname_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,62.98649434041254,5.612469456123989,True,1,0.00013475995870318138,11.145012222969873
1,2020-01-23,0,62.98649434041254,5.612469456123989,True,2,0.00016178636614178827,11.145012222969873
2,2020-01-24,0,62.98649434041254,5.612469456123989,True,3,0.00019423288551005235,11.145012222969873
3,2020-01-25,0,62.98649434041254,5.612469456123989,True,4,0.00023318647202842568,11.145012222969873
4,2020-01-26,0,62.98649434041254,5.612469456123989,True,5,0.00027995204184829396,11.145012222969873
5,2020-01-27,0,62.98649434041254,5.612469456123989,True,6,0.0003360961704527671,11.145012222969873
6,2020-01-28,0,62.98649434041254,5.612469456123989,True,7,0.00040349954847455037,11.145012222969873
7,2020-01-29,0,62.98649434041254,5.612469456123989,True,8,0.0004844199483986568,11.145012222969873
8,2020-01-30,0,62.98649434041254,5.612469456123989,True,9,0.000581567806015412,11.145012222969873
9,2020-01-31,0,62.98649434041254,5.612469456123989,True,10,0.0006981969406011121,11.145012222969873
10,2020-02-01,0,62.98649434041254,5.612469456123989,True,11,0.0008382134413645553,11.145012222969873
11,2020-02-02,0,62.98649434041254,5.612469456123989,True,12,0.0010063063510880057,11.145012222969873
12,2020-02-03,0,62.98649434041254,5.612469456123989,True,13,0.0012081045006200582,11.145012222969873
13,2020-02-04,0,62.98649434041254,5.612469456123989,True,14,0.0014503647131416096,11.145012222969873
14,2020-02-05,0,62.98649434041254,5.612469456123989,True,15,0.0017411976324483434,11.145012222969873
15,2020-02-06,0,62.98649434041254,5.612469456123989,True,16,0.002090338667450229,11.145012222969873
16,2020-02-07,0,62.98649434041254,5.612469456123989,True,17,0.0025094730241178283,11.145012222969873
17,2020-02-08,0,62.98649434041254,5.612469456123989,True,18,0.0030126255613857544,11.145012222969873
18,2020-02-09,0,62.98649434041254,5.612469456123989,True,19,0.003616628311904724,11.145012222969873
19,2020-02-10,0,62.98649434041254,5.612469456123989,True,20,0.004341681013465491,11.145012222969873
20,2020-02-11,0,62.98649434041254,5.612469456123989,True,21,0.005212022973304856,11.145012222969873
21,2020-02-12,0,62.98649434041254,5.612469456123989,True,22,0.006256738116351528,11.145012222969873
22,2020-02-13,0,62.98649434041254,5.612469456123989,True,23,0.007510719241122966,11.145012222969873
23,2020-02-14,0,62.98649434041254,5.612469456123989,True,24,0.009015822424648892,11.145012222969873
24,2020-02-15,0,62.98649434041254,5.612469456123989,True,25,0.010822248289870929,11.145012222969873
25,2020-02-16,0,62.98649434041254,5.612469456123989,True,26,0.01299019358950333,11.145012222969873
26,2020-02-17,0,62.98649434041254,5.612469456123989,True,27,0.01559182438161349,11.145012222969873
27,2020-02-18,0,62.98649434041254,5.612469456123989,True,28,0.018713631073926276,11.145012222969873
28,2020-02-19,0,62.98649434041254,5.612469456123989,True,29,0.02245923586607309,11.145012222969873
29,2020-02-20,0,62.98649434041254,5.612469456123989,True,30,0.02695273463541214,11.145012222969873
30,2020-02-21,0,62.98649434041254,5.612469456123989,True,31,0.03234266801011138,11.145012222969873
31,2020-02-22,0,62.98649434041254,5.612469456123989,True,32,0.03880673001513967,11.145012222969873
32,2020-02-23,0,62.98649434041254,5.612469456123989,True,33,0.046557336784172315,11.145012222969873
33,2020-02-24,0,62.98649434041254,5.612469456123989,True,34,0.05584819156215429,11.145012222969873
34,2020-02-25,0,62.98649434041254,5.612469456123989,True,35,0.06698199420522319,11.145012222969873
35,2020-02-26,0,62.98649434041254,5.612469456123989,True,36,0.08031945147515492,11.145012222969873
36,2020-02-27,0,62.98649434041254,5.612469456123989,True,37,0.09628974540013334,11.145012222969873
37,2020-02-28,0,62.98649434041254,5.612469456123989,True,38,0.11540260611364354,11.145012222969873
38,2020-02-29,0,62.98649434041254,5.612469456123989,True,39,0.13826210615611015,11.145012222969873
39,2020-03-01,0,62.98649434041254,5.612469456123989,True,40,0.16558223586210136,11.145012222969873
40,2020-03-02,0,62.98649434041254,5.612469456123989,True,41,0.1982042214725631,11.145012222969873
41,2020-03-03,0,62.98649434041254,5.612469456123989,True,42,0.2371153923543427,11.145012222969873
42,2020-03-04,0,62.98649434041254,5.612469456123989,True,43,0.28346917016406087,11.145012222969873
43,2020-03-05,0,62.98649434041254,5.612469456123989,True,44,0.33860541582425735,11.145012222969873
44,2020-03-06,0,62.98649434041254,5.612469456123989,True,45,0.4040699020538024,11.145012222969873
45,2020-03-07,0,62.98649434041254,5.612469456123989,True,46,0.48163105339468276,11.145012222969873
46,2020-03-08,0,62.98649434041254,5.612469456123989,True,47,0.5732912944150688,11.145012222969873
47,2020-03-09,0,62.98649434041254,5.612469456123989,True,48,0.681289373949652,11.145012222969873
48,2020-03-10,0,62.98649434041254,5.612469456123989,True,49,0.8080889345982878,11.145012222969873
49,2020-03-11,0,62.98649434041254,5.612469456123989,True,50,0.9563474878671935,11.145012222969873
50,2020-03-12,0,62.98649434041254,5.612469456123989,True,51,1.128859055758187,11.145012222969873
51,2020-03-13,0,62.98649434041254,5.612469456123989,True,52,1.3284634046780215,11.145012222969873
52,2020-03-14,1,62.98649434041254,5.612469456123989,True,53,1.557915531833672,11.145012222969873
53,2020-03-15,1,62.98649434041254,5.612469456123989,True,54,1.8197114871622884,11.145012222969873
54,2020-03-16,1,62.98649434041254,5.612469456123989,True,55,2.1158713391109485,11.145012222969873
55,2020-03-17,1,62.98649434041254,5.612469456123989,True,56,2.447687488040385,11.145012222969873
