,Report_Date,Tanzania_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,67.07823884574128,14.721347206508273,True,1,0.00034955234306192955,28.877783640859217
1,2020-01-23,0,67.07823884574128,14.721347206508273,True,2,0.0004150028453787715,28.877783640859217
2,2020-01-24,0,67.07823884574128,14.721347206508273,True,3,0.000492708154882778,28.877783640859217
3,2020-01-25,0,67.07823884574128,14.721347206508273,True,4,0.0005849627505575926,28.877783640859217
4,2020-01-26,0,67.07823884574128,14.721347206508273,True,5,0.0006944906744310743,28.877783640859217
5,2020-01-27,0,67.07823884574128,14.721347206508273,True,6,0.0008245259385386219,28.877783640859217
6,2020-01-28,0,67.07823884574128,14.721347206508273,True,7,0.0009789079769460473,28.877783640859217
7,2020-01-29,0,67.07823884574128,14.721347206508273,True,8,0.0011621949555713361,28.877783640859217
8,2020-01-30,0,67.07823884574128,14.721347206508273,True,9,0.0013797982774305462,28.877783640859217
9,2020-01-31,0,67.07823884574128,14.721347206508273,True,10,0.0016381422433713237,28.877783640859217
10,2020-02-01,0,67.07823884574128,14.721347206508273,True,11,0.0019448535663157819,28.877783640859217
11,2020-02-02,0,67.07823884574128,14.721347206508273,True,12,0.002308986311722716,28.877783640859217
12,2020-02-03,0,67.07823884574128,14.721347206508273,True,13,0.002741288873406988,28.877783640859217
13,2020-02-04,0,67.07823884574128,14.721347206508273,True,14,0.0032545208214716926,28.877783640859217
14,2020-02-05,0,67.07823884574128,14.721347206508273,True,15,0.003863828912540496,28.877783640859217
15,2020-02-06,0,67.07823884574128,14.721347206508273,True,16,0.004587193272350404,28.877783640859217
16,2020-02-07,0,67.07823884574128,14.721347206508273,True,17,0.0054459567946382684,28.877783640859217
17,2020-02-08,0,67.07823884574128,14.721347206508273,True,18,0.00646545320364099,28.877783640859217
18,2020-02-09,0,67.07823884574128,14.721347206508273,True,19,0.007675752065000877,28.877783640859217
19,2020-02-10,0,67.07823884574128,14.721347206508273,True,20,0.009112542376205103,28.877783640859217
20,2020-02-11,0,67.07823884574128,14.721347206508273,True,21,0.01081818030903248,28.877783640859217
21,2020-02-12,0,67.07823884574128,14.721347206508273,True,22,0.01284293131138892,28.877783640859217
22,2020-02-13,0,67.07823884574128,14.721347206508273,True,23,0.015246442216183268,28.877783640859217
23,2020-02-14,0,67.07823884574128,14.721347206508273,True,24,0.0180994853759466,28.877783640859217
24,2020-02-15,0,67.07823884574128,14.721347206508273,True,25,0.021486024282382103,28.877783640859217
25,2020-02-16,0,67.07823884574128,14.721347206508273,True,26,0.025505658790210564,28.877783640859217
26,2020-02-17,0,67.07823884574128,14.721347206508273,True,27,0.030276518102874236,28.877783640859217
27,2020-02-18,0,67.07823884574128,14.721347206508273,True,28,0.035938681253828986,28.877783640859217
28,2020-02-19,0,67.07823884574128,14.721347206508273,True,29,0.04265821808213624,28.877783640859217
29,2020-02-20,0,67.07823884574128,14.721347206508273,True,30,0.050631958779646914,28.877783640859217
30,2020-02-21,0,67.07823884574128,14.721347206508273,True,31,0.060093117052082354,28.877783640859217
31,2020-02-22,0,67.07823884574128,14.721347206508273,True,32,0.07131791077011758,28.877783640859217
32,2020-02-23,0,67.07823884574128,14.721347206508273,True,33,0.08463334452484624,28.877783640859217
33,2020-02-24,0,67.07823884574128,14.721347206508273,True,34,0.10042634035319647,28.877783640859217
34,2020-02-25,0,67.07823884574128,14.721347206508273,True,35,0.11915442533041616,28.877783640859217
35,2020-02-26,0,67.07823884574128,14.721347206508273,True,36,0.1413582065068516,28.877783640859217
36,2020-02-27,0,67.07823884574128,14.721347206508273,True,37,0.1676758828471009,28.877783640859217
37,2020-02-28,0,67.07823884574128,14.721347206508273,True,38,0.19886005745545923,28.877783640859217
38,2020-02-29,0,67.07823884574128,14.721347206508273,True,39,0.2357971170930126,28.877783640859217
39,2020-03-01,0,67.07823884574128,14.721347206508273,True,40,0.2795294335684499,28.877783640859217
40,2020-03-02,0,67.07823884574128,14.721347206508273,True,41,0.3312806042635263,28.877783640859217
41,2020-03-03,0,67.07823884574128,14.721347206508273,True,42,0.39248387482414426,28.877783640859217
42,2020-03-04,0,67.07823884574128,14.721347206508273,True,43,0.4648137598031422,28.877783640859217
43,2020-03-05,0,67.07823884574128,14.721347206508273,True,44,0.5502206757364071,28.877783640859217
44,2020-03-06,0,67.07823884574128,14.721347206508273,True,45,0.6509680991172807,28.877783640859217
45,2020-03-07,0,67.07823884574128,14.721347206508273,True,46,0.7696713265817076,28.877783640859217
46,2020-03-08,0,67.07823884574128,14.721347206508273,True,47,0.9093363090362789,28.877783640859217
47,2020-03-09,0,67.07823884574128,14.721347206508273,True,48,1.0733962161404942,28.877783640859217
48,2020-03-10,0,67.07823884574128,14.721347206508273,True,49,1.2657423272317054,28.877783640859217
49,2020-03-11,0,67.07823884574128,14.721347206508273,True,50,1.490744519248168,28.877783640859217
50,2020-03-12,0,67.07823884574128,14.721347206508273,True,51,1.7532550442339971,28.877783640859217
51,2020-03-13,0,67.07823884574128,14.721347206508273,True,52,2.058587531011406,28.877783640859217
52,2020-03-14,0,67.07823884574128,14.721347206508273,True,53,2.4124613755949156,28.877783640859217
53,2020-03-15,0,67.07823884574128,14.721347206508273,True,54,2.8209002091815676,28.877783640859217
54,2020-03-16,1,67.07823884574128,14.721347206508273,True,55,3.29007243629798,28.877783640859217
55,2020-03-17,1,67.07823884574128,14.721347206508273,True,56,3.8260626033635665,28.877783640859217
