,Report_Date,Belgium_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,86.59029014895894,32110.28702206308,True,1,81.50185940570772,64218.448033759996
1,2020-01-23,0,86.59029014895894,32110.28702206308,True,2,88.0963575292777,64218.448033759996
2,2020-01-24,0,86.59029014895894,32110.28702206308,True,3,95.22363910756094,64218.448033759996
3,2020-01-25,0,86.59029014895894,32110.28702206308,True,4,102.92661550298345,64218.448033759996
4,2020-01-26,0,86.59029014895894,32110.28702206308,True,5,111.25163179969546,64218.448033759996
5,2020-01-27,0,86.59029014895894,32110.28702206308,True,6,120.24873778885708,64218.448033759996
6,2020-01-28,0,86.59029014895894,32110.28702206308,True,7,129.97197970236496,64218.448033759996
7,2020-01-29,0,86.59029014895894,32110.28702206308,True,8,140.4797141753117,64218.448033759996
8,2020-01-30,0,86.59029014895894,32110.28702206308,True,9,151.83494600428548,64218.448033759996
9,2020-01-31,0,86.59029014895894,32110.28702206308,True,10,164.10569135707016,64218.448033759996
10,2020-02-01,0,86.59029014895894,32110.28702206308,True,11,177.36536817867446,64218.448033759996
11,2020-02-02,0,86.59029014895894,32110.28702206308,True,12,191.6932156279809,64218.448033759996
12,2020-02-03,0,86.59029014895894,32110.28702206308,True,13,207.17474446751945,64218.448033759996
13,2020-02-04,1,86.59029014895894,32110.28702206308,True,14,223.90222041452793,64218.448033759996
14,2020-02-05,1,86.59029014895894,32110.28702206308,True,15,241.97518254283864,64218.448033759996
15,2020-02-06,1,86.59029014895894,32110.28702206308,True,16,261.50099890015167,64218.448033759996
16,2020-02-07,1,86.59029014895894,32110.28702206308,True,17,282.5954615714074,64218.448033759996
17,2020-02-08,1,86.59029014895894,32110.28702206308,True,18,305.3834234732653,64218.448033759996
18,2020-02-09,1,86.59029014895894,32110.28702206308,True,19,329.99947920357585,64218.448033759996
19,2020-02-10,1,86.59029014895894,32110.28702206308,True,20,356.58869228898345,64218.448033759996
20,2020-02-11,1,86.59029014895894,32110.28702206308,True,21,385.3073711684791,64218.448033759996
21,2020-02-12,1,86.59029014895894,32110.28702206308,True,22,416.3238962150238,64218.448033759996
