,Report_Date,UK_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,92.96895677890784,138884.32210414065,True,1,299.77217105075414,277302.99732299667
1,2020-01-23,0,92.96895677890784,138884.32210414065,True,2,322.85669088355513,277302.99732299667
2,2020-01-24,0,92.96895677890784,138884.32210414065,True,3,347.7166498575524,277302.99732299667
3,2020-01-25,0,92.96895677890784,138884.32210414065,True,4,374.4882414398167,277302.99732299667
4,2020-01-26,0,92.96895677890784,138884.32210414065,True,5,403.3180495103875,277302.99732299667
5,2020-01-27,0,92.96895677890784,138884.32210414065,True,6,434.3638319548033,277302.99732299667
6,2020-01-28,0,92.96895677890784,138884.32210414065,True,7,467.7953618916769,277302.99732299667
7,2020-01-29,0,92.96895677890784,138884.32210414065,True,8,503.79533053918556,277302.99732299667
8,2020-01-30,0,92.96895677890784,138884.32210414065,True,9,542.5603159639078,277302.99732299667
9,2020-01-31,2,92.96895677890784,138884.32210414065,True,10,584.3018222027218,277302.99732299667
10,2020-02-01,2,92.96895677890784,138884.32210414065,True,11,629.2473935024215,277302.99732299667
11,2020-02-02,2,92.96895677890784,138884.32210414065,True,12,677.641808680945,277302.99732299667
12,2020-02-03,8,92.96895677890784,138884.32210414065,True,13,729.748360876878,277302.99732299667
13,2020-02-04,8,92.96895677890784,138884.32210414065,True,14,785.8502282179792,277302.99732299667
14,2020-02-05,9,92.96895677890784,138884.32210414065,True,15,846.2519412021355,277302.99732299667
15,2020-02-06,9,92.96895677890784,138884.32210414065,True,16,911.2809528420098,277302.99732299667
16,2020-02-07,9,92.96895677890784,138884.32210414065,True,17,981.2893178736289,277302.99732299667
17,2020-02-08,13,92.96895677890784,138884.32210414065,True,18,1056.6554875643026,277302.99732299667
18,2020-02-09,14,92.96895677890784,138884.32210414065,True,19,1137.7862268706783,277302.99732299667
19,2020-02-10,14,92.96895677890784,138884.32210414065,True,20,1225.118660886394,277302.99732299667
20,2020-02-11,15,92.96895677890784,138884.32210414065,True,21,1319.1224576723328,277302.99732299667
21,2020-02-12,16,92.96895677890784,138884.32210414065,True,22,1420.3021546711361,277302.99732299667
22,2020-02-13,17,92.96895677890784,138884.32210414065,True,23,1529.1996359598843,277302.99732299667
23,2020-02-14,18,92.96895677890784,138884.32210414065,True,24,1646.3967675772417,277302.99732299667
24,2020-02-15,18,92.96895677890784,138884.32210414065,True,25,1772.5181980583736,277302.99732299667
25,2020-02-16,18,92.96895677890784,138884.32210414065,True,26,1908.2343311044053,277302.99732299667
26,2020-02-17,19,92.96895677890784,138884.32210414065,True,27,2054.2644769823432,277302.99732299667
27,2020-02-18,19,92.96895677890784,138884.32210414065,True,28,2211.380188772294,277302.99732299667
28,2020-02-19,20,92.96895677890784,138884.32210414065,True,29,2380.4087889241227,277302.99732299667
29,2020-02-20,22,92.96895677890784,138884.32210414065,True,30,2562.23709072422,277302.99732299667
30,2020-02-21,23,92.96895677890784,138884.32210414065,True,31,2757.815318169592,277302.99732299667
31,2020-02-22,23,92.96895677890784,138884.32210414065,True,32,2968.161226361027,277302.99732299667
32,2020-02-23,28,92.96895677890784,138884.32210414065,True,33,3194.3644228150692,277302.99732299667
33,2020-02-24,30,92.96895677890784,138884.32210414065,True,34,3437.590888005883,277302.99732299667
34,2020-02-25,34,92.96895677890784,138884.32210414065,True,35,3699.087690927391,277302.99732299667
35,2020-02-26,37,92.96895677890784,138884.32210414065,True,36,3980.1878924522844,277302.99732299667
36,2020-02-27,44,92.96895677890784,138884.32210414065,True,37,4282.315625690554,277302.99732299667
37,2020-02-28,56,92.96895677890784,138884.32210414065,True,38,4606.991338343749,277302.99732299667
38,2020-02-29,61,92.96895677890784,138884.32210414065,True,39,4955.837177134016,277302.99732299667
39,2020-03-01,94,92.96895677890784,138884.32210414065,True,40,5330.582488676616,277302.99732299667
40,2020-03-02,134,92.96895677890784,138884.32210414065,True,41,5733.0694045741175,277302.99732299667
41,2020-03-03,189,92.96895677890784,138884.32210414065,True,42,6165.258470951064,277302.99732299667
42,2020-03-04,245,92.96895677890784,138884.32210414065,True,43,6629.2342740297645,277302.99732299667
43,2020-03-05,294,92.96895677890784,138884.32210414065,True,44,7127.211003583706,277302.99732299667
44,2020-03-06,373,92.96895677890784,138884.32210414065,True,45,7661.537885113177,277302.99732299667
45,2020-03-07,428,92.96895677890784,138884.32210414065,True,46,8234.704399296466,277302.99732299667
