,Report_Date,Australia_new south wales_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,68.44579104296513,1690.3633977736743,True,1,0.039999581565564074,3293.0170198335886
1,2020-01-23,0,68.44579104296513,1690.3633977736743,True,2,0.04732656866380958,3293.0170198335886
2,2020-01-24,0,68.44579104296513,1690.3633977736743,True,3,0.05599566607008583,3293.0170198335886
3,2020-01-25,0,68.44579104296513,1690.3633977736743,True,4,0.06625270401693117,3293.0170198335886
4,2020-01-26,3,68.44579104296513,1690.3633977736743,True,5,0.0783885371521739,3293.0170198335886
5,2020-01-27,4,68.44579104296513,1690.3633977736743,True,6,0.0927472894502933,3293.0170198335886
6,2020-01-28,4,68.44579104296513,1690.3633977736743,True,7,0.10973610837080805,3293.0170198335886
7,2020-01-29,4,68.44579104296513,1690.3633977736743,True,8,0.12983670430690855,3293.0170198335886
8,2020-01-30,4,68.44579104296513,1690.3633977736743,True,9,0.15361900176525084,3293.0170198335886
9,2020-01-31,4,68.44579104296513,1690.3633977736743,True,10,0.1817572882803253,3293.0170198335886
10,2020-02-01,4,68.44579104296513,1690.3633977736743,True,11,0.2150493174461256,3293.0170198335886
11,2020-02-02,4,68.44579104296513,1690.3633977736743,True,12,0.25443890558791443,3293.0170198335886
12,2020-02-03,4,68.44579104296513,1690.3633977736743,True,13,0.3010426597827982,3293.0170198335886
13,2020-02-04,4,68.44579104296513,1690.3633977736743,True,14,0.3561815908523006,3293.0170198335886
14,2020-02-05,4,68.44579104296513,1690.3633977736743,True,15,0.42141850173806134,3293.0170198335886
15,2020-02-06,4,68.44579104296513,1690.3633977736743,True,16,0.49860220301321234,3293.0170198335886
16,2020-02-07,4,68.44579104296513,1690.3633977736743,True,17,0.589919797473839,3293.0170198335886
17,2020-02-08,4,68.44579104296513,1690.3633977736743,True,18,0.6979584998012753,3293.0170198335886
18,2020-02-09,4,68.44579104296513,1690.3633977736743,True,19,0.8257787209957953,3293.0170198335886
19,2020-02-10,4,68.44579104296513,1690.3633977736743,True,20,0.9770004573725066,3293.0170198335886
20,2020-02-11,4,68.44579104296513,1690.3633977736743,True,21,1.155905388110346,3293.0170198335886
21,2020-02-12,4,68.44579104296513,1690.3633977736743,True,22,1.3675575124961714,3293.0170198335886
22,2020-02-13,4,68.44579104296513,1690.3633977736743,True,23,1.6179456581444598,3293.0170198335886
