,Report_Date,Australia_new south wales_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
23,2020-02-14,4,68.44579104296513,1690.3633977736743,True,24,1.9141517758825046,3293.0170198335886
24,2020-02-15,4,68.44579104296513,1690.3633977736743,True,25,2.264549618198185,3293.0170198335886
25,2020-02-16,4,68.44579104296513,1690.3633977736743,True,26,2.67903918982776,3293.0170198335886
26,2020-02-17,4,68.44579104296513,1690.3633977736743,True,27,3.169323275802669,3293.0170198335886
27,2020-02-18,4,68.44579104296513,1690.3633977736743,True,28,3.7492334091264965,3293.0170198335886
28,2020-02-19,4,68.44579104296513,1690.3633977736743,True,29,4.435113851959285,3293.0170198335886
29,2020-02-20,4,68.44579104296513,1690.3633977736743,True,30,5.246273543953672,3293.0170198335886
30,2020-02-21,4,68.44579104296513,1690.3633977736743,True,31,6.205517528997907,3293.0170198335886
31,2020-02-22,4,68.44579104296513,1690.3633977736743,True,32,7.3397711106056445,3293.0170198335886
32,2020-02-23,4,68.44579104296513,1690.3633977736743,True,33,8.680811899702096,3293.0170198335886
33,2020-02-24,4,68.44579104296513,1690.3633977736743,True,34,10.266126983425321,3293.0170198335886
34,2020-02-25,4,68.44579104296513,1690.3633977736743,True,35,12.139914611916485,3293.0170198335886
35,2020-02-26,4,68.44579104296513,1690.3633977736743,True,36,14.354251987631091,3293.0170198335886
36,2020-02-27,4,68.44579104296513,1690.3633977736743,True,37,16.97045281169197,3293.0170198335886
37,2020-02-28,4,68.44579104296513,1690.3633977736743,True,38,20.060639983199607,3293.0170198335886
38,2020-02-29,4,68.44579104296513,1690.3633977736743,True,39,23.709559945971712,3293.0170198335886
39,2020-03-01,6,68.44579104296513,1690.3633977736743,True,40,28.01666517765448,3293.0170198335886
40,2020-03-02,6,68.44579104296513,1690.3633977736743,True,41,33.098489574181464,3293.0170198335886
41,2020-03-03,13,68.44579104296513,1690.3633977736743,True,42,39.09133710543494,3293.0170198335886
42,2020-03-04,22,68.44579104296513,1690.3633977736743,True,43,46.15429589479574,3293.0170198335886
43,2020-03-05,22,68.44579104296513,1690.3633977736743,True,44,54.47257620025171,3293.0170198335886
44,2020-03-06,26,68.44579104296513,1690.3633977736743,True,45,64.26114957246416,3293.0170198335886
45,2020-03-07,28,68.44579104296513,1690.3633977736743,True,46,75.76863513590071,3293.0170198335886
46,2020-03-08,38,68.44579104296513,1690.3633977736743,True,47,89.28133435582606,3293.0170198335886
47,2020-03-09,48,68.44579104296513,1690.3633977736743,True,48,105.12725426406278,3293.0170198335886
48,2020-03-10,55,68.44579104296513,1690.3633977736743,True,49,123.67987722920758,3293.0170198335886
49,2020-03-11,65,68.44579104296513,1690.3633977736743,True,50,145.36132973232006,3293.0170198335886
50,2020-03-12,65,68.44579104296513,1690.3633977736743,True,51,170.64447150010747,3293.0170198335886
51,2020-03-13,92,68.44579104296513,1690.3633977736743,True,52,200.05327117128314,3293.0170198335886
52,2020-03-14,112,68.44579104296513,1690.3633977736743,True,53,234.16066246201507,3293.0170198335886
53,2020-03-15,134,68.44579104296513,1690.3633977736743,True,54,273.58290148173444,3293.0170198335886
54,2020-03-16,171,68.44579104296513,1690.3633977736743,True,55,318.9693001212417,3293.0170198335886
55,2020-03-17,210,68.44579104296513,1690.3633977736743,True,56,370.9861374393958,3293.0170198335886
56,2020-03-18,267,68.44579104296513,1690.3633977736743,True,57,430.2936142595841,3293.0170198335886
57,2020-03-19,307,68.44579104296513,1690.3633977736743,True,58,497.51499523794064,3293.0170198335886
58,2020-03-20,353,68.44579104296513,1690.3633977736743,True,59,573.197662441487,3293.0170198335886
59,2020-03-21,436,68.44579104296513,1690.3633977736743,True,60,657.7667532358614,3293.0170198335886
60,2020-03-22,669,68.44579104296513,1690.3633977736743,True,61,751.4733889718407,3293.0170198335886
61,2020-03-23,669,68.44579104296513,1690.3633977736743,True,62,854.3411377833031,3293.0170198335886
62,2020-03-24,818,68.44579104296513,1690.3633977736743,True,63,966.1160728275557,3293.0170198335886
63,2020-03-25,1029,68.44579104296513,1690.3633977736743,True,64,1086.2272085909856,3293.0170198335886
64,2020-03-26,1219,68.44579104296513,1690.3633977736743,True,65,1213.7647288141347,3293.0170198335886
65,2020-03-27,1405,68.44579104296513,1690.3633977736743,True,66,1347.4827683529202,3293.0170198335886
66,2020-03-28,1617,68.44579104296513,1690.3633977736743,True,67,1485.831273830958,3293.0170198335886
67,2020-03-29,1791,68.44579104296513,1690.3633977736743,True,68,1627.0177261548713,3293.0170198335886
68,2020-03-30,2032,68.44579104296513,1690.3633977736743,True,69,1769.0948432400578,3293.0170198335886
69,2020-03-31,2032,68.44579104296513,1690.3633977736743,True,70,1910.0658077312082,3293.0170198335886
70,2020-04-01,2182,68.44579104296513,1690.3633977736743,True,71,2047.995252936912,3293.0170198335886
71,2020-04-02,2298,68.44579104296513,1690.3633977736743,True,72,2181.113116093908,3293.0170198335886
72,2020-04-03,2389,68.44579104296513,1690.3633977736743,True,73,2307.899857942951,3293.0170198335886
73,2020-04-04,2493,68.44579104296513,1690.3633977736743,True,74,2427.1450485996393,3293.0170198335886
74,2020-04-05,2580,68.44579104296513,1690.3633977736743,True,75,2537.97596014093,3293.0170198335886
75,2020-04-06,2637,68.44579104296513,1690.3633977736743,True,76,2639.857413911525,3293.0170198335886
76,2020-04-07,2686,68.44579104296513,1690.3633977736743,True,77,2732.567728218454,3293.0170198335886
77,2020-04-08,2734,68.44579104296513,1690.3633977736743,True,78,2816.1576731869814,3293.0170198335886
78,2020-04-09,2773,68.44579104296513,1690.3633977736743,True,79,2890.8998319553316,3293.0170198335886
79,2020-04-10,2822,68.44579104296513,1690.3633977736743,True,80,2957.2350255792035,3293.0170198335886
