,Report_Date,China_liaoning_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,2,11.887210995936213,64.19631482222158,True,1,9.637985324391012,128.39262772436484
1,2020-01-23,3,11.887210995936213,64.19631482222158,True,2,11.906605597566037,128.39262772436484
2,2020-01-24,4,11.887210995936213,64.19631482222158,True,3,14.643375295191975,128.39262772436484
3,2020-01-25,17,11.887210995936213,64.19631482222158,True,4,17.912467880808357,128.39262772436484
4,2020-01-26,21,11.887210995936213,64.19631482222158,True,5,21.771688980326378,128.39262772436484
5,2020-01-27,27,11.887210995936213,64.19631482222158,True,6,26.26470883765849,128.39262772436484
6,2020-01-28,34,11.887210995936213,64.19631482222158,True,7,31.411781448383294,128.39262772436484
7,2020-01-29,39,11.887210995936213,64.19631482222158,True,8,37.20011419205003,128.39262772436484
8,2020-01-30,41,11.887210995936213,64.19631482222158,True,9,43.57581539008359,128.39262772436484
9,2020-01-31,48,11.887210995936213,64.19631482222158,True,10,50.43984113523027,128.39262772436484
10,2020-02-01,64,11.887210995936213,64.19631482222158,True,11,57.65017781132553,128.39262772436484
11,2020-02-02,70,11.887210995936213,64.19631482222158,True,12,65.03136492136962,128.39262772436484
12,2020-02-03,74,11.887210995936213,64.19631482222158,True,13,72.39053539861962,128.39262772436484
13,2020-02-04,81,11.887210995936213,64.19631482222158,True,14,79.53709880504603,128.39262772436484
14,2020-02-05,89,11.887210995936213,64.19631482222158,True,15,86.30193875685245,128.39262772436484
15,2020-02-06,94,11.887210995936213,64.19631482222158,True,16,92.55216710242577,128.39262772436484
16,2020-02-07,99,11.887210995936213,64.19631482222158,True,17,98.19898582363729,128.39262772436484
17,2020-02-08,105,11.887210995936213,64.19631482222158,True,18,103.19831062029067,128.39262772436484
18,2020-02-09,107,11.887210995936213,64.19631482222158,True,19,107.54559956700706,128.39262772436484
19,2020-02-10,108,11.887210995936213,64.19631482222158,True,20,111.26724296629206,128.39262772436484
20,2020-02-11,111,11.887210995936213,64.19631482222158,True,21,114.41086923375184,128.39262772436484
21,2020-02-12,116,11.887210995936213,64.19631482222158,True,22,117.03633157957601,128.39262772436484
22,2020-02-13,117,11.887210995936213,64.19631482222158,True,23,119.2083662655473,128.39262772436484
23,2020-02-14,119,11.887210995936213,64.19631482222158,True,24,120.99124378267922,128.39262772436484
24,2020-02-15,119,11.887210995936213,64.19631482222158,True,25,122.44529053167366,128.39262772436484
25,2020-02-16,121,11.887210995936213,64.19631482222158,True,26,123.62493741498024,128.39262772436484
26,2020-02-17,121,11.887210995936213,64.19631482222158,True,27,124.57789249504206,128.39262772436484
27,2020-02-18,121,11.887210995936213,64.19631482222158,True,28,125.34506867298913,128.39262772436484
28,2020-02-19,121,11.887210995936213,64.19631482222158,True,29,125.96097070864072,128.39262772436484
29,2020-02-20,121,11.887210995936213,64.19631482222158,True,30,126.45432577072157,128.39262772436484
30,2020-02-21,121,11.887210995936213,64.19631482222158,True,31,126.84881168834202,128.39262772436484
31,2020-02-22,121,11.887210995936213,64.19631482222158,True,32,127.16379155434036,128.39262772436484
32,2020-02-23,121,11.887210995936213,64.19631482222158,True,33,127.41500244834737,128.39262772436484
33,2020-02-24,121,11.887210995936213,64.19631482222158,True,34,127.61517237194742,128.39262772436484
34,2020-02-25,121,11.887210995936213,64.19631482222158,True,35,127.77455616166817,128.39262772436484
35,2020-02-26,121,11.887210995936213,64.19631482222158,True,36,127.90139101665979,128.39262772436484
36,2020-02-27,121,11.887210995936213,64.19631482222158,True,37,128.00227760698672,128.39262772436484
37,2020-02-28,121,11.887210995936213,64.19631482222158,True,38,128.08249517062913,128.39262772436484
38,2020-02-29,121,11.887210995936213,64.19631482222158,True,39,128.14625970846024,128.39262772436484
39,2020-03-01,122,11.887210995936213,64.19631482222158,True,40,128.1969341051808,128.39262772436484
40,2020-03-02,122,11.887210995936213,64.19631482222158,True,41,128.23719822267248,128.39262772436484
41,2020-03-03,125,11.887210995936213,64.19631482222158,True,42,128.2691860244366,128.39262772436484
42,2020-03-04,125,11.887210995936213,64.19631482222158,True,43,128.29459576607374,128.39262772436484
43,2020-03-05,125,11.887210995936213,64.19631482222158,True,44,128.31477831899034,128.39262772436484
44,2020-03-06,125,11.887210995936213,64.19631482222158,True,45,128.33080782640184,128.39262772436484
45,2020-03-07,125,11.887210995936213,64.19631482222158,True,46,128.3435381375232,128.39262772436484
46,2020-03-08,125,11.887210995936213,64.19631482222158,True,47,128.35364782701419,128.39262772436484
47,2020-03-09,125,11.887210995936213,64.19631482222158,True,48,128.36167607353732,128.39262772436484
48,2020-03-10,125,11.887210995936213,64.19631482222158,True,49,128.3680512314041,128.39262772436484
49,2020-03-11,125,11.887210995936213,64.19631482222158,True,50,128.37311356954314,128.39262772436484
50,2020-03-12,125,11.887210995936213,64.19631482222158,True,51,128.37713335974667,128.39262772436484
51,2020-03-13,125,11.887210995936213,64.19631482222158,True,52,128.3803252598866,128.39262772436484
52,2020-03-14,125,11.887210995936213,64.19631482222158,True,53,128.38285974753398,128.39262772436484
53,2020-03-15,125,11.887210995936213,64.19631482222158,True,54,128.3848722066756,128.39262772436484
54,2020-03-16,125,11.887210995936213,64.19631482222158,True,55,128.38647014788265,128.39262772436484
55,2020-03-17,125,11.887210995936213,64.19631482222158,True,56,128.38773894447934,128.39262772436484
56,2020-03-18,125,11.887210995936213,64.19631482222158,True,57,128.38874638917892,128.39262772436484
57,2020-03-19,125,11.887210995936213,64.19631482222158,True,58,128.3895463133895,128.39262772436484
