,Report_Date,Bosnia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,76.06897281518289,705.0757919417459,True,1,0.016405541448497908,1344.3192055326354
1,2020-01-23,0,76.06897281518289,705.0757919417459,True,2,0.019086204125274057,1344.3192055326354
2,2020-01-24,0,76.06897281518289,705.0757919417459,True,3,0.022204879729247493,1344.3192055326354
3,2020-01-25,0,76.06897281518289,705.0757919417459,True,4,0.02583313593287981,1344.3192055326354
4,2020-01-26,0,76.06897281518289,705.0757919417459,True,5,0.03005423310970528,1344.3192055326354
5,2020-01-27,0,76.06897281518289,705.0757919417459,True,6,0.03496503437903321,1344.3192055326354
6,2020-01-28,0,76.06897281518289,705.0757919417459,True,7,0.04067822755560823,1344.3192055326354
7,2020-01-29,0,76.06897281518289,705.0757919417459,True,8,0.047324909899360446,1344.3192055326354
8,2020-01-30,0,76.06897281518289,705.0757919417459,True,9,0.05505759485173367,1344.3192055326354
9,2020-01-31,0,76.06897281518289,705.0757919417459,True,10,0.0640537095824236,1344.3192055326354
10,2020-02-01,0,76.06897281518289,705.0757919417459,True,11,0.07451966337050314,1344.3192055326354
11,2020-02-02,0,76.06897281518289,705.0757919417459,True,12,0.08669557985800136,1344.3192055326354
12,2020-02-03,0,76.06897281518289,705.0757919417459,True,13,0.10086080133272103,1344.3192055326354
13,2020-02-04,0,76.06897281518289,705.0757919417459,True,14,0.11734029075659994,1344.3192055326354
14,2020-02-05,0,76.06897281518289,705.0757919417459,True,15,0.13651207764461018,1344.3192055326354
15,2020-02-06,0,76.06897281518289,705.0757919417459,True,16,0.15881591756519675,1344.3192055326354
16,2020-02-07,0,76.06897281518289,705.0757919417459,True,17,0.18476336249296074,1344.3192055326354
17,2020-02-08,0,76.06897281518289,705.0757919417459,True,18,0.21494947109171256,1344.3192055326354
18,2020-02-09,0,76.06897281518289,705.0757919417459,True,19,0.250066424923122,1344.3192055326354
19,2020-02-10,0,76.06897281518289,705.0757919417459,True,20,0.29091935934405233,1344.3192055326354
20,2020-02-11,0,76.06897281518289,705.0757919417459,True,21,0.3384447673663539,1344.3192055326354
21,2020-02-12,0,76.06897281518289,705.0757919417459,True,22,0.39373189202175063,1344.3192055326354
22,2020-02-13,0,76.06897281518289,705.0757919417459,True,23,0.45804758895239345,1344.3192055326354
23,2020-02-14,0,76.06897281518289,705.0757919417459,True,24,0.5328652173326599,1344.3192055326354
24,2020-02-15,0,76.06897281518289,705.0757919417459,True,25,0.6198982052746749,1344.3192055326354
25,2020-02-16,0,76.06897281518289,705.0757919417459,True,26,0.7211390371968237,1344.3192055326354
26,2020-02-17,0,76.06897281518289,705.0757919417459,True,27,0.8389045270232114,1344.3192055326354
27,2020-02-18,0,76.06897281518289,705.0757919417459,True,28,0.9758883744705643,1344.3192055326354
28,2020-02-19,0,76.06897281518289,705.0757919417459,True,29,1.1352221541401888,1344.3192055326354
29,2020-02-20,0,76.06897281518289,705.0757919417459,True,30,1.3205460608333521,1344.3192055326354
30,2020-02-21,0,76.06897281518289,705.0757919417459,True,31,1.5360909316417204,1344.3192055326354
31,2020-02-22,0,76.06897281518289,705.0757919417459,True,32,1.7867732880419465,1344.3192055326354
32,2020-02-23,0,76.06897281518289,705.0757919417459,True,33,2.07830539131299,1344.3192055326354
33,2020-02-24,0,76.06897281518289,705.0757919417459,True,34,2.4173225834837435,1344.3192055326354
34,2020-02-25,0,76.06897281518289,705.0757919417459,True,35,2.8115304942733252,1344.3192055326354
35,2020-02-26,0,76.06897281518289,705.0757919417459,True,36,3.2698750313743377,1344.3192055326354
36,2020-02-27,0,76.06897281518289,705.0757919417459,True,37,3.8027384342543766,1344.3192055326354
37,2020-02-28,0,76.06897281518289,705.0757919417459,True,38,4.422165054843343,1344.3192055326354
38,2020-02-29,0,76.06897281518289,705.0757919417459,True,39,5.142120922359452,1344.3192055326354
39,2020-03-01,0,76.06897281518289,705.0757919417459,True,40,5.978791538675989,1344.3192055326354
40,2020-03-02,0,76.06897281518289,705.0757919417459,True,41,6.950922711680537,1344.3192055326354
41,2020-03-03,0,76.06897281518289,705.0757919417459,True,42,8.080209532880836,1344.3192055326354
42,2020-03-04,0,76.06897281518289,705.0757919417459,True,43,9.3917387934699,1344.3192055326354
43,2020-03-05,2,76.06897281518289,705.0757919417459,True,44,10.91449014248647,1344.3192055326354
44,2020-03-06,2,76.06897281518289,705.0757919417459,True,45,12.681901029056425,1344.3192055326354
45,2020-03-07,3,76.06897281518289,705.0757919417459,True,46,14.732499813629246,1344.3192055326354
46,2020-03-08,3,76.06897281518289,705.0757919417459,True,47,17.110610216371843,1344.3192055326354
47,2020-03-09,3,76.06897281518289,705.0757919417459,True,48,19.867128281287123,1344.3192055326354
48,2020-03-10,5,76.06897281518289,705.0757919417459,True,49,23.0603700009582,1344.3192055326354
49,2020-03-11,7,76.06897281518289,705.0757919417459,True,50,26.756983331766556,1344.3192055326354
50,2020-03-12,11,76.06897281518289,705.0757919417459,True,51,31.03291212511052,1344.3192055326354
51,2020-03-13,13,76.06897281518289,705.0757919417459,True,52,35.97439103096846,1344.3192055326354
52,2020-03-14,18,76.06897281518289,705.0757919417459,True,53,41.67893916892338,1344.3192055326354
53,2020-03-15,24,76.06897281518289,705.0757919417459,True,54,48.25630576763647,1344.3192055326354
54,2020-03-16,25,76.06897281518289,705.0757919417459,True,55,55.82930256359811,1344.3192055326354
55,2020-03-17,26,76.06897281518289,705.0757919417459,True,56,64.53443521818453,1344.3192055326354
56,2020-03-18,38,76.06897281518289,705.0757919417459,True,57,74.5222194156497,1344.3192055326354
57,2020-03-19,63,76.06897281518289,705.0757919417459,True,58,85.95703732994515,1344.3192055326354
58,2020-03-20,89,76.06897281518289,705.0757919417459,True,59,99.01635846756221,1344.3192055326354
59,2020-03-21,93,76.06897281518289,705.0757919417459,True,60,113.88911860288007,1344.3192055326354
60,2020-03-22,126,76.06897281518289,705.0757919417459,True,61,130.773026614219,1344.3192055326354
61,2020-03-23,136,76.06897281518289,705.0757919417459,True,62,149.87055879636605,1344.3192055326354
62,2020-03-24,166,76.06897281518289,705.0757919417459,True,63,171.38341341330138,1344.3192055326354
63,2020-03-25,176,76.06897281518289,705.0757919417459,True,64,195.50524667130557,1344.3192055326354
64,2020-03-26,191,76.06897281518289,705.0757919417459,True,65,222.41260752027773,1344.3192055326354
65,2020-03-27,237,76.06897281518289,705.0757919417459,True,66,252.25414352781493,1344.3192055326354
66,2020-03-28,258,76.06897281518289,705.0757919417459,True,67,285.1383684938286,1344.3192055326354
67,2020-03-29,323,76.06897281518289,705.0757919417459,True,68,321.120558352885,1344.3192055326354
68,2020-03-30,368,76.06897281518289,705.0757919417459,True,69,360.1896524463938,1344.3192055326354
69,2020-03-31,420,76.06897281518289,705.0757919417459,True,70,402.25633907719214,1344.3192055326354
70,2020-04-01,459,76.06897281518289,705.0757919417459,True,71,447.14373403910326,1344.3192055326354
71,2020-04-02,533,76.06897281518289,705.0757919417459,True,72,494.5821431064137,1344.3192055326354
72,2020-04-03,579,76.06897281518289,705.0757919417459,True,73,544.2092633834066,1344.3192055326354
73,2020-04-04,624,76.06897281518289,705.0757919417459,True,74,595.576781138765,1344.3192055326354
74,2020-04-05,654,76.06897281518289,705.0757919417459,True,75,648.1636746541229,1344.3192055326354
75,2020-04-06,674,76.06897281518289,705.0757919417459,True,76,701.3957060246962,1344.3192055326354
76,2020-04-07,764,76.06897281518289,705.0757919417459,True,77,754.669724572118,1344.3192055326354
77,2020-04-08,804,76.06897281518289,705.0757919417459,True,78,807.3806797401353,1344.3192055326354
78,2020-04-09,858,76.06897281518289,705.0757919417459,True,79,858.9488143261252,1344.3192055326354
79,2020-04-10,901,76.06897281518289,705.0757919417459,True,80,908.844480025206,1344.3192055326354
80,2020-04-11,946,76.06897281518289,705.0757919417459,True,81,956.6083934449371,1344.3192055326354
81,2020-04-12,1009,76.06897281518289,705.0757919417459,True,82,1001.8658431588001,1344.3192055326354
82,2020-04-13,1037,76.06897281518289,705.0757919417459,True,83,1044.3342113836127,1344.3192055326354
83,2020-04-14,1083,76.06897281518289,705.0757919417459,True,84,1083.8240129457824,1344.3192055326354
84,2020-04-15,1110,76.06897281518289,705.0757919417459,True,85,1120.234333604847,1344.3192055326354
85,2020-04-16,1167,76.06897281518289,705.0757919417459,True,86,1153.5439837954095,1344.3192055326354
