,Report_Date,Namibia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,81.75668828762433,12.183305601739926,True,1,0.2887307456074324,23.884328111530472
1,2020-01-23,0,81.75668828762433,12.183305601739926,True,2,0.30478418826049924,23.884328111530472
2,2020-01-24,0,81.75668828762433,12.183305601739926,True,3,0.32171827689395505,23.884328111530472
3,2020-01-25,0,81.75668828762433,12.183305601739926,True,4,0.3395799606335081,23.884328111530472
4,2020-01-26,0,81.75668828762433,12.183305601739926,True,5,0.358418536551642,23.884328111530472
5,2020-01-27,0,81.75668828762433,12.183305601739926,True,6,0.3782857493235003,23.884328111530472
6,2020-01-28,0,81.75668828762433,12.183305601739926,True,7,0.3992358930131452,23.884328111530472
7,2020-01-29,0,81.75668828762433,12.183305601739926,True,8,0.4213259147558991,23.884328111530472
8,2020-01-30,0,81.75668828762433,12.183305601739926,True,9,0.4446155200563755,23.884328111530472
9,2020-01-31,0,81.75668828762433,12.183305601739926,True,10,0.46916727937061514,23.884328111530472
10,2020-02-01,0,81.75668828762433,12.183305601739926,True,11,0.49504673558407625,23.884328111530472
11,2020-02-02,0,81.75668828762433,12.183305601739926,True,12,0.5223225119347188,23.884328111530472
12,2020-02-03,0,81.75668828762433,12.183305601739926,True,13,0.5510664198616869,23.884328111530472
13,2020-02-04,0,81.75668828762433,12.183305601739926,True,14,0.5813535661847817,23.884328111530472
14,2020-02-05,0,81.75668828762433,12.183305601739926,True,15,0.6132624589376741,23.884328111530472
15,2020-02-06,0,81.75668828762433,12.183305601739926,True,16,0.6468751110883242,23.884328111530472
16,2020-02-07,0,81.75668828762433,12.183305601739926,True,17,0.6822771412830823,23.884328111530472
17,2020-02-08,0,81.75668828762433,12.183305601739926,True,18,0.719557870646215,23.884328111530472
18,2020-02-09,0,81.75668828762433,12.183305601739926,True,19,0.7588104145540102,23.884328111530472
19,2020-02-10,0,81.75668828762433,12.183305601739926,True,20,0.8001317681820793,23.884328111530472
20,2020-02-11,0,81.75668828762433,12.183305601739926,True,21,0.8436228844960945,23.884328111530472
21,2020-02-12,0,81.75668828762433,12.183305601739926,True,22,0.8893887432201373,23.884328111530472
22,2020-02-13,0,81.75668828762433,12.183305601739926,True,23,0.9375384091734934,23.884328111530472
23,2020-02-14,0,81.75668828762433,12.183305601739926,True,24,0.9881850782166419,23.884328111530472
24,2020-02-15,0,81.75668828762433,12.183305601739926,True,25,1.0414461088911795,23.884328111530472
25,2020-02-16,0,81.75668828762433,12.183305601739926,True,26,1.097443037677554,23.884328111530472
26,2020-02-17,0,81.75668828762433,12.183305601739926,True,27,1.1563015756301138,23.884328111530472
27,2020-02-18,0,81.75668828762433,12.183305601739926,True,28,1.2181515839828942,23.884328111530472
28,2020-02-19,0,81.75668828762433,12.183305601739926,True,29,1.283127026153817,23.884328111530472
29,2020-02-20,0,81.75668828762433,12.183305601739926,True,30,1.3513658934122257,23.884328111530472
30,2020-02-21,0,81.75668828762433,12.183305601739926,True,31,1.4230101013179022,23.884328111530472
31,2020-02-22,0,81.75668828762433,12.183305601739926,True,32,1.4982053538925626,23.884328111530472
32,2020-02-23,0,81.75668828762433,12.183305601739926,True,33,1.5771009723514209,23.884328111530472
33,2020-02-24,0,81.75668828762433,12.183305601739926,True,34,1.6598496851075333,23.884328111530472
34,2020-02-25,0,81.75668828762433,12.183305601739926,True,35,1.7466073756706768,23.884328111530472
35,2020-02-26,0,81.75668828762433,12.183305601739926,True,36,1.8375327850014778,23.884328111530472
36,2020-02-27,0,81.75668828762433,12.183305601739926,True,37,1.9327871648571118,23.884328111530472
37,2020-02-28,0,81.75668828762433,12.183305601739926,True,38,2.032533878684356,23.884328111530472
38,2020-02-29,0,81.75668828762433,12.183305601739926,True,39,2.1369379466870124,23.884328111530472
39,2020-03-01,0,81.75668828762433,12.183305601739926,True,40,2.2461655318259983,23.884328111530472
40,2020-03-02,0,81.75668828762433,12.183305601739926,True,41,2.3603833637105347,23.884328111530472
41,2020-03-03,0,81.75668828762433,12.183305601739926,True,42,2.4797580976166462,23.884328111530472
42,2020-03-04,0,81.75668828762433,12.183305601739926,True,43,2.6044556062338318,23.884328111530472
43,2020-03-05,0,81.75668828762433,12.183305601739926,True,44,2.7346402022007514,23.884328111530472
44,2020-03-06,0,81.75668828762433,12.183305601739926,True,45,2.8704737900546355,23.884328111530472
45,2020-03-07,0,81.75668828762433,12.183305601739926,True,46,3.012114946894092,23.884328111530472
46,2020-03-08,0,81.75668828762433,12.183305601739926,True,47,3.159717931847221,23.884328111530472
47,2020-03-09,0,81.75668828762433,12.183305601739926,True,48,3.313431625351023,23.884328111530472
48,2020-03-10,0,81.75668828762433,12.183305601739926,True,49,3.4733984002859506,23.884328111530472
49,2020-03-11,0,81.75668828762433,12.183305601739926,True,50,3.6397529281708563,23.884328111530472
50,2020-03-12,0,81.75668828762433,12.183305601739926,True,51,3.8126209249044853,23.884328111530472
51,2020-03-13,0,81.75668828762433,12.183305601739926,True,52,3.99211784193237,23.884328111530472
52,2020-03-14,2,81.75668828762433,12.183305601739926,True,53,4.178347510210544,23.884328111530472
53,2020-03-15,2,81.75668828762433,12.183305601739926,True,54,4.37140074591264,23.884328111530472
54,2020-03-16,2,81.75668828762433,12.183305601739926,True,55,4.571353928462713,23.884328111530472
55,2020-03-17,2,81.75668828762433,12.183305601739926,True,56,4.778267563144363,23.884328111530472
56,2020-03-18,2,81.75668828762433,12.183305601739926,True,57,4.992184842204218,23.884328111530472
57,2020-03-19,3,81.75668828762433,12.183305601739926,True,58,5.21313021999531,23.884328111530472
58,2020-03-20,3,81.75668828762433,12.183305601739926,True,59,5.4411080192490315,23.884328111530472
59,2020-03-21,3,81.75668828762433,12.183305601739926,True,60,5.676101086974506,23.884328111530472
60,2020-03-22,3,81.75668828762433,12.183305601739926,True,61,5.918069519708409,23.884328111530472
61,2020-03-23,4,81.75668828762433,12.183305601739926,True,62,6.166949478822066,23.884328111530472
62,2020-03-24,7,81.75668828762433,12.183305601739926,True,63,6.422652117279829,23.884328111530472
63,2020-03-25,7,81.75668828762433,12.183305601739926,True,64,6.685062639579147,23.884328111530472
64,2020-03-26,8,81.75668828762433,12.183305601739926,True,65,6.954039516536731,23.884328111530472
65,2020-03-27,8,81.75668828762433,12.183305601739926,True,66,7.229413876071622,23.884328111530472
66,2020-03-28,8,81.75668828762433,12.183305601739926,True,67,7.510989090137238,23.884328111530472
67,2020-03-29,11,81.75668828762433,12.183305601739926,True,68,7.798540576444217,23.884328111530472
68,2020-03-30,11,81.75668828762433,12.183305601739926,True,69,8.09181583158104,23.884328111530472
69,2020-03-31,11,81.75668828762433,12.183305601739926,True,70,8.390534709581647,23.884328111530472
70,2020-04-01,14,81.75668828762433,12.183305601739926,True,71,8.69438995692847,23.884328111530472
71,2020-04-02,14,81.75668828762433,12.183305601739926,True,72,9.003048011452124,23.884328111530472
72,2020-04-03,14,81.75668828762433,12.183305601739926,True,73,9.316150068652655,23.884328111530472
73,2020-04-04,14,81.75668828762433,12.183305601739926,True,74,9.633313414695253,23.884328111530472
74,2020-04-05,16,81.75668828762433,12.183305601739926,True,75,9.954133020818201,23.884328111530472
75,2020-04-06,16,81.75668828762433,12.183305601739926,True,76,10.278183389238633,23.884328111530472
76,2020-04-07,16,81.75668828762433,12.183305601739926,True,77,10.60502063597073,23.884328111530472
77,2020-04-08,16,81.75668828762433,12.183305601739926,True,78,10.934184791407967,23.884328111530472
78,2020-04-09,16,81.75668828762433,12.183305601739926,True,79,11.26520229519509,23.884328111530472
79,2020-04-10,16,81.75668828762433,12.183305601739926,True,80,11.597588657954754,23.884328111530472
80,2020-04-11,16,81.75668828762433,12.183305601739926,True,81,11.930851258959699,23.884328111530472
81,2020-04-12,16,81.75668828762433,12.183305601739926,True,82,12.264492245962503,23.884328111530472
82,2020-04-13,16,81.75668828762433,12.183305601739926,True,83,12.598011501204102,23.884328111530472
83,2020-04-14,16,81.75668828762433,12.183305601739926,True,84,12.930909636190528,23.884328111530472
84,2020-04-15,16,81.75668828762433,12.183305601739926,True,85,13.262690977201974,23.884328111530472
85,2020-04-16,16,81.75668828762433,12.183305601739926,True,86,13.592866503700007,23.884328111530472
86,2020-04-17,16,81.75668828762433,12.183305601739926,True,87,13.920956702820611,23.884328111530472
87,2020-04-18,16,81.75668828762433,12.183305601739926,True,88,14.246494304949504,23.884328111530472
88,2020-04-19,16,81.75668828762433,12.183305601739926,True,89,14.569026867911955,23.884328111530472
89,2020-04-20,16,81.75668828762433,12.183305601739926,True,90,14.888119180490628,23.884328111530472
90,2020-04-21,16,81.75668828762433,12.183305601739926,True,91,15.203355459710256,23.884328111530472
91,2020-04-22,16,81.75668828762433,12.183305601739926,True,92,15.514341320482094,23.884328111530472
92,2020-04-23,16,81.75668828762433,12.183305601739926,True,93,15.820705500658766,23.884328111530472
93,2020-04-24,16,81.75668828762433,12.183305601739926,True,94,16.122101329181458,23.884328111530472
94,2020-04-25,16,81.75668828762433,12.183305601739926,True,95,16.418207929678903,23.884328111530472
95,2020-04-26,16,81.75668828762433,12.183305601739926,True,96,16.708731156477075,23.884328111530472
96,2020-04-27,16,81.75668828762433,12.183305601739926,True,97,16.99340426438786,23.884328111530472
97,2020-04-28,16,81.75668828762433,12.183305601739926,True,98,17.271988317763913,23.884328111530472
98,2020-04-29,16,81.75668828762433,12.183305601739926,True,99,17.544272348052573,23.884328111530472
99,2020-04-30,16,81.75668828762433,12.183305601739926,True,100,17.810073272387587,23.884328111530472
100,2020-05-01,16,81.75668828762433,12.183305601739926,True,101,18.069235588577044,23.884328111530472
