,Report_Date,Madagascar_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,74.64970417389385,70.77583079672068,True,1,0.0016515411778074561,132.43396354860954
1,2020-01-23,0,74.64970417389385,70.77583079672068,True,2,0.001926939428841234,132.43396354860954
2,2020-01-24,0,74.64970417389385,70.77583079672068,True,3,0.0022482602357559948,132.43396354860954
3,2020-01-25,0,74.64970417389385,70.77583079672068,True,4,0.0026231609041156958,132.43396354860954
4,2020-01-26,0,74.64970417389385,70.77583079672068,True,5,0.0030605754531748243,132.43396354860954
5,2020-01-27,0,74.64970417389385,70.77583079672068,True,6,0.0035709274498051434,132.43396354860954
6,2020-01-28,0,74.64970417389385,70.77583079672068,True,7,0.004166378310367002,132.43396354860954
7,2020-01-29,0,74.64970417389385,70.77583079672068,True,8,0.004861116976628437,132.43396354860954
8,2020-01-30,0,74.64970417389385,70.77583079672068,True,9,0.005671697853693179,132.43396354860954
9,2020-01-31,0,74.64970417389385,70.77583079672068,True,10,0.006617435042398127,132.43396354860954
10,2020-02-01,0,74.64970417389385,70.77583079672068,True,11,0.007720862232510582,132.43396354860954
11,2020-02-02,0,74.64970417389385,70.77583079672068,True,12,0.009008269177339302,132.43396354860954
12,2020-02-03,0,74.64970417389385,70.77583079672068,True,13,0.01051032748109927,132.43396354860954
13,2020-02-04,0,74.64970417389385,70.77583079672068,True,14,0.012262820539311402,132.43396354860954
14,2020-02-05,0,74.64970417389385,70.77583079672068,True,15,0.01430749492805764,132.43396354860954
15,2020-02-06,0,74.64970417389385,70.77583079672068,True,16,0.01669305339601476,132.43396354860954
16,2020-02-07,0,74.64970417389385,70.77583079672068,True,17,0.019476312938493858,132.43396354860954
17,2020-02-08,0,74.64970417389385,70.77583079672068,True,18,0.022723555299737144,132.43396354860954
18,2020-02-09,0,74.64970417389385,70.77583079672068,True,19,0.02651210174419442,132.43396354860954
19,2020-02-10,0,74.64970417389385,70.77583079672068,True,20,0.030932149157782304,132.43396354860954
20,2020-02-11,0,74.64970417389385,70.77583079672068,True,21,0.036088910598733544,132.43396354860954
21,2020-02-12,0,74.64970417389385,70.77583079672068,True,22,0.0421051104427869,132.43396354860954
22,2020-02-13,0,74.64970417389385,70.77583079672068,True,23,0.049123892404594034,132.43396354860954
23,2020-02-14,0,74.64970417389385,70.77583079672068,True,24,0.05731220813038607,132.43396354860954
24,2020-02-15,0,74.64970417389385,70.77583079672068,True,25,0.06686476492991694,132.43396354860954
25,2020-02-16,0,74.64970417389385,70.77583079672068,True,26,0.07800862375252882,132.43396354860954
26,2020-02-17,0,74.64970417389385,70.77583079672068,True,27,0.09100855293689222,132.43396354860954
27,2020-02-18,0,74.64970417389385,70.77583079672068,True,28,0.10617325981892775,132.43396354860954
28,2020-02-19,0,74.64970417389385,70.77583079672068,True,29,0.12386264122470621,132.43396354860954
29,2020-02-20,0,74.64970417389385,70.77583079672068,True,30,0.1444962154699593,132.43396354860954
30,2020-02-21,0,74.64970417389385,70.77583079672068,True,31,0.16856292299783895,132.43396354860954
31,2020-02-22,0,74.64970417389385,70.77583079672068,True,32,0.19663251045504468,132.43396354860954
32,2020-02-23,0,74.64970417389385,70.77583079672068,True,33,0.22936874403248791,132.43396354860954
33,2020-02-24,0,74.64970417389385,70.77583079672068,True,34,0.267544732398818,132.43396354860954
34,2020-02-25,0,74.64970417389385,70.77583079672068,True,35,0.3120606775195293,132.43396354860954
35,2020-02-26,0,74.64970417389385,70.77583079672068,True,36,0.3639644128618969,132.43396354860954
36,2020-02-27,0,74.64970417389385,70.77583079672068,True,37,0.4244751324113576,132.43396354860954
37,2020-02-28,0,74.64970417389385,70.77583079672068,True,38,0.49501075959864466,132.43396354860954
38,2020-02-29,0,74.64970417389385,70.77583079672068,True,39,0.5772194510585701,132.43396354860954
39,2020-03-01,0,74.64970417389385,70.77583079672068,True,40,0.6730157736302781,132.43396354860954
40,2020-03-02,0,74.64970417389385,70.77583079672068,True,41,0.7846221304756823,132.43396354860954
41,2020-03-03,0,74.64970417389385,70.77583079672068,True,42,0.9146160383123657,132.43396354860954
42,2020-03-04,0,74.64970417389385,70.77583079672068,True,43,1.065983865022029,132.43396354860954
43,2020-03-05,0,74.64970417389385,70.77583079672068,True,44,1.2421816149318,132.43396354860954
