,Report_Date,China_guizhou_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,15.869828121785513,73.2927084098191,True,1,1.5813897568892499,146.58541679546792
1,2020-01-23,3,15.869828121785513,73.2927084098191,True,2,2.134746919185695,146.58541679546792
2,2020-01-24,3,15.869828121785513,73.2927084098191,True,3,2.8778908955929023,146.58541679546792
3,2020-01-25,4,15.869828121785513,73.2927084098191,True,4,3.8728007816657137,146.58541679546792
4,2020-01-26,5,15.869828121785513,73.2927084098191,True,5,5.199215212905215,146.58541679546792
5,2020-01-27,7,15.869828121785513,73.2927084098191,True,6,6.95777145653836,146.58541679546792
6,2020-01-28,9,15.869828121785513,73.2927084098191,True,7,9.272125465094557,146.58541679546792
7,2020-01-29,9,15.869828121785513,73.2927084098191,True,8,12.288548434138768,146.58541679546792
8,2020-01-30,12,15.869828121785513,73.2927084098191,True,9,16.17071523550544,146.58541679546792
9,2020-01-31,29,15.869828121785513,73.2927084098191,True,10,21.08675490255193,146.58541679546792
10,2020-02-01,29,15.869828121785513,73.2927084098191,True,11,27.185771840610624,146.58541679546792
11,2020-02-02,38,15.869828121785513,73.2927084098191,True,12,34.56300708174079,146.58541679546792
12,2020-02-03,46,15.869828121785513,73.2927084098191,True,13,43.21754985596141,146.58541679546792
13,2020-02-04,58,15.869828121785513,73.2927084098191,True,14,53.01362568601543,146.58541679546792
14,2020-02-05,64,15.869828121785513,73.2927084098191,True,15,63.66261799225482,146.58541679546792
15,2020-02-06,71,15.869828121785513,73.2927084098191,True,16,74.74206608951143,146.58541679546792
16,2020-02-07,81,15.869828121785513,73.2927084098191,True,17,85.75564225792726,146.58541679546792
17,2020-02-08,89,15.869828121785513,73.2927084098191,True,18,96.21859582684303,146.58541679546792
18,2020-02-09,99,15.869828121785513,73.2927084098191,True,19,105.73908262042343,146.58541679546792
19,2020-02-10,109,15.869828121785513,73.2927084098191,True,20,114.06815383635248,146.58541679546792
20,2020-02-11,127,15.869828121785513,73.2927084098191,True,21,121.10804686407103,146.58541679546792
21,2020-02-12,133,15.869828121785513,73.2927084098191,True,22,126.8870226794691,146.58541679546792
22,2020-02-13,135,15.869828121785513,73.2927084098191,True,23,131.5182480347967,146.58541679546792
23,2020-02-14,140,15.869828121785513,73.2927084098191,True,24,135.15869509548116,146.58541679546792
24,2020-02-15,143,15.869828121785513,73.2927084098191,True,25,137.9771288472092,146.58541679546792
25,2020-02-16,144,15.869828121785513,73.2927084098191,True,26,140.1335722105588,146.58541679546792
26,2020-02-17,146,15.869828121785513,73.2927084098191,True,27,141.76866813004344,146.58541679546792
27,2020-02-18,146,15.869828121785513,73.2927084098191,True,28,142.99998278809073,146.58541679546792
28,2020-02-19,146,15.869828121785513,73.2927084098191,True,29,143.922446617163,146.58541679546792
29,2020-02-20,146,15.869828121785513,73.2927084098191,True,30,144.61085520230154,146.58541679546792
30,2020-02-21,146,15.869828121785513,73.2927084098191,True,31,145.1231103660761,146.58541679546792
31,2020-02-22,146,15.869828121785513,73.2927084098191,True,32,145.50346684141059,146.58541679546792
32,2020-02-23,146,15.869828121785513,73.2927084098191,True,33,145.7854352132567,146.58541679546792
33,2020-02-24,146,15.869828121785513,73.2927084098191,True,34,145.99421802123754,146.58541679546792
34,2020-02-25,146,15.869828121785513,73.2927084098191,True,35,146.14867498783852,146.58541679546792
35,2020-02-26,146,15.869828121785513,73.2927084098191,True,36,146.26286758526516,146.58541679546792
36,2020-02-27,146,15.869828121785513,73.2927084098191,True,37,146.34725149863814,146.58541679546792
37,2020-02-28,146,15.869828121785513,73.2927084098191,True,38,146.40958580239823,146.58541679546792
38,2020-02-29,146,15.869828121785513,73.2927084098191,True,39,146.4556200030922,146.58541679546792
39,2020-03-01,146,15.869828121785513,73.2927084098191,True,40,146.48960990723646,146.58541679546792
40,2020-03-02,146,15.869828121785513,73.2927084098191,True,41,146.51470316976346,146.58541679546792
41,2020-03-03,146,15.869828121785513,73.2927084098191,True,42,146.53322647326385,146.58541679546792
42,2020-03-04,146,15.869828121785513,73.2927084098191,True,43,146.5468989089231,146.58541679546792
43,2020-03-05,146,15.869828121785513,73.2927084098191,True,44,146.5569902372425,146.58541679546792
44,2020-03-06,146,15.869828121785513,73.2927084098191,True,45,146.5644381114562,146.58541679546792
45,2020-03-07,146,15.869828121785513,73.2927084098191,True,46,146.56993482004268,146.58541679546792
46,2020-03-08,146,15.869828121785513,73.2927084098191,True,47,146.57399142804175,146.58541679546792
47,2020-03-09,146,15.869828121785513,73.2927084098191,True,48,146.57698518096848,146.58541679546792
48,2020-03-10,146,15.869828121785513,73.2927084098191,True,49,146.57919452523524,146.58541679546792
49,2020-03-11,146,15.869828121785513,73.2927084098191,True,50,146.58082497263914,146.58541679546792
50,2020-03-12,146,15.869828121785513,73.2927084098191,True,51,146.58202819865033,146.58541679546792
51,2020-03-13,146,15.869828121785513,73.2927084098191,True,52,146.58291614235011,146.58541679546792
52,2020-03-14,146,15.869828121785513,73.2927084098191,True,53,146.58357141497498,146.58541679546792
53,2020-03-15,146,15.869828121785513,73.2927084098191,True,54,146.5840549828278,146.58541679546792
54,2020-03-16,146,15.869828121785513,73.2927084098191,True,55,146.58441183794943,146.58541679546792
55,2020-03-17,147,15.869828121785513,73.2927084098191,True,56,146.58467518338426,146.58541679546792
56,2020-03-18,146,15.869828121785513,73.2927084098191,True,57,146.58486952203037,146.58541679546792
57,2020-03-19,146,15.869828121785513,73.2927084098191,True,58,146.58501293624403,146.58541679546792
58,2020-03-20,146,15.869828121785513,73.2927084098191,True,59,146.58511877018222,146.58541679546792
59,2020-03-21,146,15.869828121785513,73.2927084098191,True,60,146.58519687134947,146.58541679546792
60,2020-03-22,146,15.869828121785513,73.2927084098191,True,61,146.58525450683408,146.58541679546792
61,2020-03-23,146,15.869828121785513,73.2927084098191,True,62,146.58529703946704,146.58541679546792
62,2020-03-24,146,15.869828121785513,73.2927084098191,True,63,146.5853284268069,146.58541679546792
63,2020-03-25,146,15.869828121785513,73.2927084098191,True,64,146.58535158937423,146.58541679546792
64,2020-03-26,146,15.869828121785513,73.2927084098191,True,65,146.58536868239563,146.58541679546792
65,2020-03-27,146,15.869828121785513,73.2927084098191,True,66,146.58538129634104,146.58541679546792
66,2020-03-28,146,15.869828121785513,73.2927084098191,True,67,146.58539060491242,146.58541679546792
67,2020-03-29,146,15.869828121785513,73.2927084098191,True,68,146.58539747425388,146.58541679546792
68,2020-03-30,146,15.869828121785513,73.2927084098191,True,69,146.58540254354418,146.58541679546792
69,2020-03-31,146,15.869828121785513,73.2927084098191,True,70,146.58540628447096,146.58541679546792
70,2020-04-01,146,15.869828121785513,73.2927084098191,True,71,146.58540904512037,146.58541679546792
71,2020-04-02,146,15.869828121785513,73.2927084098191,True,72,146.58541108236548,146.58541679546792
72,2020-04-03,146,15.869828121785513,73.2927084098191,True,73,146.58541258576818,146.58541679546792
73,2020-04-04,146,15.869828121785513,73.2927084098191,True,74,146.5854136952172,146.58541679546792
74,2020-04-05,146,15.869828121785513,73.2927084098191,True,75,146.58541451394473,146.58541679546792
75,2020-04-06,146,15.869828121785513,73.2927084098191,True,76,146.58541511813178,146.58541679546792
76,2020-04-07,146,15.869828121785513,73.2927084098191,True,77,146.5854155639968,146.58541679546792
77,2020-04-08,146,15.869828121785513,73.2927084098191,True,78,146.58541589302678,146.58541679546792
78,2020-04-09,146,15.869828121785513,73.2927084098191,True,79,146.58541613583728,146.58541679546792
79,2020-04-10,146,15.869828121785513,73.2927084098191,True,80,146.5854163150214,146.58541679546792
