,Report_Date,China_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,548,18.870367214761533,40803.767732122855,True,1,1626.1979877983842,81607.52763421467
1,2020-01-23,643,18.870367214761533,40803.767732122855,True,2,2012.5288893739614,81607.52763421467
2,2020-01-24,920,18.870367214761533,40803.767732122855,True,3,2487.7844864627164,81607.52763421467
3,2020-01-25,1406,18.870367214761533,40803.767732122855,True,4,3070.940860102522,81607.52763421467
4,2020-01-26,2075,18.870367214761533,40803.767732122855,True,5,3784.2555838295766,81607.52763421467
5,2020-01-27,2877,18.870367214761533,40803.767732122855,True,6,4653.440934725894,81607.52763421467
6,2020-01-28,5509,18.870367214761533,40803.767732122855,True,7,5707.623150479447,81607.52763421467
7,2020-01-29,6087,18.870367214761533,40803.767732122855,True,8,6978.960036566505,81607.52763421467
8,2020-01-30,8141,18.870367214761533,40803.767732122855,True,9,8501.75913180754,81607.52763421467
9,2020-01-31,9802,18.870367214761533,40803.767732122855,True,10,10310.922966731565,81607.52763421467
10,2020-02-01,11891,18.870367214761533,40803.767732122855,True,11,12439.565696922271,81607.52763421467
11,2020-02-02,16630,18.870367214761533,40803.767732122855,True,12,14915.721421968537,81607.52763421467
12,2020-02-03,19716,18.870367214761533,40803.767732122855,True,13,17758.222871281592,81607.52763421467
13,2020-02-04,23707,18.870367214761533,40803.767732122855,True,14,20972.07849074722,81607.52763421467
14,2020-02-05,27440,18.870367214761533,40803.767732122855,True,15,24543.987989956877,81607.52763421467
15,2020-02-06,30587,18.870367214761533,40803.767732122855,True,16,28438.926728864943,81607.52763421467
16,2020-02-07,34110,18.870367214761533,40803.767732122855,True,17,32598.860075511082,81607.52763421467
17,2020-02-08,36814,18.870367214761533,40803.767732122855,True,18,36944.47370875071,81607.52763421467
18,2020-02-09,39829,18.870367214761533,40803.767732122855,True,19,41380.2571898134,81607.52763421467
19,2020-02-10,42354,18.870367214761533,40803.767732122855,True,20,45802.45391014202,81607.52763421467
20,2020-02-11,44386,18.870367214761533,40803.767732122855,True,21,50108.565708577575,81607.52763421467
21,2020-02-12,44759,18.870367214761533,40803.767732122855,True,22,54206.61624267125,81607.52763421467
22,2020-02-13,59895,18.870367214761533,40803.767732122855,True,23,58022.453871289195,81607.52763421467
23,2020-02-14,66358,18.870367214761533,40803.767732122855,True,24,61503.97665706217,81607.52763421467
24,2020-02-15,68413,18.870367214761533,40803.767732122855,True,25,64622.01991076751,81607.52763421467
25,2020-02-16,70513,18.870367214761533,40803.767732122855,True,26,67368.41968850221,81607.52763421467
26,2020-02-17,72434,18.870367214761533,40803.767732122855,True,27,69752.21912181328,81607.52763421467
27,2020-02-18,74211,18.870367214761533,40803.767732122855,True,28,71795.06887033512,81607.52763421467
28,2020-02-19,74619,18.870367214761533,40803.767732122855,True,29,73526.68588474627,81607.52763421467
29,2020-02-20,75077,18.870367214761533,40803.767732122855,True,30,74980.92724224732,81607.52763421467
30,2020-02-21,75550,18.870367214761533,40803.767732122855,True,31,76192.73440969085,81607.52763421467
31,2020-02-22,77001,18.870367214761533,40803.767732122855,True,32,77195.97670526034,81607.52763421467
32,2020-02-23,77022,18.870367214761533,40803.767732122855,True,33,78022.08749773481,81607.52763421467
33,2020-02-24,77241,18.870367214761533,40803.767732122855,True,34,78699.32829434174,81607.52763421467
34,2020-02-25,77754,18.870367214761533,40803.767732122855,True,35,79252.50899871095,81607.52763421467
35,2020-02-26,78166,18.870367214761533,40803.767732122855,True,36,79703.01356405886,81607.52763421467
36,2020-02-27,78600,18.870367214761533,40803.767732122855,True,37,80069.01189262055,81607.52763421467
37,2020-02-28,78928,18.870367214761533,40803.767732122855,True,38,80365.77091487656,81607.52763421467
38,2020-02-29,79356,18.870367214761533,40803.767732122855,True,39,80606.00538279014,81607.52763421467
39,2020-03-01,79932,18.870367214761533,40803.767732122855,True,40,80800.23044064087,81607.52763421467
40,2020-03-02,80136,18.870367214761533,40803.767732122855,True,41,80957.09369682563,81607.52763421467
41,2020-03-03,80261,18.870367214761533,40803.767732122855,True,42,81083.67527586553,81607.52763421467
42,2020-03-04,80386,18.870367214761533,40803.767732122855,True,43,81185.75132939724,81607.52763421467
43,2020-03-05,80537,18.870367214761533,40803.767732122855,True,44,81268.02077770574,81607.52763421467
44,2020-03-06,80690,18.870367214761533,40803.767732122855,True,45,81334.29748856767,81607.52763421467
45,2020-03-07,80770,18.870367214761533,40803.767732122855,True,46,81387.67131557546,81607.52763421467
46,2020-03-08,80823,18.870367214761533,40803.767732122855,True,47,81430.64186816507,81607.52763421467
47,2020-03-09,80860,18.870367214761533,40803.767732122855,True,48,81465.22888098442,81607.52763421467
48,2020-03-10,80887,18.870367214761533,40803.767732122855,True,49,81493.06279581143,81607.52763421467
49,2020-03-11,80921,18.870367214761533,40803.767732122855,True,50,81515.4587951448,81607.52763421467
50,2020-03-12,80932,18.870367214761533,40803.767732122855,True,51,81533.47711225908,81607.52763421467
51,2020-03-13,80945,18.870367214761533,40803.767732122855,True,52,81547.97203386415,81607.52763421467
52,2020-03-14,80977,18.870367214761533,40803.767732122855,True,53,81559.63163299944,81607.52763421467
53,2020-03-15,81003,18.870367214761533,40803.767732122855,True,54,81569.0099325801,81607.52763421467
54,2020-03-16,81033,18.870367214761533,40803.767732122855,True,55,81576.55290730925,81607.52763421467
55,2020-03-17,81058,18.870367214761533,40803.767732122855,True,56,81582.61948221283,81607.52763421467
56,2020-03-18,81102,18.870367214761533,40803.767732122855,True,57,81587.49847626465,81607.52763421467
57,2020-03-19,81156,18.870367214761533,40803.767732122855,True,58,81591.42226488498,81607.52763421467
