,Report_Date,Denmark_greenland_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,64.9003615885797,6.406495980688884,True,1,0.00015299827735881178,12.665450174187836
1,2020-01-23,0,64.9003615885797,6.406495980688884,True,2,0.0001826950193276087,12.665450174187836
2,2020-01-24,0,64.9003615885797,6.406495980688884,True,3,0.0002181557573577692,12.665450174187836
3,2020-01-25,0,64.9003615885797,6.406495980688884,True,4,0.0002604992138143925,12.665450174187836
4,2020-01-26,0,64.9003615885797,6.406495980688884,True,5,0.0003110612238299321,12.665450174187836
5,2020-01-27,0,64.9003615885797,6.406495980688884,True,6,0.00037143686324879005,12.665450174187836
6,2020-01-28,0,64.9003615885797,6.406495980688884,True,7,0.0004435307477304939,12.665450174187836
7,2020-01-29,0,64.9003615885797,6.406495980688884,True,8,0.0005296170865188777,12.665450174187836
8,2020-01-30,0,64.9003615885797,6.406495980688884,True,9,0.0006324113806705141,12.665450174187836
9,2020-01-31,0,64.9003615885797,6.406495980688884,True,10,0.0007551560208143895,12.665450174187836
10,2020-02-01,0,64.9003615885797,6.406495980688884,True,11,0.0009017224750423643,12.665450174187836
11,2020-02-02,0,64.9003615885797,6.406495980688884,True,12,0.0010767332766642677,12.665450174187836
12,2020-02-03,0,64.9003615885797,6.406495980688884,True,13,0.0012857076401352556,12.665450174187836
13,2020-02-04,0,64.9003615885797,6.406495980688884,True,14,0.0015352352702142256,12.665450174187836
14,2020-02-05,0,64.9003615885797,6.406495980688884,True,15,0.0018331838064761948,12.665450174187836
15,2020-02-06,0,64.9003615885797,6.406495980688884,True,16,0.0021889463887699865,12.665450174187836
16,2020-02-07,0,64.9003615885797,6.406495980688884,True,17,0.002613737069755733,12.665450174187836
17,2020-02-08,0,64.9003615885797,6.406495980688884,True,18,0.0031209432742078038,12.665450174187836
18,2020-02-09,0,64.9003615885797,6.406495980688884,True,19,0.0037265462532529805,12.665450174187836
19,2020-02-10,0,64.9003615885797,6.406495980688884,True,20,0.004449622553796918,12.665450174187836
20,2020-02-11,0,64.9003615885797,6.406495980688884,True,21,0.005312941975200305,12.665450174187836
21,2020-02-12,0,64.9003615885797,6.406495980688884,True,22,0.006343680380998661,12.665450174187836
22,2020-02-13,0,64.9003615885797,6.406495980688884,True,23,0.0075742691457730965,12.665450174187836
23,2020-02-14,0,64.9003615885797,6.406495980688884,True,24,0.009043407027253822,12.665450174187836
24,2020-02-15,0,64.9003615885797,6.406495980688884,True,25,0.010797264950148417,12.665450174187836
25,2020-02-16,0,64.9003615885797,6.406495980688884,True,26,0.012890919665657377,12.665450174187836
26,2020-02-17,0,64.9003615885797,6.406495980688884,True,27,0.015390058606085341,12.665450174187836
27,2020-02-18,0,64.9003615885797,6.406495980688884,True,28,0.01837300558043797,12.665450174187836
28,2020-02-19,0,64.9003615885797,6.406495980688884,True,29,0.021933125333647222,12.665450174187836
29,2020-02-20,0,64.9003615885797,6.406495980688884,True,30,0.026181674468977522,12.665450174187836
30,2020-02-21,0,64.9003615885797,6.406495980688884,True,31,0.03125117680725399,12.665450174187836
31,2020-02-22,0,64.9003615885797,6.406495980688884,True,32,0.03729941283717659,12.665450174187836
32,2020-02-23,0,64.9003615885797,6.406495980688884,True,33,0.044514125269235,12.665450174187836
33,2020-02-24,0,64.9003615885797,6.406495980688884,True,34,0.05311855540212534,12.665450174187836
34,2020-02-25,0,64.9003615885797,6.406495980688884,True,35,0.06337793729325922,12.665450174187836
35,2020-02-26,0,64.9003615885797,6.406495980688884,True,36,0.07560708738893772,12.665450174187836
36,2020-02-27,0,64.9003615885797,6.406495980688884,True,37,0.09017923446543027,12.665450174187836
37,2020-02-28,0,64.9003615885797,6.406495980688884,True,38,0.1075362357106112,12.665450174187836
38,2020-02-29,0,64.9003615885797,6.406495980688884,True,39,0.12820031555843006,12.665450174187836
39,2020-03-01,0,64.9003615885797,6.406495980688884,True,40,0.15278743885355195,12.665450174187836
40,2020-03-02,0,64.9003615885797,6.406495980688884,True,41,0.18202238131237233,12.665450174187836
41,2020-03-03,0,64.9003615885797,6.406495980688884,True,42,0.21675547761753522,12.665450174187836
42,2020-03-04,0,64.9003615885797,6.406495980688884,True,43,0.25798089718380957,12.665450174187836
43,2020-03-05,0,64.9003615885797,6.406495980688884,True,44,0.3068561024398669,12.665450174187836
44,2020-03-06,0,64.9003615885797,6.406495980688884,True,45,0.3647218636621771,12.665450174187836
45,2020-03-07,0,64.9003615885797,6.406495980688884,True,46,0.433121814716041,12.665450174187836
46,2020-03-08,0,64.9003615885797,6.406495980688884,True,47,0.5138200122547257,12.665450174187836
47,2020-03-09,0,64.9003615885797,6.406495980688884,True,48,0.6088142888841925,12.665450174187836
48,2020-03-10,0,64.9003615885797,6.406495980688884,True,49,0.7203423645160385,12.665450174187836
49,2020-03-11,0,64.9003615885797,6.406495980688884,True,50,0.8508767239167256,12.665450174187836
50,2020-03-12,0,64.9003615885797,6.406495980688884,True,51,1.0031032552854597,12.665450174187836
51,2020-03-13,0,64.9003615885797,6.406495980688884,True,52,1.1798777220884,12.665450174187836
52,2020-03-14,0,64.9003615885797,6.406495980688884,True,53,1.384153558019274,12.665450174187836
53,2020-03-15,0,64.9003615885797,6.406495980688884,True,54,1.6188746042542679,12.665450174187836
54,2020-03-16,1,64.9003615885797,6.406495980688884,True,55,1.8868277360094752,12.665450174187836
55,2020-03-17,1,64.9003615885797,6.406495980688884,True,56,2.1904533956776233,12.665450174187836
