,Report_Date,Canada_new brunswick_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,71.11000293817366,72.92885974502663,True,1,0.0017148964787112937,139.3147703222912
1,2020-01-23,0,71.11000293817366,72.92885974502663,True,2,0.0020162789075152364,139.3147703222912
2,2020-01-24,0,71.11000293817366,72.92885974502663,True,3,0.002370626569625726,139.3147703222912
3,2020-01-25,0,71.11000293817366,72.92885974502663,True,4,0.0027872472961063227,139.3147703222912
4,2020-01-26,0,71.11000293817366,72.92885974502663,True,5,0.0032770845013503887,139.3147703222912
5,2020-01-27,0,71.11000293817366,72.92885974502663,True,6,0.0038530045416349614,139.3147703222912
6,2020-01-28,0,71.11000293817366,72.92885974502663,True,7,0.00453013454180934,139.3147703222912
7,2020-01-29,0,71.11000293817366,72.92885974502663,True,8,0.005326259546685969,139.3147703222912
8,2020-01-30,0,71.11000293817366,72.92885974502663,True,9,0.006262289405233716,139.3147703222912
9,2020-01-31,0,71.11000293817366,72.92885974502663,True,10,0.0073628076179804635,139.3147703222912
10,2020-02-01,0,71.11000293817366,72.92885974502663,True,11,0.008656716517974023,139.3147703222912
11,2020-02-02,0,71.11000293817366,72.92885974502663,True,12,0.010177995668047024,139.3147703222912
12,2020-02-03,0,71.11000293817366,72.92885974502663,True,13,0.011966593306052592,139.3147703222912
13,2020-02-04,0,71.11000293817366,72.92885974502663,True,14,0.014069474129984409,139.3147703222912
14,2020-02-05,0,71.11000293817366,72.92885974502663,True,15,0.016541850773682157,139.3147703222912
15,2020-02-06,0,71.11000293817366,72.92885974502663,True,16,0.019448631082685037,139.3147703222912
16,2020-02-07,0,71.11000293817366,72.92885974502663,True,17,0.022866118876714383,139.3147703222912
17,2020-02-08,0,71.11000293817366,72.92885974502663,True,18,0.026884012417035023,139.3147703222912
18,2020-02-09,0,71.11000293817366,72.92885974502663,True,19,0.031607752441739696,139.3147703222912
19,2020-02-10,0,71.11000293817366,72.92885974502663,True,20,0.03716128057213304,139.3147703222912
20,2020-02-11,0,71.11000293817366,72.92885974502663,True,21,0.0436902793381556,139.3147703222912
21,2020-02-12,0,71.11000293817366,72.92885974502663,True,22,0.05136597725929103,139.3147703222912
22,2020-02-13,0,71.11000293817366,72.92885974502663,True,23,0.060389616621165154,139.3147703222912
23,2020-02-14,0,71.11000293817366,72.92885974502663,True,24,0.07099769811308708,139.3147703222912
24,2020-02-15,0,71.11000293817366,72.92885974502663,True,25,0.08346813567968536,139.3147703222912
25,2020-02-16,0,71.11000293817366,72.92885974502663,True,26,0.09812747716712872,139.3147703222912
26,2020-02-17,0,71.11000293817366,72.92885974502663,True,27,0.11535937201954194,139.3147703222912
27,2020-02-18,0,71.11000293817366,72.92885974502663,True,28,0.1356144968370086,139.3147703222912
28,2020-02-19,0,71.11000293817366,72.92885974502663,True,29,0.15942218348721954,139.3147703222912
29,2020-02-20,0,71.11000293817366,72.92885974502663,True,30,0.18740403310205664,139.3147703222912
30,2020-02-21,0,71.11000293817366,72.92885974502663,True,31,0.2202898430770345,139.3147703222912
31,2020-02-22,0,71.11000293817366,72.92885974502663,True,32,0.25893622341772127,139.3147703222912
32,2020-02-23,0,71.11000293817366,72.92885974502663,True,33,0.3043483335621148,139.3147703222912
33,2020-02-24,0,71.11000293817366,72.92885974502663,True,34,0.3577052309873551,139.3147703222912
34,2020-02-25,0,71.11000293817366,72.92885974502663,True,35,0.42038938787937796,139.3147703222912
35,2020-02-26,0,71.11000293817366,72.92885974502663,True,36,0.494021000643121,139.3147703222912
36,2020-02-27,0,71.11000293817366,72.92885974502663,True,37,0.5804977868364773,139.3147703222912
37,2020-02-28,0,71.11000293817366,72.92885974502663,True,38,0.6820410316299317,139.3147703222912
38,2020-02-29,0,71.11000293817366,72.92885974502663,True,39,0.8012487056089894,139.3147703222912
39,2020-03-01,0,71.11000293817366,72.92885974502663,True,40,0.9411565194774907,139.3147703222912
40,2020-03-02,0,71.11000293817366,72.92885974502663,True,41,1.1053077972126035,139.3147703222912
41,2020-03-03,0,71.11000293817366,72.92885974502663,True,42,1.29783302087996,139.3147703222912
42,2020-03-04,0,71.11000293817366,72.92885974502663,True,43,1.5235398047425623,139.3147703222912
43,2020-03-05,0,71.11000293817366,72.92885974502663,True,44,1.788013862490567,139.3147703222912
44,2020-03-06,0,71.11000293817366,72.92885974502663,True,45,2.097731198248255,139.3147703222912
45,2020-03-07,0,71.11000293817366,72.92885974502663,True,46,2.46018122609173,139.3147703222912
46,2020-03-08,0,71.11000293817366,72.92885974502663,True,47,2.8839997366049337,139.3147703222912
47,2020-03-09,0,71.11000293817366,72.92885974502663,True,48,3.379109499772714,139.3147703222912
48,2020-03-10,0,71.11000293817366,72.92885974502663,True,49,3.9568647240709116,139.3147703222912
49,2020-03-11,1,71.11000293817366,72.92885974502663,True,50,4.630193474494348,139.3147703222912
50,2020-03-12,1,71.11000293817366,72.92885974502663,True,51,5.413729379616771,139.3147703222912
51,2020-03-13,1,71.11000293817366,72.92885974502663,True,52,6.32392044025252,139.3147703222912
52,2020-03-14,1,71.11000293817366,72.92885974502663,True,53,7.379098450958728,139.3147703222912
53,2020-03-15,2,71.11000293817366,72.92885974502663,True,54,8.59948752141361,139.3147703222912
54,2020-03-16,6,71.11000293817366,72.92885974502663,True,55,10.007124669081362,139.3147703222912
55,2020-03-17,8,71.11000293817366,72.92885974502663,True,56,11.625659941789424,139.3147703222912
56,2020-03-18,11,71.11000293817366,72.92885974502663,True,57,13.47999888297124,139.3147703222912
