,Report_Date,Ethiopia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,80.9219086532588,67.50508804196505,True,1,0.0027268570961257667,119.46682416024724
1,2020-01-23,0,80.9219086532588,67.50508804196505,True,2,0.0031217788932431214,119.46682416024724
2,2020-01-24,0,80.9219086532588,67.50508804196505,True,3,0.003573894408882724,119.46682416024724
3,2020-01-25,0,80.9219086532588,67.50508804196505,True,4,0.0040914861327122545,119.46682416024724
4,2020-01-26,0,80.9219086532588,67.50508804196505,True,5,0.0046840358343475325,119.46682416024724
5,2020-01-27,0,80.9219086532588,67.50508804196505,True,6,0.005362398170155117,119.46682416024724
6,2020-01-28,0,80.9219086532588,67.50508804196505,True,7,0.006138999407140287,119.46682416024724
7,2020-01-29,0,80.9219086532588,67.50508804196505,True,8,0.007028064893430946,119.46682416024724
8,2020-01-30,0,80.9219086532588,67.50508804196505,True,9,0.008045879427984633,119.46682416024724
9,2020-01-31,0,80.9219086532588,67.50508804196505,True,10,0.009211085280235131,119.46682416024724
10,2020-02-01,0,80.9219086532588,67.50508804196505,True,11,0.010545023294070734,119.46682416024724
11,2020-02-02,0,80.9219086532588,67.50508804196505,True,12,0.012072123291871673,119.46682416024724
12,2020-02-03,0,80.9219086532588,67.50508804196505,True,13,0.013820350887053585,119.46682416024724
13,2020-02-04,0,80.9219086532588,67.50508804196505,True,14,0.015821718833247327,119.46682416024724
14,2020-02-05,0,80.9219086532588,67.50508804196505,True,15,0.01811287220255964,119.46682416024724
15,2020-02-06,0,80.9219086532588,67.50508804196505,True,16,0.02073575801430579,119.46682416024724
16,2020-02-07,0,80.9219086532588,67.50508804196505,True,17,0.023738391451790034,119.46682416024724
17,2020-02-08,0,80.9219086532588,67.50508804196505,True,18,0.027175732533630273,119.46682416024724
18,2020-02-09,0,80.9219086532588,67.50508804196505,True,19,0.0311106890764682,119.46682416024724
19,2020-02-10,0,80.9219086532588,67.50508804196505,True,20,0.03561526402986449,119.46682416024724
20,2020-02-11,0,80.9219086532588,67.50508804196505,True,21,0.04077186781774469,119.46682416024724
21,2020-02-12,0,80.9219086532588,67.50508804196505,True,22,0.046674819224021356,119.46682416024724
22,2020-02-13,0,80.9219086532588,67.50508804196505,True,23,0.05343206165740104,119.46682416024724
23,2020-02-14,0,80.9219086532588,67.50508804196505,True,24,0.06116712537084078,119.46682416024724
24,2020-02-15,0,80.9219086532588,67.50508804196505,True,25,0.07002137044819273,119.46682416024724
25,2020-02-16,0,80.9219086532588,67.50508804196505,True,26,0.08015655016230654,119.46682416024724
26,2020-02-17,0,80.9219086532588,67.50508804196505,True,27,0.09175773971744329,119.46682416024724
27,2020-02-18,0,80.9219086532588,67.50508804196505,True,28,0.10503668147996241,119.46682416024724
28,2020-02-19,0,80.9219086532588,67.50508804196505,True,29,0.12023560464283968,119.46682416024724
29,2020-02-20,0,80.9219086532588,67.50508804196505,True,30,0.13763158493010103,119.46682416024724
30,2020-02-21,0,80.9219086532588,67.50508804196505,True,31,0.15754151849287237,119.46682416024724
31,2020-02-22,0,80.9219086532588,67.50508804196505,True,32,0.18032779363938992,119.46682416024724
32,2020-02-23,0,80.9219086532588,67.50508804196505,True,33,0.20640475452513216,119.46682416024724
33,2020-02-24,0,80.9219086532588,67.50508804196505,True,34,0.23624606243483398,119.46682416024724
34,2020-02-25,0,80.9219086532588,67.50508804196505,True,35,0.2703930728141184,119.46682416024724
35,2020-02-26,0,80.9219086532588,67.50508804196505,True,36,0.30946435970918845,119.46682416024724
36,2020-02-27,0,80.9219086532588,67.50508804196505,True,37,0.3541665336396862,119.46682416024724
37,2020-02-28,0,80.9219086532588,67.50508804196505,True,38,0.40530651396562506,119.46682416024724
38,2020-02-29,0,80.9219086532588,67.50508804196505,True,39,0.4638054321966508,119.46682416024724
39,2020-03-01,0,80.9219086532588,67.50508804196505,True,40,0.530714357950232,119.46682416024724
40,2020-03-02,0,80.9219086532588,67.50508804196505,True,41,0.6072320536968806,119.46682416024724
41,2020-03-03,0,80.9219086532588,67.50508804196505,True,42,0.6947249770509658,119.46682416024724
42,2020-03-04,0,80.9219086532588,67.50508804196505,True,43,0.7947497588180343,119.46682416024724
43,2020-03-05,0,80.9219086532588,67.50508804196505,True,44,0.9090783894560882,119.46682416024724
44,2020-03-06,0,80.9219086532588,67.50508804196505,True,45,1.0397263435993498,119.46682416024724
45,2020-03-07,0,80.9219086532588,67.50508804196505,True,46,1.1889838586094323,119.46682416024724
46,2020-03-08,0,80.9219086532588,67.50508804196505,True,47,1.359450554586891,119.46682416024724
47,2020-03-09,0,80.9219086532588,67.50508804196505,True,48,1.5540735345583407,119.46682416024724
48,2020-03-10,0,80.9219086532588,67.50508804196505,True,49,1.7761890279217722,119.46682416024724
49,2020-03-11,0,80.9219086532588,67.50508804196505,True,50,2.0295675293341944,119.46682416024724
50,2020-03-12,0,80.9219086532588,67.50508804196505,True,51,2.318462228882052,119.46682416024724
51,2020-03-13,1,80.9219086532588,67.50508804196505,True,52,2.6476603154407092,119.46682416024724
52,2020-03-14,1,80.9219086532588,67.50508804196505,True,53,3.022536449495469,119.46682416024724
53,2020-03-15,1,80.9219086532588,67.50508804196505,True,54,3.449107328535192,119.46682416024724
54,2020-03-16,5,80.9219086532588,67.50508804196505,True,55,3.934085790530458,119.46682416024724
55,2020-03-17,5,80.9219086532588,67.50508804196505,True,56,4.484932302210168,119.46682416024724
56,2020-03-18,6,80.9219086532588,67.50508804196505,True,57,5.109900944325805,119.46682416024724
