,Report_Date,Honduras_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,79.63743106418697,373.55787450972497,True,1,0.008633112880839226,610.6090294400722
1,2020-01-23,0,79.63743106418697,373.55787450972497,True,2,0.009975879291402125,610.6090294400722
2,2020-01-24,0,79.63743106418697,373.55787450972497,True,3,0.011527492017134688,610.6090294400722
3,2020-01-25,0,79.63743106418697,373.55787450972497,True,4,0.013320432755773454,610.6090294400722
4,2020-01-26,0,79.63743106418697,373.55787450972497,True,5,0.015392234694910823,610.6090294400722
5,2020-01-27,0,79.63743106418697,373.55787450972497,True,6,0.01778626798834543,610.6090294400722
6,2020-01-28,0,79.63743106418697,373.55787450972497,True,7,0.020552647328577325,610.6090294400722
7,2020-01-29,0,79.63743106418697,373.55787450972497,True,8,0.02374928058068652,610.6090294400722
8,2020-01-30,0,79.63743106418697,373.55787450972497,True,9,0.02744308038413306,610.6090294400722
9,2020-01-31,0,79.63743106418697,373.55787450972497,True,10,0.031711364024943726,610.6090294400722
10,2020-02-01,0,79.63743106418697,373.55787450972497,True,11,0.03664347080105874,610.6090294400722
11,2020-02-02,0,79.63743106418697,373.55787450972497,True,12,0.04234263062858515,610.6090294400722
12,2020-02-03,0,79.63743106418697,373.55787450972497,True,13,0.04892812285868325,610.6090294400722
13,2020-02-04,0,79.63743106418697,373.55787450972497,True,14,0.056537770299932684,610.6090294400722
14,2020-02-05,0,79.63743106418697,373.55787450972497,True,15,0.06533082039116445,610.6090294400722
15,2020-02-06,0,79.63743106418697,373.55787450972497,True,16,0.07549127348472316,610.6090294400722
16,2020-02-07,0,79.63743106418697,373.55787450972497,True,17,0.08723172744014901,610.6090294400722
17,2020-02-08,0,79.63743106418697,373.55787450972497,True,18,0.10079781837665948,610.6090294400722
18,2020-02-09,0,79.63743106418697,373.55787450972497,True,19,0.11647334969898177,610.6090294400722
19,2020-02-10,0,79.63743106418697,373.55787450972497,True,20,0.13458621563380804,610.6090294400722
20,2020-02-11,0,79.63743106418697,373.55787450972497,True,21,0.1555152417650306,610.6090294400722
21,2020-02-12,0,79.63743106418697,373.55787450972497,True,22,0.179698083743103,610.6090294400722
22,2020-02-13,0,79.63743106418697,373.55787450972497,True,23,0.20764034681580826,610.6090294400722
23,2020-02-14,0,79.63743106418697,373.55787450972497,True,24,0.23992611347688045,610.6090294400722
24,2020-02-15,0,79.63743106418697,373.55787450972497,True,25,0.2772300947953288,610.6090294400722
25,2020-02-16,0,79.63743106418697,373.55787450972497,True,26,0.3203316533624002,610.6090294400722
26,2020-02-17,0,79.63743106418697,373.55787450972497,True,27,0.3701309828176637,610.6090294400722
27,2020-02-18,0,79.63743106418697,373.55787450972497,True,28,0.42766777118607974,610.6090294400722
28,2020-02-19,0,79.63743106418697,373.55787450972497,True,29,0.4941427234197954,610.6090294400722
29,2020-02-20,0,79.63743106418697,373.55787450972497,True,30,0.5709423732817079,610.6090294400722
30,2020-02-21,0,79.63743106418697,373.55787450972497,True,31,0.6596676767553088,610.6090294400722
31,2020-02-22,0,79.63743106418697,373.55787450972497,True,32,0.7621669492533942,610.6090294400722
32,2020-02-23,0,79.63743106418697,373.55787450972497,True,33,0.8805737877473013,610.6090294400722
33,2020-02-24,0,79.63743106418697,373.55787450972497,True,34,1.0173507072081325,610.6090294400722
34,2020-02-25,0,79.63743106418697,373.55787450972497,True,35,1.1753393189766979,610.6090294400722
35,2020-02-26,0,79.63743106418697,373.55787450972497,True,36,1.3578179871776086,610.6090294400722
36,2020-02-27,0,79.63743106418697,373.55787450972497,True,37,1.5685680180387118,610.6090294400722
37,2020-02-28,0,79.63743106418697,373.55787450972497,True,38,1.8119495654235003,610.6090294400722
38,2020-02-29,0,79.63743106418697,373.55787450972497,True,39,2.092988572726097,610.6090294400722
39,2020-03-01,0,79.63743106418697,373.55787450972497,True,40,2.4174762141315416,610.6090294400722
40,2020-03-02,0,79.63743106418697,373.55787450972497,True,41,2.7920824432185847,610.6090294400722
41,2020-03-03,0,79.63743106418697,373.55787450972497,True,42,3.2244853980216273,610.6090294400722
42,2020-03-04,0,79.63743106418697,373.55787450972497,True,43,3.7235185402212188,610.6090294400722
43,2020-03-05,0,79.63743106418697,373.55787450972497,True,44,4.299337509612881,610.6090294400722
44,2020-03-06,0,79.63743106418697,373.55787450972497,True,45,4.963608736003571,610.6090294400722
45,2020-03-07,0,79.63743106418697,373.55787450972497,True,46,5.729721845387719,610.6090294400722
46,2020-03-08,0,79.63743106418697,373.55787450972497,True,47,6.6130277936191755,610.6090294400722
47,2020-03-09,0,79.63743106418697,373.55787450972497,True,48,7.631104416385804,610.6090294400722
48,2020-03-10,0,79.63743106418697,373.55787450972497,True,49,8.80405064377323,610.6090294400722
49,2020-03-11,2,79.63743106418697,373.55787450972497,True,50,10.154809920075026,610.6090294400722
50,2020-03-12,2,79.63743106418697,373.55787450972497,True,51,11.70952230528798,610.6090294400722
51,2020-03-13,2,79.63743106418697,373.55787450972497,True,52,13.497903203442222,610.6090294400722
52,2020-03-14,2,79.63743106418697,373.55787450972497,True,53,15.553644531494594,610.6090294400722
53,2020-03-15,3,79.63743106418697,373.55787450972497,True,54,17.91483125568415,610.6090294400722
54,2020-03-16,6,79.63743106418697,373.55787450972497,True,55,20.624362406366878,610.6090294400722
55,2020-03-17,8,79.63743106418697,373.55787450972497,True,56,23.730360754957907,610.6090294400722
56,2020-03-18,9,79.63743106418697,373.55787450972497,True,57,27.28654912473746,610.6090294400722
