,Report_Date,Iraq_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,185.9742328243678,110198.69171489376,True,1,10.681950592230638,188422.76201890322
1,2020-01-23,0,185.9742328243678,110198.69171489376,True,2,11.271311752555013,188422.76201890322
2,2020-01-24,0,185.9742328243678,110198.69171489376,True,3,11.893188306927549,188422.76201890322
3,2020-01-25,0,185.9742328243678,110198.69171489376,True,4,12.549373949355054,188422.76201890322
4,2020-01-26,0,185.9742328243678,110198.69171489376,True,5,13.241761299435602,188422.76201890322
5,2020-01-27,0,185.9742328243678,110198.69171489376,True,6,13.97234735573225,188422.76201890322
6,2020-01-28,0,185.9742328243678,110198.69171489376,True,7,14.743239249479394,188422.76201890322
7,2020-01-29,0,185.9742328243678,110198.69171489376,True,8,15.556660315129033,188422.76201890322
8,2020-01-30,0,185.9742328243678,110198.69171489376,True,9,16.414956495147745,188422.76201890322
9,2020-01-31,0,185.9742328243678,110198.69171489376,True,10,17.320603097427792,188422.76201890322
10,2020-02-01,0,185.9742328243678,110198.69171489376,True,11,18.27621192467999,188422.76201890322
11,2020-02-02,0,185.9742328243678,110198.69171489376,True,12,19.284538796234592,188422.76201890322
12,2020-02-03,0,185.9742328243678,110198.69171489376,True,13,20.348491483792397,188422.76201890322
13,2020-02-04,0,185.9742328243678,110198.69171489376,True,14,21.47113808384449,188422.76201890322
14,2020-02-05,0,185.9742328243678,110198.69171489376,True,15,22.65571585071861,188422.76201890322
15,2020-02-06,0,185.9742328243678,110198.69171489376,True,16,23.90564051551697,188422.76201890322
16,2020-02-07,0,185.9742328243678,110198.69171489376,True,17,25.22451611758695,188422.76201890322
17,2020-02-08,0,185.9742328243678,110198.69171489376,True,18,26.61614537661719,188422.76201890322
18,2020-02-09,0,185.9742328243678,110198.69171489376,True,19,28.0845406349805,188422.76201890322
19,2020-02-10,0,185.9742328243678,110198.69171489376,True,20,29.63393540155558,188422.76201890322
20,2020-02-11,0,185.9742328243678,110198.69171489376,True,21,31.26879652995681,188422.76201890322
21,2020-02-12,0,185.9742328243678,110198.69171489376,True,22,32.99383706588879,188422.76201890322
22,2020-02-13,0,185.9742328243678,110198.69171489376,True,23,34.814029800225526,188422.76201890322
23,2020-02-14,0,185.9742328243678,110198.69171489376,True,24,36.73462156639718,188422.76201890322
24,2020-02-15,0,185.9742328243678,110198.69171489376,True,25,38.761148322755886,188422.76201890322
25,2020-02-16,0,185.9742328243678,110198.69171489376,True,26,40.89945106279147,188422.76201890322
26,2020-02-17,0,185.9742328243678,110198.69171489376,True,27,43.155692598383105,188422.76201890322
27,2020-02-18,0,185.9742328243678,110198.69171489376,True,28,45.536375263710916,188422.76201890322
28,2020-02-19,0,185.9742328243678,110198.69171489376,True,29,48.04835959001682,188422.76201890322
29,2020-02-20,0,185.9742328243678,110198.69171489376,True,30,50.6988840041048,188422.76201890322
30,2020-02-21,0,185.9742328243678,110198.69171489376,True,31,53.49558560631205,188422.76201890322
31,2020-02-22,0,185.9742328243678,110198.69171489376,True,32,56.44652208667205,188422.76201890322
32,2020-02-23,0,185.9742328243678,110198.69171489376,True,33,59.56019484113599,188422.76201890322
33,2020-02-24,1,185.9742328243678,110198.69171489376,True,34,62.84557335302647,188422.76201890322
34,2020-02-25,1,185.9742328243678,110198.69171489376,True,35,66.31212090837585,188422.76201890322
35,2020-02-26,5,185.9742328243678,110198.69171489376,True,36,69.96982171745897,188422.76201890322
36,2020-02-27,7,185.9742328243678,110198.69171489376,True,37,73.82920951867305,188422.76201890322
37,2020-02-28,7,185.9742328243678,110198.69171489376,True,38,77.90139774495877,188422.76201890322
38,2020-02-29,13,185.9742328243678,110198.69171489376,True,39,82.19811133719931,188422.76201890322
39,2020-03-01,19,185.9742328243678,110198.69171489376,True,40,86.73172029349307,188422.76201890322
40,2020-03-02,26,185.9742328243678,110198.69171489376,True,41,91.51527504787741,188422.76201890322
