,Report_Date,Somalia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,121.03367713699478,1533.394399068233,True,1,0.5291736655301441,3020.77418156611
1,2020-01-23,0,121.03367713699478,1533.394399068233,True,2,0.5687772778383835,3020.77418156611
2,2020-01-24,0,121.03367713699478,1533.394399068233,True,3,0.611344252642897,3020.77418156611
3,2020-01-25,0,121.03367713699478,1533.394399068233,True,4,0.6570962334438791,3020.77418156611
4,2020-01-26,0,121.03367713699478,1533.394399068233,True,5,0.7062714272297926,3020.77418156611
5,2020-01-27,0,121.03367713699478,1533.394399068233,True,6,0.7591258400596468,3020.77418156611
6,2020-01-28,0,121.03367713699478,1533.394399068233,True,7,0.8159346044720442,3020.77418156611
7,2020-01-29,0,121.03367713699478,1533.394399068233,True,8,0.8769934054920078,3020.77418156611
8,2020-01-30,0,121.03367713699478,1533.394399068233,True,9,0.9426200124975493,3020.77418156611
9,2020-01-31,0,121.03367713699478,1533.394399068233,True,10,1.0131559247331723,3020.77418156611
10,2020-02-01,0,121.03367713699478,1533.394399068233,True,11,1.0889681388192303,3020.77418156611
11,2020-02-02,0,121.03367713699478,1533.394399068233,True,12,1.1704510472065428,3020.77418156611
12,2020-02-03,0,121.03367713699478,1533.394399068233,True,13,1.2580284771673451,3020.77418156611
13,2020-02-04,0,121.03367713699478,1533.394399068233,True,14,1.3521558805989737,3020.77418156611
14,2020-02-05,0,121.03367713699478,1533.394399068233,True,15,1.4533226856483004,3020.77418156611
15,2020-02-06,0,121.03367713699478,1533.394399068233,True,16,1.5620548219454802,3020.77418156611
16,2020-02-07,0,121.03367713699478,1533.394399068233,True,17,1.6789174320678943,3020.77418156611
17,2020-02-08,0,121.03367713699478,1533.394399068233,True,18,1.8045177827420182,3020.77418156611
18,2020-02-09,0,121.03367713699478,1533.394399068233,True,19,1.9395083902353087,3020.77418156611
19,2020-02-10,0,121.03367713699478,1533.394399068233,True,20,2.0845903753949715,3020.77418156611
20,2020-02-11,0,121.03367713699478,1533.394399068233,True,21,2.2405170648585786,3020.77418156611
21,2020-02-12,0,121.03367713699478,1533.394399068233,True,22,2.4080978560959503,3020.77418156611
22,2020-02-13,0,121.03367713699478,1533.394399068233,True,23,2.5882023651453028,3020.77418156611
23,2020-02-14,0,121.03367713699478,1533.394399068233,True,24,2.7817648771821886,3020.77418156611
24,2020-02-15,0,121.03367713699478,1533.394399068233,True,25,2.9897891214098875,3020.77418156611
25,2020-02-16,0,121.03367713699478,1533.394399068233,True,26,3.2133533931869764,3020.77418156611
26,2020-02-17,0,121.03367713699478,1533.394399068233,True,27,3.453616047813944,3020.77418156611
27,2020-02-18,0,121.03367713699478,1533.394399068233,True,28,3.711821391987667,3020.77418156611
28,2020-02-19,0,121.03367713699478,1533.394399068233,True,29,3.9893060006014767,3020.77418156611
29,2020-02-20,0,121.03367713699478,1533.394399068233,True,30,4.287505488320057,3020.77418156611
30,2020-02-21,0,121.03367713699478,1533.394399068233,True,31,4.607961767192281,3020.77418156611
31,2020-02-22,0,121.03367713699478,1533.394399068233,True,32,4.952330823480192,3020.77418156611
32,2020-02-23,0,121.03367713699478,1533.394399068233,True,33,5.322391048876308,3020.77418156611
33,2020-02-24,0,121.03367713699478,1533.394399068233,True,34,5.720052163350542,3020.77418156611
34,2020-02-25,0,121.03367713699478,1533.394399068233,True,35,6.147364769006924,3020.77418156611
35,2020-02-26,0,121.03367713699478,1533.394399068233,True,36,6.606530576531416,3020.77418156611
36,2020-02-27,0,121.03367713699478,1533.394399068233,True,37,7.099913348065729,3020.77418156611
37,2020-02-28,0,121.03367713699478,1533.394399068233,True,38,7.630050602635574,3020.77418156611
38,2020-02-29,0,121.03367713699478,1533.394399068233,True,39,8.199666132578944,3020.77418156611
39,2020-03-01,0,121.03367713699478,1533.394399068233,True,40,8.81168338174154,3020.77418156611
40,2020-03-02,0,121.03367713699478,1533.394399068233,True,41,9.469239738507426,3020.77418156611
41,2020-03-03,0,121.03367713699478,1533.394399068233,True,42,10.175701798984031,3020.77418156611
42,2020-03-04,0,121.03367713699478,1533.394399068233,True,43,10.9346816578262,3020.77418156611
43,2020-03-05,0,121.03367713699478,1533.394399068233,True,44,11.75005428622078,3020.77418156611
44,2020-03-06,0,121.03367713699478,1533.394399068233,True,45,12.62597605841097,3020.77418156611
45,2020-03-07,0,121.03367713699478,1533.394399068233,True,46,13.566904489757551,3020.77418156611
46,2020-03-08,0,121.03367713699478,1533.394399068233,True,47,14.577619250641833,3020.77418156611
47,2020-03-09,0,121.03367713699478,1533.394399068233,True,48,15.663244521428823,3020.77418156611
48,2020-03-10,0,121.03367713699478,1533.394399068233,True,49,16.82927275413274,3020.77418156611
49,2020-03-11,0,121.03367713699478,1533.394399068233,True,50,18.081589906247206,3020.77418156611
50,2020-03-12,0,121.03367713699478,1533.394399068233,True,51,19.426502211289097,3020.77418156611
51,2020-03-13,0,121.03367713699478,1533.394399068233,True,52,20.870764548808225,3020.77418156611
52,2020-03-14,0,121.03367713699478,1533.394399068233,True,53,22.421610473761508,3020.77418156611
53,2020-03-15,0,121.03367713699478,1533.394399068233,True,54,24.086783961043317,3020.77418156611
54,2020-03-16,1,121.03367713699478,1533.394399068233,True,55,25.874572915377613,3020.77418156611
55,2020-03-17,1,121.03367713699478,1533.394399068233,True,56,27.79384448945781,3020.77418156611
56,2020-03-18,1,121.03367713699478,1533.394399068233,True,57,29.85408224387724,3020.77418156611
57,2020-03-19,1,121.03367713699478,1533.394399068233,True,58,32.06542517070267,3020.77418156611
58,2020-03-20,1,121.03367713699478,1533.394399068233,True,59,34.43870858814184,3020.77418156611
59,2020-03-21,1,121.03367713699478,1533.394399068233,True,60,36.98550689623688,3020.77418156611
60,2020-03-22,1,121.03367713699478,1533.394399068233,True,61,39.71817816243048,3020.77418156611
61,2020-03-23,1,121.03367713699478,1533.394399068233,True,62,42.64991048070598,3020.77418156611
62,2020-03-24,1,121.03367713699478,1533.394399068233,True,63,45.79477001825304,3020.77418156611
63,2020-03-25,1,121.03367713699478,1533.394399068233,True,64,49.16775062867221,3020.77418156611
64,2020-03-26,2,121.03367713699478,1533.394399068233,True,65,52.784824869969235,3020.77418156611
65,2020-03-27,3,121.03367713699478,1533.394399068233,True,66,56.662996218332964,3020.77418156611
66,2020-03-28,3,121.03367713699478,1533.394399068233,True,67,60.82035221422912,3020.77418156611
67,2020-03-29,3,121.03367713699478,1533.394399068233,True,68,65.27611821494419,3020.77418156611
68,2020-03-30,3,121.03367713699478,1533.394399068233,True,69,70.0507113566342,3020.77418156611
69,2020-03-31,5,121.03367713699478,1533.394399068233,True,70,75.16579424843242,3020.77418156611
70,2020-04-01,5,121.03367713699478,1533.394399068233,True,71,80.6443278305421,3020.77418156611
71,2020-04-02,5,121.03367713699478,1533.394399068233,True,72,86.51062272683465,3020.77418156611
72,2020-04-03,7,121.03367713699478,1533.394399068233,True,73,92.79038830975053,3020.77418156611
73,2020-04-04,7,121.03367713699478,1533.394399068233,True,74,99.51077857085534,3020.77418156611
74,2020-04-05,7,121.03367713699478,1533.394399068233,True,75,106.70043375405777,3020.77418156611
75,2020-04-06,7,121.03367713699478,1533.394399068233,True,76,114.38951656033835,3020.77418156611
76,2020-04-07,8,121.03367713699478,1533.394399068233,True,77,122.60974157332811,3020.77418156611
77,2020-04-08,12,121.03367713699478,1533.394399068233,True,78,131.39439638513963,3020.77418156611
78,2020-04-09,12,121.03367713699478,1533.394399068233,True,79,140.77835272298762,3020.77418156611
79,2020-04-10,21,121.03367713699478,1533.394399068233,True,80,150.79806569154786,3020.77418156611
80,2020-04-11,21,121.03367713699478,1533.394399068233,True,81,161.49155905673695,3020.77418156611
81,2020-04-12,25,121.03367713699478,1533.394399068233,True,82,172.89839430769038,3020.77418156611
82,2020-04-13,60,121.03367713699478,1533.394399068233,True,83,185.05962105035607,3020.77418156611
83,2020-04-14,60,121.03367713699478,1533.394399068233,True,84,198.017706114786,3020.77418156611
84,2020-04-15,80,121.03367713699478,1533.394399068233,True,85,211.8164386068238,3020.77418156611
85,2020-04-16,80,121.03367713699478,1533.394399068233,True,86,226.50080801293214,3020.77418156611
86,2020-04-17,116,121.03367713699478,1533.394399068233,True,87,242.11685238550436,3020.77418156611
87,2020-04-18,135,121.03367713699478,1533.394399068233,True,88,258.71147360794777,3020.77418156611
88,2020-04-19,164,121.03367713699478,1533.394399068233,True,89,276.33221677850423,3020.77418156611
89,2020-04-20,237,121.03367713699478,1533.394399068233,True,90,295.0270108750182,3020.77418156611
