,Report_Date,Ireland_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,680.7193606280869,796021.3104384264,False,1,5415.670562711929,1592042.620876853
1,2020-01-23,0,680.7193606280869,796021.3104384264,False,2,5460.96029940011,1592042.620876853
2,2020-01-24,0,680.7193606280869,796021.3104384264,False,3,5506.627466983591,1592042.620876853
3,2020-01-25,0,680.7193606280869,796021.3104384264,False,4,5552.675188780891,1592042.620876853
4,2020-01-26,0,680.7193606280869,796021.3104384264,False,5,5599.106613585909,1592042.620876853
5,2020-01-27,0,680.7193606280869,796021.3104384264,False,6,5645.92491586947,1592042.620876853
6,2020-01-28,0,680.7193606280869,796021.3104384264,False,7,5693.133295982377,1592042.620876853
7,2020-01-29,0,680.7193606280869,796021.3104384264,False,8,5740.734980359946,1592042.620876853
8,2020-01-30,0,680.7193606280869,796021.3104384264,False,9,5788.733221728056,1592042.620876853
9,2020-01-31,0,680.7193606280869,796021.3104384264,False,10,5837.131299310712,1592042.620876853
10,2020-02-01,0,680.7193606280869,796021.3104384264,False,11,5885.932519039138,1592042.620876853
11,2020-02-02,0,680.7193606280869,796021.3104384264,False,12,5935.140213762399,1592042.620876853
12,2020-02-03,0,680.7193606280869,796021.3104384264,False,13,5984.757743459578,1592042.620876853
13,2020-02-04,0,680.7193606280869,796021.3104384264,False,14,6034.78849545349,1592042.620876853
14,2020-02-05,0,680.7193606280869,796021.3104384264,False,15,6085.235884625982,1592042.620876853
15,2020-02-06,0,680.7193606280869,796021.3104384264,False,16,6136.103353634779,1592042.620876853
16,2020-02-07,0,680.7193606280869,796021.3104384264,False,17,6187.394373131932,1592042.620876853
17,2020-02-08,0,680.7193606280869,796021.3104384264,False,18,6239.112441983853,1592042.620876853
18,2020-02-09,0,680.7193606280869,796021.3104384264,False,19,6291.2610874929405,1592042.620876853
19,2020-02-10,0,680.7193606280869,796021.3104384264,False,20,6343.843865620827,1592042.620876853
20,2020-02-11,0,680.7193606280869,796021.3104384264,False,21,6396.864361213243,1592042.620876853
21,2020-02-12,0,680.7193606280869,796021.3104384264,False,22,6450.326188226502,1592042.620876853
22,2020-02-13,0,680.7193606280869,796021.3104384264,False,23,6504.232989955635,1592042.620876853
23,2020-02-14,0,680.7193606280869,796021.3104384264,False,24,6558.588439264168,1592042.620876853
24,2020-02-15,0,680.7193606280869,796021.3104384264,False,25,6613.39623881555,1592042.620876853
25,2020-02-16,0,680.7193606280869,796021.3104384264,False,26,6668.660121306262,1592042.620876853
26,2020-02-17,0,680.7193606280869,796021.3104384264,False,27,6724.383849700588,1592042.620876853
27,2020-02-18,0,680.7193606280869,796021.3104384264,False,28,6780.571217467082,1592042.620876853
28,2020-02-19,0,680.7193606280869,796021.3104384264,False,29,6837.226048816724,1592042.620876853
29,2020-02-20,0,680.7193606280869,796021.3104384264,False,30,6894.352198942783,1592042.620876853
30,2020-02-21,0,680.7193606280869,796021.3104384264,False,31,6951.953554262395,1592042.620876853
31,2020-02-22,0,680.7193606280869,796021.3104384264,False,32,7010.034032659864,1592042.620876853
32,2020-02-23,0,680.7193606280869,796021.3104384264,False,33,7068.597583731696,1592042.620876853
33,2020-02-24,0,680.7193606280869,796021.3104384264,False,34,7127.648189033373,1592042.620876853
34,2020-02-25,0,680.7193606280869,796021.3104384264,False,35,7187.189862327886,1592042.620876853
35,2020-02-26,0,680.7193606280869,796021.3104384264,False,36,7247.226649836026,1592042.620876853
36,2020-02-27,0,680.7193606280869,796021.3104384264,False,37,7307.762630488443,1592042.620876853
37,2020-02-28,0,680.7193606280869,796021.3104384264,False,38,7368.801916179495,1592042.620876853
38,2020-02-29,1,680.7193606280869,796021.3104384264,False,39,7430.348652022876,1592042.620876853
39,2020-03-01,1,680.7193606280869,796021.3104384264,False,40,7492.40701660905,1592042.620876853
40,2020-03-02,1,680.7193606280869,796021.3104384264,False,41,7554.981222264503,1592042.620876853
41,2020-03-03,2,680.7193606280869,796021.3104384264,False,42,7618.075515312791,1592042.620876853
42,2020-03-04,6,680.7193606280869,796021.3104384264,False,43,7681.694176337441,1592042.620876853
43,2020-03-05,6,680.7193606280869,796021.3104384264,False,44,7745.841520446676,1592042.620876853
