,Report_Date,Costa Rica_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,201.99502385753738,24182.634391783646,True,1,0.5120143029676337,35063.05034954138
1,2020-01-23,0,201.99502385753738,24182.634391783646,True,2,0.5420444579453378,35063.05034954138
2,2020-01-24,0,201.99502385753738,24182.634391783646,True,3,0.5738358908854014,35063.05034954138
3,2020-01-25,0,201.99502385753738,24182.634391783646,True,4,0.6074918987668552,35063.05034954138
4,2020-01-26,0,201.99502385753738,24182.634391783646,True,5,0.6431218365161556,35063.05034954138
5,2020-01-27,0,201.99502385753738,24182.634391783646,True,6,0.6808414722443626,35063.05034954138
6,2020-01-28,0,201.99502385753738,24182.634391783646,True,7,0.7207733633109323,35063.05034954138
7,2020-01-29,0,201.99502385753738,24182.634391783646,True,8,0.7630472544346009,35063.05034954138
8,2020-01-30,0,201.99502385753738,24182.634391783646,True,9,0.8078004991432864,35063.05034954138
9,2020-01-31,0,201.99502385753738,24182.634391783646,True,10,0.8551785059305743,35063.05034954138
10,2020-02-01,0,201.99502385753738,24182.634391783646,True,11,0.9053352105663974,35063.05034954138
11,2020-02-02,0,201.99502385753738,24182.634391783646,True,12,0.9584335760942561,35063.05034954138
12,2020-02-03,0,201.99502385753738,24182.634391783646,True,13,1.0146461221369965,35063.05034954138
13,2020-02-04,0,201.99502385753738,24182.634391783646,True,14,1.0741554852280741,35063.05034954138
14,2020-02-05,0,201.99502385753738,24182.634391783646,True,15,1.1371550119856884,35063.05034954138
15,2020-02-06,0,201.99502385753738,24182.634391783646,True,16,1.2038493870534748,35063.05034954138
16,2020-02-07,0,201.99502385753738,24182.634391783646,True,17,1.2744552978439752,35063.05034954138
17,2020-02-08,0,201.99502385753738,24182.634391783646,True,18,1.349202138240156,35063.05034954138
18,2020-02-09,0,201.99502385753738,24182.634391783646,True,19,1.4283327535362937,35063.05034954138
19,2020-02-10,0,201.99502385753738,24182.634391783646,True,20,1.5121042290328737,35063.05034954138
20,2020-02-11,0,201.99502385753738,24182.634391783646,True,21,1.6007887248413128,35063.05034954138
21,2020-02-12,0,201.99502385753738,24182.634391783646,True,22,1.6946743596036338,35063.05034954138
22,2020-02-13,0,201.99502385753738,24182.634391783646,True,23,1.794066145990283,35063.05034954138
23,2020-02-14,0,201.99502385753738,24182.634391783646,True,24,1.8992869810065034,35063.05034954138
24,2020-02-15,0,201.99502385753738,24182.634391783646,True,25,2.01067869431464,35063.05034954138
25,2020-02-16,0,201.99502385753738,24182.634391783646,True,26,2.1286031579670044,35063.05034954138
26,2020-02-17,0,201.99502385753738,24182.634391783646,True,27,2.25344346114203,35063.05034954138
27,2020-02-18,0,201.99502385753738,24182.634391783646,True,28,2.385605153686101,35063.05034954138
28,2020-02-19,0,201.99502385753738,24182.634391783646,True,29,2.525517562485191,35063.05034954138
29,2020-02-20,0,201.99502385753738,24182.634391783646,True,30,2.673635184925113,35063.05034954138
30,2020-02-21,0,201.99502385753738,24182.634391783646,True,31,2.8304391639474367,35063.05034954138
31,2020-02-22,0,201.99502385753738,24182.634391783646,True,32,2.9964388494707026,35063.05034954138
32,2020-02-23,0,201.99502385753738,24182.634391783646,True,33,3.172173451224417,35063.05034954138
33,2020-02-24,0,201.99502385753738,24182.634391783646,True,34,3.358213788337159,35063.05034954138
34,2020-02-25,0,201.99502385753738,24182.634391783646,True,35,3.555164141330969,35063.05034954138
35,2020-02-26,0,201.99502385753738,24182.634391783646,True,36,3.7636642125029933,35063.05034954138
36,2020-02-27,0,201.99502385753738,24182.634391783646,True,37,3.9843912010230724,35063.05034954138
37,2020-02-28,0,201.99502385753738,24182.634391783646,True,38,4.218061999443728,35063.05034954138
38,2020-02-29,0,201.99502385753738,24182.634391783646,True,39,4.465435518707939,35063.05034954138
39,2020-03-01,0,201.99502385753738,24182.634391783646,True,40,4.727315149151353,35063.05034954138
40,2020-03-02,0,201.99502385753738,24182.634391783646,True,41,5.004551365430426,35063.05034954138
41,2020-03-03,0,201.99502385753738,24182.634391783646,True,42,5.2980444837678355,35063.05034954138
42,2020-03-04,0,201.99502385753738,24182.634391783646,True,43,5.608747580392573,35063.05034954138
43,2020-03-05,0,201.99502385753738,24182.634391783646,True,44,5.937669580566042,35063.05034954138
44,2020-03-06,1,201.99502385753738,24182.634391783646,True,45,6.285878528128664,35063.05034954138
45,2020-03-07,1,201.99502385753738,24182.634391783646,True,46,6.654505046075735,35063.05034954138
46,2020-03-08,5,201.99502385753738,24182.634391783646,True,47,7.044745999278022,35063.05034954138
47,2020-03-09,9,201.99502385753738,24182.634391783646,True,48,7.457868371103827,35063.05034954138
48,2020-03-10,9,201.99502385753738,24182.634391783646,True,49,7.895213366376891,35063.05034954138
49,2020-03-11,13,201.99502385753738,24182.634391783646,True,50,8.35820075382034,35063.05034954138
50,2020-03-12,22,201.99502385753738,24182.634391783646,True,51,8.848333461893064,35063.05034954138
51,2020-03-13,23,201.99502385753738,24182.634391783646,True,52,9.367202442723878,35063.05034954138
52,2020-03-14,26,201.99502385753738,24182.634391783646,True,53,9.916491819692157,35063.05034954138
53,2020-03-15,27,201.99502385753738,24182.634391783646,True,54,10.497984335094774,35063.05034954138
54,2020-03-16,35,201.99502385753738,24182.634391783646,True,55,11.113567115279348,35063.05034954138
55,2020-03-17,41,201.99502385753738,24182.634391783646,True,56,11.765237771616953,35063.05034954138
56,2020-03-18,50,201.99502385753738,24182.634391783646,True,57,12.455110856735075,35063.05034954138
57,2020-03-19,69,201.99502385753738,24182.634391783646,True,58,13.185424696537462,35063.05034954138
58,2020-03-20,89,201.99502385753738,24182.634391783646,True,59,13.95854861970408,35063.05034954138
59,2020-03-21,117,201.99502385753738,24182.634391783646,True,60,14.776990607594994,35063.05034954138
60,2020-03-22,134,201.99502385753738,24182.634391783646,True,61,15.643405388779442,35063.05034954138
61,2020-03-23,158,201.99502385753738,24182.634391783646,True,62,16.560603003779885,35063.05034954138
62,2020-03-24,177,201.99502385753738,24182.634391783646,True,63,17.53155786706259,35063.05034954138
63,2020-03-25,201,201.99502385753738,24182.634391783646,True,64,18.559418354826178,35063.05034954138
64,2020-03-26,231,201.99502385753738,24182.634391783646,True,65,19.647516948740186,35063.05034954138
65,2020-03-27,263,201.99502385753738,24182.634391783646,True,66,20.799380967471873,35063.05034954138
66,2020-03-28,295,201.99502385753738,24182.634391783646,True,67,22.01874391961417,35063.05034954138
67,2020-03-29,314,201.99502385753738,24182.634391783646,True,68,23.309557513495527,35063.05034954138
68,2020-03-30,330,201.99502385753738,24182.634391783646,True,69,24.676004361317702,35063.05034954138
69,2020-03-31,347,201.99502385753738,24182.634391783646,True,70,26.1225114171336,35063.05034954138
70,2020-04-01,375,201.99502385753738,24182.634391783646,True,71,27.6537641903495,35063.05034954138
71,2020-04-02,396,201.99502385753738,24182.634391783646,True,72,29.274721778717808,35063.05034954138
72,2020-04-03,416,201.99502385753738,24182.634391783646,True,73,30.99063276718323,35063.05034954138
73,2020-04-04,435,201.99502385753738,24182.634391783646,True,74,32.80705204145968,35063.05034954138
74,2020-04-05,454,201.99502385753738,24182.634391783646,True,75,34.72985856785434,35063.05034954138
75,2020-04-06,467,201.99502385753738,24182.634391783646,True,76,36.76527419362016,35063.05034954138
76,2020-04-07,483,201.99502385753738,24182.634391783646,True,77,38.91988352501557,35063.05034954138
77,2020-04-08,502,201.99502385753738,24182.634391783646,True,78,41.200654943284256,35063.05034954138
