,Report_Date,Uganda_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,68.99122620223554,31.172722324937876,True,1,0.0007366693121687232,61.76882434236652
1,2020-01-23,0,68.99122620223554,31.172722324937876,True,2,0.0008704516045655626,61.76882434236652
2,2020-01-24,0,68.99122620223554,31.172722324937876,True,3,0.0010285289316500266,61.76882434236652
3,2020-01-25,0,68.99122620223554,31.172722324937876,True,4,0.001215313143867737,61.76882434236652
4,2020-01-26,0,68.99122620223554,31.172722324937876,True,5,0.001436017197575206,61.76882434236652
5,2020-01-27,0,68.99122620223554,31.172722324937876,True,6,0.0016968005953088895,61.76882434236652
6,2020-01-28,0,68.99122620223554,31.172722324937876,True,7,0.0020049412207677176,61.76882434236652
7,2020-01-29,0,68.99122620223554,31.172722324937876,True,8,0.0023690383547478135,61.76882434236652
8,2020-01-30,0,68.99122620223554,31.172722324937876,True,9,0.002799252524621701,61.76882434236652
9,2020-01-31,0,68.99122620223554,31.172722324937876,True,10,0.003307588862511047,61.76882434236652
10,2020-02-01,0,68.99122620223554,31.172722324937876,True,11,0.003908231853981253,61.76882434236652
11,2020-02-02,0,68.99122620223554,31.172722324937876,True,12,0.00461794078270011,61.76882434236652
12,2020-02-03,0,68.99122620223554,31.172722324937876,True,13,0.005456516855575044,61.76882434236652
13,2020-02-04,0,68.99122620223554,31.172722324937876,True,14,0.006447354972588733,61.76882434236652
14,2020-02-05,0,68.99122620223554,31.172722324937876,True,15,0.007618095438788097,61.76882434236652
15,2020-02-06,0,68.99122620223554,31.172722324937876,True,16,0.009001393664478708,61.76882434236652
16,2020-02-07,0,68.99122620223554,31.172722324937876,True,17,0.01063582913575982,61.76882434236652
17,2020-02-08,0,68.99122620223554,31.172722324937876,True,18,0.012566978745021473,61.76882434236652
18,2020-02-09,0,68.99122620223554,31.172722324937876,True,19,0.014848684047251808,61.76882434236652
19,2020-02-10,0,68.99122620223554,31.172722324937876,True,20,0.01754454726544896,61.76882434236652
20,2020-02-11,0,68.99122620223554,31.172722324937876,True,21,0.02072969703647336,61.76882434236652
21,2020-02-12,0,68.99122620223554,31.172722324937876,True,22,0.02449287211526949,61.76882434236652
22,2020-02-13,0,68.99122620223554,31.172722324937876,True,23,0.028938879708518942,61.76882434236652
23,2020-02-14,0,68.99122620223554,31.172722324937876,True,24,0.034191494977450165,61.76882434236652
24,2020-02-15,0,68.99122620223554,31.172722324937876,True,25,0.040396879743825755,61.76882434236652
25,2020-02-16,0,68.99122620223554,31.172722324937876,True,26,0.04772761178298434,61.76882434236652
26,2020-02-17,0,68.99122620223554,31.172722324937876,True,27,0.0563874315394956,61.76882434236652
27,2020-02-18,0,68.99122620223554,31.172722324937876,True,28,0.06661683091028396,61.76882434236652
28,2020-02-19,0,68.99122620223554,31.172722324937876,True,29,0.07869962916057346,61.76882434236652
29,2020-02-20,0,68.99122620223554,31.172722324937876,True,30,0.09297070430218367,61.76882434236652
30,2020-02-21,0,68.99122620223554,31.172722324937876,True,31,0.10982507455379728,61.76882434236652
31,2020-02-22,0,68.99122620223554,31.172722324937876,True,32,0.12972855390716692,61.76882434236652
32,2020-02-23,0,68.99122620223554,31.172722324937876,True,33,0.1532302382723791,61.76882434236652
33,2020-02-24,0,68.99122620223554,31.172722324937876,True,34,0.18097711385013343,61.76882434236652
