,Report_Date,China_zhejiang_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,10,11.70423400472832,611.6429581205623,True,1,47.85672441982809,1223.2859161582228
1,2020-01-23,27,11.70423400472832,611.6429581205623,True,2,63.670647059670316,1223.2859161582228
2,2020-01-24,43,11.70423400472832,611.6429581205623,True,3,84.33524188580242,1223.2859161582228
3,2020-01-25,62,11.70423400472832,611.6429581205623,True,4,111.0642691059396,1223.2859161582228
4,2020-01-26,104,11.70423400472832,611.6429581205623,True,5,145.1848604397664,1223.2859161582228
5,2020-01-27,128,11.70423400472832,611.6429581205623,True,6,188.01581164324327,1223.2859161582228
6,2020-01-28,173,11.70423400472832,611.6429581205623,True,7,240.66171072018264,1223.2859161582228
7,2020-01-29,296,11.70423400472832,611.6429581205623,True,8,303.72413026532007,1223.2859161582228
8,2020-01-30,428,11.70423400472832,611.6429581205623,True,9,376.9717664736177,1223.2859161582228
9,2020-01-31,538,11.70423400472832,611.6429581205623,True,10,459.06552867602295,1223.2859161582228
10,2020-02-01,599,11.70423400472832,611.6429581205623,True,11,547.4720849111177,1223.2859161582228
11,2020-02-02,661,11.70423400472832,611.6429581205623,True,12,638.6755259994798,1223.2859161582228
12,2020-02-03,724,11.70423400472832,611.6429581205623,True,13,728.6902047048715,1223.2859161582228
13,2020-02-04,829,11.70423400472832,611.6429581205623,True,14,813.7326988150039,1223.2859161582228
14,2020-02-05,895,11.70423400472832,611.6429581205623,True,15,890.824145621302,1223.2859161582228
15,2020-02-06,954,11.70423400472832,611.6429581205623,True,16,958.1328645419867,1223.2859161582228
16,2020-02-07,1006,11.70423400472832,611.6429581205623,True,17,1015.0007204926344,1223.2859161582228
17,2020-02-08,1048,11.70423400472832,611.6429581205623,True,18,1061.7285684712424,1223.2859161582228
18,2020-02-09,1075,11.70423400472832,611.6429581205623,True,19,1099.2542637813867,1223.2859161582228
19,2020-02-10,1092,11.70423400472832,611.6429581205623,True,20,1128.8390495278927,1223.2859161582228
20,2020-02-11,1117,11.70423400472832,611.6429581205623,True,21,1151.8258350875205,1223.2859161582228
21,2020-02-12,1131,11.70423400472832,611.6429581205623,True,22,1169.4846644744343,1223.2859161582228
22,2020-02-13,1145,11.70423400472832,611.6429581205623,True,23,1182.9326199455527,1223.2859161582228
23,2020-02-14,1155,11.70423400472832,611.6429581205623,True,24,1193.1059208792599,1223.2859161582228
24,2020-02-15,1162,11.70423400472832,611.6429581205623,True,25,1200.7633053039365,1223.2859161582228
25,2020-02-16,1167,11.70423400472832,611.6429581205623,True,26,1206.5051546153309,1223.2859161582228
26,2020-02-17,1171,11.70423400472832,611.6429581205623,True,27,1210.798416559026,1223.2859161582228
27,2020-02-18,1172,11.70423400472832,611.6429581205623,True,28,1214.0017243354694,1223.2859161582228
28,2020-02-19,1174,11.70423400472832,611.6429581205623,True,29,1216.387997235417,1223.2859161582228
29,2020-02-20,1175,11.70423400472832,611.6429581205623,True,30,1218.1635253620923,1223.2859161582228
30,2020-02-21,1203,11.70423400472832,611.6429581205623,True,31,1219.483460238061,1223.2859161582228
31,2020-02-22,1205,11.70423400472832,611.6429581205623,True,32,1220.4640629001017,1223.2859161582228
32,2020-02-23,1205,11.70423400472832,611.6429581205623,True,33,1221.1922153919083,1223.2859161582228
33,2020-02-24,1205,11.70423400472832,611.6429581205623,True,34,1221.7327141576204,1223.2859161582228
34,2020-02-25,1205,11.70423400472832,611.6429581205623,True,35,1222.1338122517818,1223.2859161582228
35,2020-02-26,1205,11.70423400472832,611.6429581205623,True,36,1222.4314034299666,1223.2859161582228
36,2020-02-27,1205,11.70423400472832,611.6429581205623,True,37,1222.652165965795,1223.2859161582228
37,2020-02-28,1205,11.70423400472832,611.6429581205623,True,38,1222.815916648123,1223.2859161582228
38,2020-02-29,1205,11.70423400472832,611.6429581205623,True,39,1222.9373689000934,1223.2859161582228
39,2020-03-01,1205,11.70423400472832,611.6429581205623,True,40,1223.0274433981076,1223.2859161582228
40,2020-03-02,1206,11.70423400472832,611.6429581205623,True,41,1223.0942437447748,1223.2859161582228
41,2020-03-03,1213,11.70423400472832,611.6429581205623,True,42,1223.1437820546337,1223.2859161582228
42,2020-03-04,1213,11.70423400472832,611.6429581205623,True,43,1223.1805181486438,1223.2859161582228
43,2020-03-05,1215,11.70423400472832,611.6429581205623,True,44,1223.2077600146733,1223.2859161582228
44,2020-03-06,1215,11.70423400472832,611.6429581205623,True,45,1223.2279611071442,1223.2859161582228
45,2020-03-07,1215,11.70423400472832,611.6429581205623,True,46,1223.2429409930878,1223.2859161582228
46,2020-03-08,1215,11.70423400472832,611.6429581205623,True,47,1223.2540490712804,1223.2859161582228
47,2020-03-09,1215,11.70423400472832,611.6429581205623,True,48,1223.2622860312554,1223.2859161582228
48,2020-03-10,1215,11.70423400472832,611.6429581205623,True,49,1223.2683939493957,1223.2859161582228
49,2020-03-11,1215,11.70423400472832,611.6429581205623,True,50,1223.2729231144076,1223.2859161582228
50,2020-03-12,1215,11.70423400472832,611.6429581205623,True,51,1223.2762815892809,1223.2859161582228
51,2020-03-13,1215,11.70423400472832,611.6429581205623,True,52,1223.2787719676714,1223.2859161582228
52,2020-03-14,1227,11.70423400472832,611.6429581205623,True,53,1223.2806186323328,1223.2859161582228
53,2020-03-15,1231,11.70423400472832,611.6429581205623,True,54,1223.281987969321,1223.2859161582228
54,2020-03-16,1231,11.70423400472832,611.6429581205623,True,55,1223.283003358067,1223.2859161582228
55,2020-03-17,1232,11.70423400472832,611.6429581205623,True,56,1223.283756287254,1223.2859161582228
56,2020-03-18,1232,11.70423400472832,611.6429581205623,True,57,1223.284314597705,1223.2859161582228
57,2020-03-19,1233,11.70423400472832,611.6429581205623,True,58,1223.2847285947698,1223.2859161582228
58,2020-03-20,1234,11.70423400472832,611.6429581205623,True,59,1223.2850355808457,1223.2859161582228
59,2020-03-21,1236,11.70423400472832,611.6429581205623,True,60,1223.285263216364,1223.2859161582228
60,2020-03-22,1238,11.70423400472832,611.6429581205623,True,61,1223.2854320120437,1223.2859161582228
61,2020-03-23,1238,11.70423400472832,611.6429581205623,True,62,1223.2855571769533,1223.2859161582228
62,2020-03-24,1240,11.70423400472832,611.6429581205623,True,63,1223.2856499888883,1223.2859161582228
63,2020-03-25,1241,11.70423400472832,611.6429581205623,True,64,1223.2857188105327,1223.2859161582228
64,2020-03-26,1243,11.70423400472832,611.6429581205623,True,65,1223.2857698429623,1223.2859161582228
65,2020-03-27,1247,11.70423400472832,611.6429581205623,True,66,1223.2858076843831,1223.2859161582228
66,2020-03-28,1251,11.70423400472832,611.6429581205623,True,67,1223.2858357444447,1223.2859161582228
67,2020-03-29,1254,11.70423400472832,611.6429581205623,True,68,1223.2858565514605,1223.2859161582228
68,2020-03-30,1255,11.70423400472832,611.6429581205623,True,69,1223.2858719802186,1223.2859161582228
69,2020-03-31,1257,11.70423400472832,611.6429581205623,True,70,1223.2858834209064,1223.2859161582228
70,2020-04-01,1257,11.70423400472832,611.6429581205623,True,71,1223.2858919043722,1223.2859161582228
71,2020-04-02,1258,11.70423400472832,611.6429581205623,True,72,1223.285898195007,1223.2859161582228
72,2020-04-03,1260,11.70423400472832,611.6429581205623,True,73,1223.28590285962,1223.2859161582228
73,2020-04-04,1262,11.70423400472832,611.6429581205623,True,74,1223.2859063185103,1223.2859161582228
74,2020-04-05,1263,11.70423400472832,611.6429581205623,True,75,1223.2859088833366,1223.2859161582228
