,Report_Date,UK_gibraltar_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,72.63590988647407,86.11379626059887,True,1,0.002018060198701703,161.9007824089242
1,2020-01-23,0,72.63590988647407,86.11379626059887,True,2,0.0023646655162896735,161.9007824089242
2,2020-01-24,0,72.63590988647407,86.11379626059887,True,3,0.0027707999368733645,161.9007824089242
3,2020-01-25,0,72.63590988647407,86.11379626059887,True,4,0.0032466871647774914,161.9007824089242
4,2020-01-26,0,72.63590988647407,86.11379626059887,True,5,0.0038043066203172784,161.9007824089242
5,2020-01-27,0,72.63590988647407,86.11379626059887,True,6,0.004457694899075325,161.9007824089242
6,2020-01-28,0,72.63590988647407,86.11379626059887,True,7,0.005223298973685601,161.9007824089242
7,2020-01-29,0,72.63590988647407,86.11379626059887,True,8,0.006120390012299361,161.9007824089242
8,2020-01-30,0,72.63590988647407,86.11379626059887,True,9,0.0071715482073060315,161.9007824089242
9,2020-01-31,0,72.63590988647407,86.11379626059887,True,10,0.00840323078646204,161.9007824089242
10,2020-02-01,0,72.63590988647407,86.11379626059887,True,11,0.009846437460193794,161.9007824089242
11,2020-02-02,0,72.63590988647407,86.11379626059887,True,12,0.01153748999462371,161.9007824089242
12,2020-02-03,0,72.63590988647407,86.11379626059887,True,13,0.013518945449399886,161.9007824089242
13,2020-02-04,0,72.63590988647407,86.11379626059887,True,14,0.01584066595203761,161.9007824089242
14,2020-02-05,0,72.63590988647407,86.11379626059887,True,15,0.018561071776823458,161.9007824089242
15,2020-02-06,0,72.63590988647407,86.11379626059887,True,16,0.021748609049979634,161.9007824089242
16,2020-02-07,0,72.63590988647407,86.11379626059887,True,17,0.02548346872219909,161.9007824089242
17,2020-02-08,0,72.63590988647407,86.11379626059887,True,18,0.029859599660284727,161.9007824089242
18,2020-02-09,0,72.63590988647407,86.11379626059887,True,19,0.03498706595618747,161.9007824089242
19,2020-02-10,0,72.63590988647407,86.11379626059887,True,20,0.04099480700073,161.9007824089242
20,2020-02-11,0,72.63590988647407,86.11379626059887,True,21,0.04803386871157164,161.9007824089242
21,2020-02-12,0,72.63590988647407,86.11379626059887,True,22,0.056281185758327044,161.9007824089242
22,2020-02-13,0,72.63590988647407,86.11379626059887,True,23,0.06594400793947143,161.9007824089242
23,2020-02-14,0,72.63590988647407,86.11379626059887,True,24,0.07726507931460047,161.9007824089242
24,2020-02-15,0,72.63590988647407,86.11379626059887,True,25,0.09052869659363526,161.9007824089242
25,2020-02-16,0,72.63590988647407,86.11379626059887,True,26,0.10606779397676147,161.9007824089242
26,2020-02-17,0,72.63590988647407,86.11379626059887,True,27,0.12427222550185517,161.9007824089242
27,2020-02-18,0,72.63590988647407,86.11379626059887,True,28,0.14559844339325678,161.9007824089242
28,2020-02-19,0,72.63590988647407,86.11379626059887,True,29,0.1705808023380432,161.9007824089242
29,2020-02-20,0,72.63590988647407,86.11379626059887,True,30,0.19984475546650313,161.9007824089242
30,2020-02-21,0,72.63590988647407,86.11379626059887,True,31,0.23412224848266275,161.9007824089242
31,2020-02-22,0,72.63590988647407,86.11379626059887,True,32,0.27426966421805793,161.9007824089242
32,2020-02-23,0,72.63590988647407,86.11379626059887,True,33,0.3212887210903433,161.9007824089242
33,2020-02-24,0,72.63590988647407,86.11379626059887,True,34,0.37635078556253565,161.9007824089242
34,2020-02-25,0,72.63590988647407,86.11379626059887,True,35,0.4408251204298723,161.9007824089242
35,2020-02-26,0,72.63590988647407,86.11379626059887,True,36,0.5163116568449737,161.9007824089242
36,2020-02-27,0,72.63590988647407,86.11379626059887,True,37,0.6046789469643402,161.9007824089242
