,Report_Date,Côte d'Ivoire_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,192.20854971264728,21248.160475626948,False,1,17.68831166992859,42496.320951253896
1,2020-01-23,0,192.20854971264728,21248.160475626948,False,2,18.422918770820704,42496.320951253896
2,2020-01-24,0,192.20854971264728,21248.160475626948,False,3,19.188020801843088,42496.320951253896
3,2020-01-25,0,192.20854971264728,21248.160475626948,False,4,19.98488249682992,42496.320951253896
4,2020-01-26,0,192.20854971264728,21248.160475626948,False,5,20.81482094359653,42496.320951253896
5,2020-01-27,0,192.20854971264728,21248.160475626948,False,6,21.679207742746584,42496.320951253896
6,2020-01-28,0,192.20854971264728,21248.160475626948,False,7,22.579471254784647,42496.320951253896
7,2020-01-29,0,192.20854971264728,21248.160475626948,False,8,23.5170989390855,42496.320951253896
8,2020-01-30,0,192.20854971264728,21248.160475626948,False,9,24.49363978840941,42496.320951253896
9,2020-01-31,0,192.20854971264728,21248.160475626948,False,10,25.51070686279504,42496.320951253896
10,2020-02-01,0,192.20854971264728,21248.160475626948,False,11,26.569979926809186,42496.320951253896
11,2020-02-02,0,192.20854971264728,21248.160475626948,False,12,27.673208194285376,42496.320951253896
12,2020-02-03,0,192.20854971264728,21248.160475626948,False,13,28.82221318484122,42496.320951253896
13,2020-02-04,0,192.20854971264728,21248.160475626948,False,14,30.018891696627918,42496.320951253896
14,2020-02-05,0,192.20854971264728,21248.160475626948,False,15,31.26521889993422,42496.320951253896
15,2020-02-06,0,192.20854971264728,21248.160475626948,False,16,32.56325155644183,42496.320951253896
16,2020-02-07,0,192.20854971264728,21248.160475626948,False,17,33.915131369109645,42496.320951253896
17,2020-02-08,0,192.20854971264728,21248.160475626948,False,18,35.32308846785051,42496.320951253896
18,2020-02-09,0,192.20854971264728,21248.160475626948,False,19,36.78944503635669,42496.320951253896
19,2020-02-10,0,192.20854971264728,21248.160475626948,False,20,38.316619085628545,42496.320951253896
20,2020-02-11,0,192.20854971264728,21248.160475626948,False,21,39.90712837996593,42496.320951253896
21,2020-02-12,0,192.20854971264728,21248.160475626948,False,22,41.56359452139261,42496.320951253896
22,2020-02-13,0,192.20854971264728,21248.160475626948,False,23,43.28874719870178,42496.320951253896
23,2020-02-14,0,192.20854971264728,21248.160475626948,False,24,45.085428607534446,42496.320951253896
24,2020-02-15,0,192.20854971264728,21248.160475626948,False,25,46.95659804813326,42496.320951253896
25,2020-02-16,0,192.20854971264728,21248.160475626948,False,26,48.90533670765128,42496.320951253896
26,2020-02-17,0,192.20854971264728,21248.160475626948,False,27,50.93485263413884,42496.320951253896
27,2020-02-18,0,192.20854971264728,21248.160475626948,False,28,53.04848590958238,42496.320951253896
28,2020-02-19,0,192.20854971264728,21248.160475626948,False,29,55.249714029625494,42496.320951253896
29,2020-02-20,0,192.20854971264728,21248.160475626948,False,30,57.54215749786647,42496.320951253896
30,2020-02-21,0,192.20854971264728,21248.160475626948,False,31,59.92958564289641,42496.320951253896
31,2020-02-22,0,192.20854971264728,21248.160475626948,False,32,62.41592266651837,42496.320951253896
32,2020-02-23,0,192.20854971264728,21248.160475626948,False,33,65.00525393187094,42496.320951253896
33,2020-02-24,0,192.20854971264728,21248.160475626948,False,34,67.70183250046809,42496.320951253896
34,2020-02-25,0,192.20854971264728,21248.160475626948,False,35,70.51008592746243,42496.320951253896
35,2020-02-26,0,192.20854971264728,21248.160475626948,False,36,73.43462332473909,42496.320951253896
36,2020-02-27,0,192.20854971264728,21248.160475626948,False,37,76.48024270175304,42496.320951253896
37,2020-02-28,0,192.20854971264728,21248.160475626948,False,38,79.65193859433396,42496.320951253896
38,2020-02-29,0,192.20854971264728,21248.160475626948,False,39,82.95490999199787,42496.320951253896
39,2020-03-01,0,192.20854971264728,21248.160475626948,False,40,86.39456857462392,42496.320951253896
40,2020-03-02,0,192.20854971264728,21248.160475626948,False,41,89.97654726967865,42496.320951253896
41,2020-03-03,0,192.20854971264728,21248.160475626948,False,42,93.70670914149484,42496.320951253896
42,2020-03-04,0,192.20854971264728,21248.160475626948,False,43,97.59115662444141,42496.320951253896
43,2020-03-05,0,192.20854971264728,21248.160475626948,False,44,101.63624111214924,42496.320951253896
44,2020-03-06,0,192.20854971264728,21248.160475626948,False,45,105.84857291528893,42496.320951253896
45,2020-03-07,0,192.20854971264728,21248.160475626948,False,46,110.23503160072468,42496.320951253896
46,2020-03-08,0,192.20854971264728,21248.160475626948,False,47,114.8027767251975,42496.320951253896
47,2020-03-09,0,192.20854971264728,21248.160475626948,False,48,119.55925897701401,42496.320951253896
48,2020-03-10,0,192.20854971264728,21248.160475626948,False,49,124.51223173953899,42496.320951253896
49,2020-03-11,1,192.20854971264728,21248.160475626948,False,50,129.6697630906023,42496.320951253896
50,2020-03-12,1,192.20854971264728,21248.160475626948,False,51,135.04024825223783,42496.320951253896
51,2020-03-13,1,192.20854971264728,21248.160475626948,False,52,140.63242250546853,42496.320951253896
52,2020-03-14,1,192.20854971264728,21248.160475626948,False,53,146.45537458513527,42496.320951253896
53,2020-03-15,1,192.20854971264728,21248.160475626948,False,54,152.51856057003806,42496.320951253896
54,2020-03-16,1,192.20854971264728,21248.160475626948,False,55,158.83181828391076,42496.320951253896
55,2020-03-17,5,192.20854971264728,21248.160475626948,False,56,165.40538222298275,42496.320951253896
