,Report_Date,Montenegro_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,190.7740281350689,2833.8619730493388,True,1,0.06020230150698007,4794.767563383872
1,2020-01-23,0,190.7740281350689,2833.8619730493388,True,2,0.06394724309315969,4794.767563383872
2,2020-01-24,0,190.7740281350689,2833.8619730493388,True,3,0.06792513955070865,4794.767563383872
3,2020-01-25,0,190.7740281350689,2833.8619730493388,True,4,0.07215048152776919,4794.767563383872
4,2020-01-26,0,190.7740281350689,2833.8619730493388,True,5,0.07663866099804699,4794.767563383872
5,2020-01-27,0,190.7740281350689,2833.8619730493388,True,6,0.08140602731781836,4794.767563383872
6,2020-01-28,0,190.7740281350689,2833.8619730493388,True,7,0.0864699467685886,4794.767563383872
7,2020-01-29,0,190.7740281350689,2833.8619730493388,True,8,0.09184886580204418,4794.767563383872
8,2020-01-30,0,190.7740281350689,2833.8619730493388,True,9,0.09756237821739346,4794.767563383872
9,2020-01-31,0,190.7740281350689,2833.8619730493388,True,10,0.10363129651547709,4794.767563383872
10,2020-02-01,0,190.7740281350689,2833.8619730493388,True,11,0.11007772768920068,4794.767563383872
11,2020-02-02,0,190.7740281350689,2833.8619730493388,True,12,0.11692515372595323,4794.767563383872
12,2020-02-03,0,190.7740281350689,2833.8619730493388,True,13,0.12419851711478434,4794.767563383872
13,2020-02-04,0,190.7740281350689,2833.8619730493388,True,14,0.13192431166928073,4794.767563383872
14,2020-02-05,0,190.7740281350689,2833.8619730493388,True,15,0.14013067899637627,4794.767563383872
15,2020-02-06,0,190.7740281350689,2833.8619730493388,True,16,0.14884751096181542,4794.767563383872
16,2020-02-07,0,190.7740281350689,2833.8619730493388,True,17,0.15810655852474445,4794.767563383872
17,2020-02-08,0,190.7740281350689,2833.8619730493388,True,18,0.16794154733700292,4794.767563383872
18,2020-02-09,0,190.7740281350689,2833.8619730493388,True,19,0.17838830052721538,4794.767563383872
19,2020-02-10,0,190.7740281350689,2833.8619730493388,True,20,0.18948486911582424,4794.767563383872
20,2020-02-11,0,190.7740281350689,2833.8619730493388,True,21,0.2012716705348554,4794.767563383872
21,2020-02-12,0,190.7740281350689,2833.8619730493388,True,22,0.21379163575556565,4794.767563383872
22,2020-02-13,0,190.7740281350689,2833.8619730493388,True,23,0.2270903655582891,4794.767563383872
