,Report_Date,S. Korea_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
42,2020-03-04,5621,42.983370128898265,4908.85522199817,True,43,4917.203267724149,9817.518642763678
43,2020-03-05,6088,42.983370128898265,4908.85522199817,True,44,5417.364043369314,9817.518642763678
44,2020-03-06,6593,42.983370128898265,4908.85522199817,True,45,5907.075134708872,9817.518642763678
45,2020-03-07,7041,42.983370128898265,4908.85522199817,True,46,6376.901758056356,9817.518642763678
46,2020-03-08,7314,42.983370128898265,4908.85522199817,True,47,6818.937966291514,9817.518642763678
47,2020-03-09,7478,42.983370128898265,4908.85522199817,True,48,7227.254976376907,9817.518642763678
48,2020-03-10,7513,42.983370128898265,4908.85522199817,True,49,7598.07240497849,9817.518642763678
49,2020-03-11,7755,42.983370128898265,4908.85522199817,True,50,7929.675164015264,9817.518642763678
50,2020-03-12,7869,42.983370128898265,4908.85522199817,True,51,8222.141323339554,9817.518642763678
51,2020-03-13,7979,42.983370128898265,4908.85522199817,True,52,8476.96307309304,9817.518642763678
52,2020-03-14,8086,42.983370128898265,4908.85522199817,True,53,8696.637188254988,9817.518642763678
53,2020-03-15,8162,42.983370128898265,4908.85522199817,True,54,8884.282152683529,9817.518642763678
54,2020-03-16,8236,42.983370128898265,4908.85522199817,True,55,9043.315880884938,9817.518642763678
55,2020-03-17,8320,42.983370128898265,4908.85522199817,True,56,9177.207510209602,9817.518642763678
56,2020-03-18,8413,42.983370128898265,4908.85522199817,True,57,9289.3021359766,9817.518642763678
57,2020-03-19,8565,42.983370128898265,4908.85522199817,True,58,9382.708928794678,9817.518642763678
58,2020-03-20,8652,42.983370128898265,4908.85522199817,True,59,9460.239589432853,9817.518642763678
59,2020-03-21,8799,42.983370128898265,4908.85522199817,True,60,9524.383895327508,9817.518642763678
60,2020-03-22,8961,42.983370128898265,4908.85522199817,True,61,9577.310682002708,9817.518642763678
61,2020-03-23,8961,42.983370128898265,4908.85522199817,True,62,9620.884903021697,9817.518642763678
62,2020-03-24,9037,42.983370128898265,4908.85522199817,True,63,9656.693762786932,9817.518642763678
63,2020-03-25,9137,42.983370128898265,4908.85522199817,True,64,9686.076981429149,9817.518642763678
64,2020-03-26,9241,42.983370128898265,4908.85522199817,True,65,9710.15790710808,9817.518642763678
65,2020-03-27,9332,42.983370128898265,4908.85522199817,True,66,9729.873435875881,9817.518642763678
66,2020-03-28,9478,42.983370128898265,4908.85522199817,True,67,9746.001587280645,9817.518642763678
67,2020-03-29,9583,42.983370128898265,4908.85522199817,True,68,9759.186187978972,9817.518642763678
68,2020-03-30,9661,42.983370128898265,4908.85522199817,True,69,9769.958506843614,9817.518642763678
69,2020-03-31,9786,42.983370128898265,4908.85522199817,True,70,9778.755923883366,9817.518642763678
70,2020-04-01,9887,42.983370128898265,4908.85522199817,True,71,9785.937849308686,9817.518642763678
71,2020-04-02,9976,42.983370128898265,4908.85522199817,True,72,9791.79917372651,9817.518642763678
72,2020-04-03,10062,42.983370128898265,4908.85522199817,True,73,9796.581551087651,9817.518642763678
73,2020-04-04,10156,42.983370128898265,4908.85522199817,True,74,9800.482810169007,9817.518642763678
74,2020-04-05,10237,42.983370128898265,4908.85522199817,True,75,9803.664769789839,9817.518642763678
75,2020-04-06,10284,42.983370128898265,4908.85522199817,True,76,9806.259705250213,9817.518642763678
76,2020-04-07,10331,42.983370128898265,4908.85522199817,True,77,9808.375683394373,9817.518642763678
77,2020-04-08,10384,42.983370128898265,4908.85522199817,True,78,9810.100954069942,9817.518642763678
78,2020-04-09,10423,42.983370128898265,4908.85522199817,True,79,9811.507558136478,9817.518642763678
79,2020-04-10,10450,42.983370128898265,4908.85522199817,True,80,9812.65428732625,9817.518642763678
80,2020-04-11,10480,42.983370128898265,4908.85522199817,True,81,9813.589109429176,9817.518642763678
81,2020-04-12,10512,42.983370128898265,4908.85522199817,True,82,9814.351153422078,9817.518642763678
82,2020-04-13,10537,42.983370128898265,4908.85522199817,True,83,9814.972333087611,9817.518642763678
83,2020-04-14,10564,42.983370128898265,4908.85522199817,True,84,9815.478674092017,9817.518642763678
84,2020-04-15,10591,42.983370128898265,4908.85522199817,True,85,9815.891398108217,9817.518642763678
85,2020-04-16,10613,42.983370128898265,4908.85522199817,True,86,9816.227808081892,9817.518642763678
