,Report_Date,China_hunan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,4,12.90795560754976,508.9902916474004,True,1,32.92911059148734,1017.9805830110697
1,2020-01-23,9,12.90795560754976,508.9902916474004,True,2,43.34164724199369,1017.9805830110697
2,2020-01-24,24,12.90795560754976,508.9902916474004,True,3,56.856694547402256,1017.9805830110697
3,2020-01-25,43,12.90795560754976,508.9902916474004,True,4,74.26496147226489,1017.9805830110697
4,2020-01-26,69,12.90795560754976,508.9902916474004,True,5,96.46827969917831,1017.9805830110697
5,2020-01-27,100,12.90795560754976,508.9902916474004,True,6,124.4345312362176,1017.9805830110697
6,2020-01-28,143,12.90795560754976,508.9902916474004,True,7,159.1083952060941,1017.9805830110697
7,2020-01-29,221,12.90795560754976,508.9902916474004,True,8,201.26787044000773,1017.9805830110697
8,2020-01-30,277,12.90795560754976,508.9902916474004,True,9,251.32950088527167,1017.9805830110697
9,2020-01-31,332,12.90795560754976,508.9902916474004,True,10,309.1299220442727,1017.9805830110697
10,2020-02-01,389,12.90795560754976,508.9902916474004,True,11,373.74292653613867,1017.9805830110697
11,2020-02-02,463,12.90795560754976,508.9902916474004,True,12,443.4130884920643,1017.9805830110697
12,2020-02-03,521,12.90795560754976,508.9902916474004,True,13,515.6749786965365,1017.9805830110697
13,2020-02-04,593,12.90795560754976,508.9902916474004,True,14,587.6683537204475,1017.9805830110697
14,2020-02-05,661,12.90795560754976,508.9902916474004,True,15,656.574844642168,1017.9805830110697
15,2020-02-06,711,12.90795560754976,508.9902916474004,True,16,720.0413662876512,1017.9805830110697
16,2020-02-07,772,12.90795560754976,508.9902916474004,True,17,776.4622975397102,1017.9805830110697
17,2020-02-08,803,12.90795560754976,508.9902916474004,True,18,825.0614289589706,1017.9805830110697
18,2020-02-09,838,12.90795560754976,508.9902916474004,True,19,865.7979668489083,1017.9805830110697
19,2020-02-10,879,12.90795560754976,508.9902916474004,True,20,899.1713083462495,1017.9805830110697
20,2020-02-11,912,12.90795560754976,508.9902916474004,True,21,926.0034383941638,1017.9805830110697
21,2020-02-12,946,12.90795560754976,508.9902916474004,True,22,947.2524066152989,1017.9805830110697
22,2020-02-13,968,12.90795560754976,508.9902916474004,True,23,963.8791523292791,1017.9805830110697
23,2020-02-14,988,12.90795560754976,508.9902916474004,True,24,976.7673470937999,1017.9805830110697
24,2020-02-15,1001,12.90795560754976,508.9902916474004,True,25,986.6849664225316,1017.9805830110697
25,2020-02-16,1004,12.90795560754976,508.9902916474004,True,26,994.2739177722757,1017.9805830110697
26,2020-02-17,1006,12.90795560754976,508.9902916474004,True,27,1000.0560366102076,1017.9805830110697
27,2020-02-18,1007,12.90795560754976,508.9902916474004,True,28,1004.447077140585,1017.9805830110697
28,2020-02-19,1008,12.90795560754976,508.9902916474004,True,29,1007.7734078440049,1017.9805830110697
29,2020-02-20,1010,12.90795560754976,508.9902916474004,True,30,1010.2884378336255,1017.9805830110697
30,2020-02-21,1011,12.90795560754976,508.9902916474004,True,31,1012.1873312595201,1017.9805830110697
31,2020-02-22,1013,12.90795560754976,508.9902916474004,True,32,1013.6194847922451,1017.9805830110697
32,2020-02-23,1016,12.90795560754976,508.9902916474004,True,33,1014.6987426606868,1017.9805830110697
33,2020-02-24,1016,12.90795560754976,508.9902916474004,True,34,1015.5115630067362,1017.9805830110697
34,2020-02-25,1016,12.90795560754976,508.9902916474004,True,35,1016.1234388860254,1017.9805830110697
35,2020-02-26,1016,12.90795560754976,508.9902916474004,True,36,1016.5838874283817,1017.9805830110697
36,2020-02-27,1017,12.90795560754976,508.9902916474004,True,37,1016.9302932945265,1017.9805830110697
37,2020-02-28,1017,12.90795560754976,508.9902916474004,True,38,1017.190850976111,1017.9805830110697
38,2020-02-29,1018,12.90795560754976,508.9902916474004,True,39,1017.3868068192751,1017.9805830110697
39,2020-03-01,1018,12.90795560754976,508.9902916474004,True,40,1017.5341615867869,1017.9805830110697
40,2020-03-02,1018,12.90795560754976,508.9902916474004,True,41,1017.6449600651664,1017.9805830110697
