,Report_Date,Togo_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,157.9054444931008,626.3767725496728,True,1,6.641084015438115,1108.3696957237375
1,2020-01-23,0,157.9054444931008,626.3767725496728,True,2,6.865139079483326,1108.3696957237375
2,2020-01-24,0,157.9054444931008,626.3767725496728,True,3,7.096710201865527,1108.3696957237375
3,2020-01-25,0,157.9054444931008,626.3767725496728,True,4,7.336046560758439,1108.3696957237375
4,2020-01-26,0,157.9054444931008,626.3767725496728,True,5,7.5834053928764025,1108.3696957237375
5,2020-01-27,0,157.9054444931008,626.3767725496728,True,6,7.839052240179566,1108.3696957237375
6,2020-01-28,0,157.9054444931008,626.3767725496728,True,7,8.103261203165031,1108.3696957237375
7,2020-01-29,0,157.9054444931008,626.3767725496728,True,8,8.376315200850158,1108.3696957237375
8,2020-01-30,0,157.9054444931008,626.3767725496728,True,9,8.658506237550462,1108.3696957237375
9,2020-01-31,0,157.9054444931008,626.3767725496728,True,10,8.950135676549975,1108.3696957237375
10,2020-02-01,0,157.9054444931008,626.3767725496728,True,11,9.251514520756917,1108.3696957237375
11,2020-02-02,0,157.9054444931008,626.3767725496728,True,12,9.562963700431713,1108.3696957237375
12,2020-02-03,0,157.9054444931008,626.3767725496728,True,13,9.884814368067879,1108.3696957237375
13,2020-02-04,0,157.9054444931008,626.3767725496728,True,14,10.21740820049905,1108.3696957237375
14,2020-02-05,0,157.9054444931008,626.3767725496728,True,15,10.561097708297227,1108.3696957237375
15,2020-02-06,0,157.9054444931008,626.3767725496728,True,16,10.916246552518352,1108.3696957237375
16,2020-02-07,0,157.9054444931008,626.3767725496728,True,17,11.283229868841286,1108.3696957237375
17,2020-02-08,0,157.9054444931008,626.3767725496728,True,18,11.662434599135244,1108.3696957237375
18,2020-02-09,0,157.9054444931008,626.3767725496728,True,19,12.054259830478614,1108.3696957237375
19,2020-02-10,0,157.9054444931008,626.3767725496728,True,20,12.459117141638805,1108.3696957237375
20,2020-02-11,0,157.9054444931008,626.3767725496728,True,21,12.877430957008203,1108.3696957237375
21,2020-02-12,0,157.9054444931008,626.3767725496728,True,22,13.309638907975424,1108.3696957237375
22,2020-02-13,0,157.9054444931008,626.3767725496728,True,23,13.756192201693775,1108.3696957237375
23,2020-02-14,0,157.9054444931008,626.3767725496728,True,24,14.217555997190038,1108.3696957237375
24,2020-02-15,0,157.9054444931008,626.3767725496728,True,25,14.69420978873626,1108.3696957237375
25,2020-02-16,0,157.9054444931008,626.3767725496728,True,26,15.186647796385177,1108.3696957237375
26,2020-02-17,0,157.9054444931008,626.3767725496728,True,27,15.695379363546017,1108.3696957237375
27,2020-02-18,0,157.9054444931008,626.3767725496728,True,28,16.220929361451596,1108.3696957237375
28,2020-02-19,0,157.9054444931008,626.3767725496728,True,29,16.76383860033992,1108.3696957237375
29,2020-02-20,0,157.9054444931008,626.3767725496728,True,30,17.324664247143513,1108.3696957237375
30,2020-02-21,0,157.9054444931008,626.3767725496728,True,31,17.90398024944763,1108.3696957237375
31,2020-02-22,0,157.9054444931008,626.3767725496728,True,32,18.502377765443985,1108.3696957237375
32,2020-02-23,0,157.9054444931008,626.3767725496728,True,33,19.120465599569656,1108.3696957237375
33,2020-02-24,0,157.9054444931008,626.3767725496728,True,34,19.75887064348128,1108.3696957237375
