,Report_Date,Tajikistan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,127.85190315727242,3131.5470868726275,True,1,0.06853176826929928,6201.12388359055
1,2020-01-23,0,127.85190315727242,3131.5470868726275,True,2,0.07498928933301094,6201.12388359055
2,2020-01-24,0,127.85190315727242,3131.5470868726275,True,3,0.08205527320182318,6201.12388359055
3,2020-01-25,0,127.85190315727242,3131.5470868726275,True,4,0.08978705098207926,6201.12388359055
4,2020-01-26,0,127.85190315727242,3131.5470868726275,True,5,0.09824735537056695,6201.12388359055
5,2020-01-27,0,127.85190315727242,3131.5470868726275,True,6,0.10750482951732104,6201.12388359055
6,2020-01-28,0,127.85190315727242,3131.5470868726275,True,7,0.1176345838143211,6201.12388359055
7,2020-01-29,0,127.85190315727242,3131.5470868726275,True,8,0.1287188051214721,6201.12388359055
8,2020-01-30,0,127.85190315727242,3131.5470868726275,True,9,0.14084742336545428,6201.12388359055
9,2020-01-31,0,127.85190315727242,3131.5470868726275,True,10,0.1541188409110183,6201.12388359055
10,2020-02-01,0,127.85190315727242,3131.5470868726275,True,11,0.16864073061180318,6201.12388359055
11,2020-02-02,0,127.85190315727242,3131.5470868726275,True,12,0.18453090900281782,6201.12388359055
12,2020-02-03,0,127.85190315727242,3131.5470868726275,True,13,0.20191829170379244,6201.12388359055
13,2020-02-04,0,127.85190315727242,3131.5470868726275,True,14,0.2209439387665044,6201.12388359055
14,2020-02-05,0,127.85190315727242,3131.5470868726275,True,15,0.2417621984252065,6201.12388359055
15,2020-02-06,0,127.85190315727242,3131.5470868726275,True,16,0.2645419585031932,6201.12388359055
16,2020-02-07,0,127.85190315727242,3131.5470868726275,True,17,0.2894680155966353,6201.12388359055
17,2020-02-08,0,127.85190315727242,3131.5470868726275,True,18,0.31674257310595066,6201.12388359055
18,2020-02-09,0,127.85190315727242,3131.5470868726275,True,19,0.3465868802226597,6201.12388359055
19,2020-02-10,0,127.85190315727242,3131.5470868726275,True,20,0.37924302511405633,6201.12388359055
