,Report_Date,China_jiangsu_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,1,14.570477006622733,318.93459568069113,True,1,19.606126804494668,637.8691883830534
1,2020-01-23,5,14.570477006622733,318.93459568069113,True,2,25.06038715821527,637.8691883830534
2,2020-01-24,9,14.570477006622733,318.93459568069113,True,3,31.953557265979445,637.8691883830534
3,2020-01-25,18,14.570477006622733,318.93459568069113,True,4,40.617108497145196,637.8691883830534
4,2020-01-26,33,14.570477006622733,318.93459568069113,True,5,51.430225045551246,637.8691883830534
5,2020-01-27,47,14.570477006622733,318.93459568069113,True,6,64.8096435586408,637.8691883830534
6,2020-01-28,70,14.570477006622733,318.93459568069113,True,7,81.1878140402234,637.8691883830534
7,2020-01-29,99,14.570477006622733,318.93459568069113,True,8,100.97564067800849,637.8691883830534
8,2020-01-30,129,14.570477006622733,318.93459568069113,True,9,124.50764985957368,637.8691883830534
9,2020-01-31,168,14.570477006622733,318.93459568069113,True,10,151.97141093939535,637.8691883830534
10,2020-02-01,202,14.570477006622733,318.93459568069113,True,11,183.32971482573612,637.8691883830534
11,2020-02-02,236,14.570477006622733,318.93459568069113,True,12,218.25218873153,637.8691883830534
12,2020-02-03,271,14.570477006622733,318.93459568069113,True,13,256.07921422071354,637.8691883830534
13,2020-02-04,308,14.570477006622733,318.93459568069113,True,14,295.8401316306633,637.8691883830534
14,2020-02-05,341,14.570477006622733,318.93459568069113,True,15,336.3360457477148,637.8691883830534
15,2020-02-06,373,14.570477006622733,318.93459568069113,True,16,376.27690542843254,637.8691883830534
16,2020-02-07,408,14.570477006622733,318.93459568069113,True,17,414.4417229140383,637.8691883830534
17,2020-02-08,439,14.570477006622733,318.93459568069113,True,18,449.82118773089826,637.8691883830534
18,2020-02-09,468,14.570477006622733,318.93459568069113,True,19,481.70927909613596,637.8691883830534
19,2020-02-10,492,14.570477006622733,318.93459568069113,True,20,509.7303572669143,637.8691883830534
20,2020-02-11,515,14.570477006622733,318.93459568069113,True,21,533.8095483021541,637.8691883830534
21,2020-02-12,543,14.570477006622733,318.93459568069113,True,22,554.1074481867236,637.8691883830534
22,2020-02-13,570,14.570477006622733,318.93459568069113,True,23,570.9424364235146,637.8691883830534
23,2020-02-14,593,14.570477006622733,318.93459568069113,True,24,584.7183782014862,637.8691883830534
24,2020-02-15,604,14.570477006622733,318.93459568069113,True,25,595.8673361866385,637.8691883830534
25,2020-02-16,617,14.570477006622733,318.93459568069113,True,26,604.8099021521809,637.8691883830534
26,2020-02-17,626,14.570477006622733,318.93459568069113,True,27,611.9313948479228,637.8691883830534
27,2020-02-18,629,14.570477006622733,318.93459568069113,True,28,617.5702931512536,637.8691883830534
28,2020-02-19,631,14.570477006622733,318.93459568069113,True,29,622.0150514137961,637.8691883830534
29,2020-02-20,631,14.570477006622733,318.93459568069113,True,30,625.5060444670181,637.8691883830534
30,2020-02-21,631,14.570477006622733,318.93459568069113,True,31,628.2402399789665,637.8691883830534
31,2020-02-22,631,14.570477006622733,318.93459568069113,True,32,630.3769920513669,637.8691883830534
32,2020-02-23,631,14.570477006622733,318.93459568069113,True,33,632.0439759494145,637.8691883830534
33,2020-02-24,631,14.570477006622733,318.93459568069113,True,34,633.3427259572743,637.8691883830534
34,2020-02-25,631,14.570477006622733,318.93459568069113,True,35,634.3535262292479,637.8691883830534
35,2020-02-26,631,14.570477006622733,318.93459568069113,True,36,635.1395785687558,637.8691883830534
36,2020-02-27,631,14.570477006622733,318.93459568069113,True,37,635.7504678706358,637.8691883830534
37,2020-02-28,631,14.570477006622733,318.93459568069113,True,38,636.2249936314157,637.8691883830534
38,2020-02-29,631,14.570477006622733,318.93459568069113,True,39,636.5934541841553,637.8691883830534
39,2020-03-01,631,14.570477006622733,318.93459568069113,True,40,636.8794721075077,637.8691883830534
40,2020-03-02,631,14.570477006622733,318.93459568069113,True,41,637.1014426757978,637.8691883830534
41,2020-03-03,631,14.570477006622733,318.93459568069113,True,42,637.2736770565817,637.8691883830534
42,2020-03-04,631,14.570477006622733,318.93459568069113,True,43,637.4073009181118,637.8691883830534
43,2020-03-05,631,14.570477006622733,318.93459568069113,True,44,637.5109585821106,637.8691883830534
44,2020-03-06,631,14.570477006622733,318.93459568069113,True,45,637.5913634855074,637.8691883830534
45,2020-03-07,631,14.570477006622733,318.93459568069113,True,46,637.6537277073579,637.8691883830534
46,2020-03-08,631,14.570477006622733,318.93459568069113,True,47,637.7020966564878,637.8691883830534
47,2020-03-09,631,14.570477006622733,318.93459568069113,True,48,637.739609576028,637.8691883830534
48,2020-03-10,631,14.570477006622733,318.93459568069113,True,49,637.7687021366859,637.8691883830534
49,2020-03-11,631,14.570477006622733,318.93459568069113,True,50,637.7912638900874,637.8691883830534
50,2020-03-12,631,14.570477006622733,318.93459568069113,True,51,637.8087605781998,637.8691883830534
51,2020-03-13,631,14.570477006622733,318.93459568069113,True,52,637.8223291059811,637.8691883830534
52,2020-03-14,631,14.570477006622733,318.93459568069113,True,53,637.8328512648953,637.8691883830534
53,2020-03-15,631,14.570477006622733,318.93459568069113,True,54,637.8410109481754,637.8691883830534
54,2020-03-16,631,14.570477006622733,318.93459568069113,True,55,637.8473385463333,637.8691883830534
55,2020-03-17,631,14.570477006622733,318.93459568069113,True,56,637.8522453904935,637.8691883830534
56,2020-03-18,631,14.570477006622733,318.93459568069113,True,57,637.8560504716304,637.8691883830534
57,2020-03-19,631,14.570477006622733,318.93459568069113,True,58,637.8590011661262,637.8691883830534
58,2020-03-20,631,14.570477006622733,318.93459568069113,True,59,637.8612893111057,637.8691883830534
59,2020-03-21,631,14.570477006622733,318.93459568069113,True,60,637.8630636722942,637.8691883830534
60,2020-03-22,633,14.570477006622733,318.93459568069113,True,61,637.864439613571,637.8691883830534
