,Report_Date,Papua New Guinea_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,84.6778184265611,4.418936372639626,True,1,0.00010124885237406942,8.837848929073347
1,2020-01-23,0,84.6778184265611,4.418936372639626,True,2,0.00011599432059428739,8.837848929073347
2,2020-01-24,0,84.6778184265611,4.418936372639626,True,3,0.00013288722612973418,8.837848929073347
3,2020-01-25,0,84.6778184265611,4.418936372639626,True,4,0.0001522402981642293,8.837848929073347
4,2020-01-26,0,84.6778184265611,4.418936372639626,True,5,0.0001744118051721073,8.837848929073347
5,2020-01-27,0,84.6778184265611,4.418936372639626,True,6,0.00019981218531596378,8.837848929073347
6,2020-01-28,0,84.6778184265611,4.418936372639626,True,7,0.00022891164190454795,8.837848929073347
7,2020-01-29,0,84.6778184265611,4.418936372639626,True,8,0.0002622488442799349,8.837848929073347
8,2020-01-30,0,84.6778184265611,4.418936372639626,True,9,0.0003004408948898935,8.837848929073347
9,2020-01-31,0,84.6778184265611,4.418936372639626,True,10,0.00034419474663966354,8.837848929073347
10,2020-02-01,0,84.6778184265611,4.418936372639626,True,11,0.00039432028133151926,8.837848929073347
11,2020-02-02,0,84.6778184265611,4.418936372639626,True,12,0.00045174529057499753,8.837848929073347
12,2020-02-03,0,84.6778184265611,4.418936372639626,True,13,0.0005175326355382459,8.837848929073347
13,2020-02-04,0,84.6778184265611,4.418936372639626,True,14,0.0005928999019419312,8.837848929073347
14,2020-02-05,0,84.6778184265611,4.418936372639626,True,15,0.0006792419124897837,8.837848929073347
15,2020-02-06,0,84.6778184265611,4.418936372639626,True,16,0.0007781565113018927,8.837848929073347
16,2020-02-07,0,84.6778184265611,4.418936372639626,True,17,0.0008914740947985742,8.837848929073347
17,2020-02-08,0,84.6778184265611,4.418936372639626,True,18,0.0010212914319309278,8.837848929073347
18,2020-02-09,0,84.6778184265611,4.418936372639626,True,19,0.0011700103948685849,8.837848929073347
19,2020-02-10,0,84.6778184265611,4.418936372639626,True,20,0.001340382310594759,8.837848929073347
20,2020-02-11,0,84.6778184265611,4.418936372639626,True,21,0.0015355587458609887,8.837848929073347
21,2020-02-12,0,84.6778184265611,4.418936372639626,True,22,0.0017591496543544769,8.837848929073347
22,2020-02-13,0,84.6778184265611,4.418936372639626,True,23,0.002015289947684254,8.837848929073347
23,2020-02-14,0,84.6778184265611,4.418936372639626,True,24,0.0023087157030935745,8.837848929073347
24,2020-02-15,0,84.6778184265611,4.418936372639626,True,25,0.002644851393111652,8.837848929073347
25,2020-02-16,0,84.6778184265611,4.418936372639626,True,26,0.0030299097184068925,8.837848929073347
26,2020-02-17,0,84.6778184265611,4.418936372639626,True,27,0.003471005847934435,8.837848929073347
27,2020-02-18,0,84.6778184265611,4.418936372639626,True,28,0.003976288123434038,8.837848929073347
28,2020-02-19,0,84.6778184265611,4.418936372639626,True,29,0.0045550875720995095,8.837848929073347
29,2020-02-20,0,84.6778184265611,4.418936372639626,True,30,0.005218088895789582,8.837848929073347
30,2020-02-21,0,84.6778184265611,4.418936372639626,True,31,0.0059775259717546395,8.837848929073347
31,2020-02-22,0,84.6778184265611,4.418936372639626,True,32,0.006847405313029588,8.837848929073347
32,2020-02-23,0,84.6778184265611,4.418936372639626,True,33,0.00784376140107196,8.837848929073347
33,2020-02-24,0,84.6778184265611,4.418936372639626,True,34,0.008984948323625353,8.837848929073347
34,2020-02-25,0,84.6778184265611,4.418936372639626,True,35,0.010291972731735164,8.837848929073347
35,2020-02-26,0,84.6778184265611,4.418936372639626,True,36,0.011788873775487813,8.837848929073347
36,2020-02-27,0,84.6778184265611,4.418936372639626,True,37,0.01350315639173598,8.837848929073347
37,2020-02-28,0,84.6778184265611,4.418936372639626,True,38,0.015466285100823297,8.837848929073347
38,2020-02-29,0,84.6778184265611,4.418936372639626,True,39,0.017714246323081335,8.837848929073347
39,2020-03-01,0,84.6778184265611,4.418936372639626,True,40,0.020288188146540036,8.837848929073347
40,2020-03-02,0,84.6778184265611,4.418936372639626,True,41,0.0232351474574141,8.837848929073347
41,2020-03-03,0,84.6778184265611,4.418936372639626,True,42,0.026608875370950087,8.837848929073347
42,2020-03-04,0,84.6778184265611,4.418936372639626,True,43,0.030470772950225107,8.837848929073347
43,2020-03-05,0,84.6778184265611,4.418936372639626,True,44,0.034890950241248775,8.837848929073347
44,2020-03-06,0,84.6778184265611,4.418936372639626,True,45,0.03994942263590192,8.837848929073347
45,2020-03-07,0,84.6778184265611,4.418936372639626,True,46,0.04573745943158987,8.837848929073347
