,Report_Date,Singapore_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,149.96111390954107,213533.50961700478,False,1,4.611405589009744,427067.01923400915
1,2020-01-23,1,149.96111390954107,213533.50961700478,False,2,4.979376029699273,427067.01923400915
2,2020-01-24,3,149.96111390954107,213533.50961700478,False,3,5.376708567887218,427067.01923400915
3,2020-01-25,3,149.96111390954107,213533.50961700478,False,4,5.80574608250913,427067.01923400915
4,2020-01-26,4,149.96111390954107,213533.50961700478,False,5,6.269018386787333,427067.01923400915
5,2020-01-27,5,149.96111390954107,213533.50961700478,False,6,6.769257141706914,427067.01923400915
6,2020-01-28,7,149.96111390954107,213533.50961700478,False,7,7.3094119589971305,427067.01923400915
7,2020-01-29,7,149.96111390954107,213533.50961700478,False,8,7.8926677884471275,427067.01923400915
8,2020-01-30,10,149.96111390954107,213533.50961700478,False,9,8.522463691937114,427067.01923400915
9,2020-01-31,13,149.96111390954107,213533.50961700478,False,10,9.20251311471836,427067.01923400915
10,2020-02-01,16,149.96111390954107,213533.50961700478,False,11,9.936825773275476,427067.01923400915
11,2020-02-02,18,149.96111390954107,213533.50961700478,False,12,10.72973128860316,427067.01923400915
12,2020-02-03,18,149.96111390954107,213533.50961700478,False,13,11.585904703982626,427067.01923400915
13,2020-02-04,24,149.96111390954107,213533.50961700478,False,14,12.510394037409304,427067.01923400915
14,2020-02-05,28,149.96111390954107,213533.50961700478,False,15,13.50865003076771,427067.01923400915
15,2020-02-06,28,149.96111390954107,213533.50961700478,False,16,14.586558270740552,427067.01923400915
16,2020-02-07,30,149.96111390954107,213533.50961700478,False,17,15.75047387035175,427067.01923400915
17,2020-02-08,33,149.96111390954107,213533.50961700478,False,18,17.007258915057317,427067.01923400915
18,2020-02-09,40,149.96111390954107,213533.50961700478,False,19,18.364322893500898,427067.01923400915
19,2020-02-10,45,149.96111390954107,213533.50961700478,False,20,19.82966635053468,427067.01923400915
20,2020-02-11,47,149.96111390954107,213533.50961700478,False,21,21.411928018972418,427067.01923400915
21,2020-02-12,50,149.96111390954107,213533.50961700478,False,22,23.12043570689721,427067.01923400915
22,2020-02-13,58,149.96111390954107,213533.50961700478,False,23,24.965261239308585,427067.01923400915
23,2020-02-14,67,149.96111390954107,213533.50961700478,False,24,26.957279776586876,427067.01923400915
24,2020-02-15,72,149.96111390954107,213533.50961700478,False,25,29.10823385781228,427067.01923400915
25,2020-02-16,75,149.96111390954107,213533.50961700478,False,26,31.43080254454614,427067.01923400915
26,2020-02-17,77,149.96111390954107,213533.50961700478,False,27,33.93867607041888,427067.01923400915
27,2020-02-18,81,149.96111390954107,213533.50961700478,False,28,36.64663643393926,427067.01923400915
28,2020-02-19,84,149.96111390954107,213533.50961700478,False,29,39.57064440652442,427067.01923400915
29,2020-02-20,84,149.96111390954107,213533.50961700478,False,30,42.72793346504031,427067.01923400915
30,2020-02-21,85,149.96111390954107,213533.50961700478,False,31,46.13711119834744,427067.01923400915
31,2020-02-22,85,149.96111390954107,213533.50961700478,False,32,49.81826878068749,427067.01923400915
32,2020-02-23,89,149.96111390954107,213533.50961700478,False,33,53.793099151461526,427067.01923400915
33,2020-02-24,89,149.96111390954107,213533.50961700478,False,34,58.08502459129594,427067.01923400915
34,2020-02-25,91,149.96111390954107,213533.50961700478,False,35,62.71933443854058,427067.01923400915
35,2020-02-26,93,149.96111390954107,213533.50961700478,False,36,67.72333374878748,427067.01923400915
36,2020-02-27,93,149.96111390954107,213533.50961700478,False,37,73.12650376295224,427067.01923400915
37,2020-02-28,93,149.96111390954107,213533.50961700478,False,38,78.96067511725488,427067.01923400915
38,2020-02-29,102,149.96111390954107,213533.50961700478,False,39,85.26021480143318,427067.01923400915
39,2020-03-01,106,149.96111390954107,213533.50961700478,False,40,92.06222795009529,427067.01923400915
40,2020-03-02,108,149.96111390954107,213533.50961700478,False,41,99.40677563667798,427067.01923400915
