,Report_Date,Morocco_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
26,2020-02-17,0,303.62436286800727,306989.0026468918,True,27,305.84558492507597,461777.8142659025
27,2020-02-18,0,303.62436286800727,306989.0026468918,True,28,314.36524114855723,461777.8142659025
28,2020-02-19,0,303.62436286800727,306989.0026468918,True,29,323.12209655743413,461777.8142659025
29,2020-02-20,0,303.62436286800727,306989.0026468918,True,30,332.1227480513872,461777.8142659025
30,2020-02-21,0,303.62436286800727,306989.0026468918,True,31,341.3739756020368,461777.8142659025
31,2020-02-22,0,303.62436286800727,306989.0026468918,True,32,350.8827473108857,461777.8142659025
32,2020-02-23,0,303.62436286800727,306989.0026468918,True,33,360.6562246057294,461777.8142659025
33,2020-02-24,0,303.62436286800727,306989.0026468918,True,34,370.70176757925327,461777.8142659025
34,2020-02-25,0,303.62436286800727,306989.0026468918,True,35,381.0269404736301,461777.8142659025
35,2020-02-26,0,303.62436286800727,306989.0026468918,True,36,391.6395173150306,461777.8142659025
36,2020-02-27,0,303.62436286800727,306989.0026468918,True,37,402.54748770206004,461777.8142659025
37,2020-02-28,0,303.62436286800727,306989.0026468918,True,38,413.75906275223474,461777.8142659025
38,2020-02-29,0,303.62436286800727,306989.0026468918,True,39,425.28268121071886,461777.8142659025
39,2020-03-01,0,303.62436286800727,306989.0026468918,True,40,437.12701572564987,461777.8142659025
40,2020-03-02,1,303.62436286800727,306989.0026468918,True,41,449.3009792944865,461777.8142659025
41,2020-03-03,1,303.62436286800727,306989.0026468918,True,42,461.8137318859321,461777.8142659025
42,2020-03-04,1,303.62436286800727,306989.0026468918,True,43,474.67468724209283,461777.8142659025
43,2020-03-05,2,303.62436286800727,306989.0026468918,True,44,487.89351986565373,461777.8142659025
44,2020-03-06,2,303.62436286800727,306989.0026468918,True,45,501.480172196973,461777.8142659025
45,2020-03-07,2,303.62436286800727,306989.0026468918,True,46,515.4448619861148,461777.8142659025
46,2020-03-08,2,303.62436286800727,306989.0026468918,True,47,529.7980898649703,461777.8142659025
47,2020-03-09,2,303.62436286800727,306989.0026468918,True,48,544.5506471247403,461777.8142659025
48,2020-03-10,3,303.62436286800727,306989.0026468918,True,49,559.713623704184,461777.8142659025
49,2020-03-11,5,303.62436286800727,306989.0026468918,True,50,575.2984163941717,461777.8142659025
50,2020-03-12,6,303.62436286800727,306989.0026468918,True,51,591.3167372642166,461777.8142659025
51,2020-03-13,7,303.62436286800727,306989.0026468918,True,52,607.7806223167935,461777.8142659025
52,2020-03-14,17,303.62436286800727,306989.0026468918,True,53,624.7024403753984,461777.8142659025
53,2020-03-15,28,303.62436286800727,306989.0026468918,True,54,642.094902212447,461777.8142659025
54,2020-03-16,29,303.62436286800727,306989.0026468918,True,55,659.971069923251,461777.8142659025
55,2020-03-17,38,303.62436286800727,306989.0026468918,True,56,678.3443665524668,461777.8142659025
56,2020-03-18,49,303.62436286800727,306989.0026468918,True,57,697.2285859795606,461777.8142659025
57,2020-03-19,63,303.62436286800727,306989.0026468918,True,58,716.6379030699862,461777.8142659025
58,2020-03-20,77,303.62436286800727,306989.0026468918,True,59,736.5868840989356,461777.8142659025
59,2020-03-21,96,303.62436286800727,306989.0026468918,True,60,757.0904974546766,461777.8142659025
60,2020-03-22,115,303.62436286800727,306989.0026468918,True,61,778.1641246286606,461777.8142659025
61,2020-03-23,143,303.62436286800727,306989.0026468918,True,62,799.823571499744,461777.8142659025
62,2020-03-24,170,303.62436286800727,306989.0026468918,True,63,822.0850799200384,461777.8142659025
63,2020-03-25,225,303.62436286800727,306989.0026468918,True,64,844.9653396100808,461777.8142659025
64,2020-03-26,275,303.62436286800727,306989.0026468918,True,65,868.4815003711775,461777.8142659025
65,2020-03-27,345,303.62436286800727,306989.0026468918,True,66,892.6511846229647,461777.8142659025
66,2020-03-28,402,303.62436286800727,306989.0026468918,True,67,917.4925002744003,461777.8142659025
67,2020-03-29,479,303.62436286800727,306989.0026468918,True,68,943.0240539365864,461777.8142659025
68,2020-03-30,556,303.62436286800727,306989.0026468918,True,69,969.2649644860034,461777.8142659025
