,Report_Date,Vietnam_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
52,2020-03-14,53,202.78253266032883,752.4758076490383,True,53,82.53626045922346,1408.7561475022214
53,2020-03-15,56,202.78253266032883,752.4758076490383,True,54,84.03157566716084,1408.7561475022214
54,2020-03-16,61,202.78253266032883,752.4758076490383,True,55,85.55235221092612,1408.7561475022214
55,2020-03-17,66,202.78253266032883,752.4758076490383,True,56,87.09896421714797,1408.7561475022214
56,2020-03-18,75,202.78253266032883,752.4758076490383,True,57,88.67178914008821,1408.7561475022214
57,2020-03-19,85,202.78253266032883,752.4758076490383,True,58,90.27120770686646,1408.7561475022214
58,2020-03-20,91,202.78253266032883,752.4758076490383,True,59,91.8976038585754,1408.7561475022214
59,2020-03-21,94,202.78253266032883,752.4758076490383,True,60,93.55136468716117,1408.7561475022214
60,2020-03-22,113,202.78253266032883,752.4758076490383,True,61,95.23288036794285,1408.7561475022214
61,2020-03-23,123,202.78253266032883,752.4758076490383,True,62,96.94254408764442,1408.7561475022214
62,2020-03-24,134,202.78253266032883,752.4758076490383,True,63,98.68075196780983,1408.7561475022214
63,2020-03-25,141,202.78253266032883,752.4758076490383,True,64,100.44790298347398,1408.7561475022214
64,2020-03-26,153,202.78253266032883,752.4758076490383,True,65,102.24439887695875,1408.7561475022214
65,2020-03-27,163,202.78253266032883,752.4758076490383,True,66,104.07064406666562,1408.7561475022214
66,2020-03-28,174,202.78253266032883,752.4758076490383,True,67,105.92704555073404,1408.7561475022214
67,2020-03-29,188,202.78253266032883,752.4758076490383,True,68,107.81401280543577,1408.7561475022214
68,2020-03-30,203,202.78253266032883,752.4758076490383,True,69,109.73195767817582,1408.7561475022214
69,2020-03-31,212,202.78253266032883,752.4758076490383,True,70,111.68129427497003,1408.7561475022214
70,2020-04-01,218,202.78253266032883,752.4758076490383,True,71,113.66243884227106,1408.7561475022214
71,2020-04-02,233,202.78253266032883,752.4758076490383,True,72,115.67580964301439,1408.7561475022214
72,2020-04-03,237,202.78253266032883,752.4758076490383,True,73,117.72182682675829,1408.7561475022214
73,2020-04-04,240,202.78253266032883,752.4758076490383,True,74,119.80091229379205,1408.7561475022214
74,2020-04-05,241,202.78253266032883,752.4758076490383,True,75,121.91348955308864,1408.7561475022214
75,2020-04-06,245,202.78253266032883,752.4758076490383,True,76,124.05998357398086,1408.7561475022214
76,2020-04-07,249,202.78253266032883,752.4758076490383,True,77,126.24082063144114,1408.7561475022214
77,2020-04-08,251,202.78253266032883,752.4758076490383,True,78,128.45642814484845,1408.7561475022214
78,2020-04-09,255,202.78253266032883,752.4758076490383,True,79,130.70723451012884,1408.7561475022214
79,2020-04-10,257,202.78253266032883,752.4758076490383,True,80,132.9936689251588,1408.7561475022214
80,2020-04-11,258,202.78253266032883,752.4758076490383,True,81,135.31616120832516,1408.7561475022214
81,2020-04-12,262,202.78253266032883,752.4758076490383,True,82,137.67514161013872,1408.7561475022214
82,2020-04-13,265,202.78253266032883,752.4758076490383,True,83,140.0710406178036,1408.7561475022214
83,2020-04-14,266,202.78253266032883,752.4758076490383,True,84,142.50428875264868,1408.7561475022214
84,2020-04-15,267,202.78253266032883,752.4758076490383,True,85,144.97531636033378,1408.7561475022214
85,2020-04-16,268,202.78253266032883,752.4758076490383,True,86,147.48455339374794,1408.7561475022214
86,2020-04-17,268,202.78253266032883,752.4758076490383,True,87,150.03242918852362,1408.7561475022214
87,2020-04-18,268,202.78253266032883,752.4758076490383,True,88,152.61937223109805,1408.7561475022214
88,2020-04-19,268,202.78253266032883,752.4758076490383,True,89,155.2458099192589,1408.7561475022214
89,2020-04-20,268,202.78253266032883,752.4758076490383,True,90,157.91216831512,1408.7561475022214
90,2020-04-21,268,202.78253266032883,752.4758076490383,True,91,160.61887189048056,1408.7561475022214
91,2020-04-22,268,202.78253266032883,752.4758076490383,True,92,163.3663432645298,1408.7561475022214
92,2020-04-23,268,202.78253266032883,752.4758076490383,True,93,166.1550029338689,1408.7561475022214
93,2020-04-24,270,202.78253266032883,752.4758076490383,True,94,168.98526899482988,1408.7561475022214
94,2020-04-25,270,202.78253266032883,752.4758076490383,True,95,171.85755685808485,1408.7561475022214
95,2020-04-26,270,202.78253266032883,752.4758076490383,True,96,174.7722789555448,1408.7561475022214
