,Report_Date,San Marino_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,68.34740805628621,223.08699865033225,True,1,0.5353427630264556,422.0254465362912
1,2020-01-23,0,68.34740805628621,223.08699865033225,True,2,0.5914795163916202,422.0254465362912
2,2020-01-24,0,68.34740805628621,223.08699865033225,True,3,0.6534942120947304,422.0254465362912
3,2020-01-25,0,68.34740805628621,223.08699865033225,True,4,0.7220004105322025,422.0254465362912
4,2020-01-26,0,68.34740805628621,223.08699865033225,True,5,0.7976752976140323,422.0254465362912
5,2020-01-27,0,68.34740805628621,223.08699865033225,True,6,0.88126618997383,422.0254465362912
6,2020-01-28,0,68.34740805628621,223.08699865033225,True,7,0.9735976847934346,422.0254465362912
7,2020-01-29,0,68.34740805628621,223.08699865033225,True,8,1.0755795135547381,422.0254465362912
8,2020-01-30,0,68.34740805628621,223.08699865033225,True,9,1.1882151634513194,422.0254465362912
9,2020-01-31,0,68.34740805628621,223.08699865033225,True,10,1.3126113346916792,422.0254465362912
10,2020-02-01,0,68.34740805628621,223.08699865033225,True,11,1.4499883064325372,422.0254465362912
11,2020-02-02,0,68.34740805628621,223.08699865033225,True,12,1.6016912884996006,422.0254465362912
12,2020-02-03,0,68.34740805628621,223.08699865033225,True,13,1.769202840260292,422.0254465362912
13,2020-02-04,0,68.34740805628621,223.08699865033225,True,14,1.9541564418486321,422.0254465362912
14,2020-02-05,0,68.34740805628621,223.08699865033225,True,15,2.158351306204288,422.0254465362912
15,2020-02-06,0,68.34740805628621,223.08699865033225,True,16,2.383768522821252,422.0254465362912
16,2020-02-07,0,68.34740805628621,223.08699865033225,True,17,2.632588625389861,422.0254465362912
17,2020-02-08,0,68.34740805628621,223.08699865033225,True,18,2.907210675267581,422.0254465362912
18,2020-02-09,0,68.34740805628621,223.08699865033225,True,19,3.2102729504496073,422.0254465362912
19,2020-02-10,0,68.34740805628621,223.08699865033225,True,20,3.5446753248466147,422.0254465362912
20,2020-02-11,0,68.34740805628621,223.08699865033225,True,21,3.9136034145095113,422.0254465362912
21,2020-02-12,0,68.34740805628621,223.08699865033225,True,22,4.320554555125676,422.0254465362912
22,2020-02-13,0,68.34740805628621,223.08699865033225,True,23,4.769365657643742,422.0254465362912
23,2020-02-14,0,68.34740805628621,223.08699865033225,True,24,5.264242965080221,422.0254465362912
24,2020-02-15,0,68.34740805628621,223.08699865033225,True,25,5.809793702036287,422.0254465362912
25,2020-02-16,0,68.34740805628621,223.08699865033225,True,26,6.411059567604147,422.0254465362912
26,2020-02-17,0,68.34740805628621,223.08699865033225,True,27,7.073551970334972,422.0254465362912
27,2020-02-18,0,68.34740805628621,223.08699865033225,True,28,7.803288838702398,422.0254465362912
28,2020-02-19,0,68.34740805628621,223.08699865033225,True,29,8.60683275972334,422.0254465362912
29,2020-02-20,0,68.34740805628621,223.08699865033225,True,30,9.491330099579201,422.0254465362912
30,2020-02-21,0,68.34740805628621,223.08699865033225,True,31,10.464550640543138,422.0254465362912
31,2020-02-22,0,68.34740805628621,223.08699865033225,True,32,11.534927125512104,422.0254465362912
32,2020-02-23,0,68.34740805628621,223.08699865033225,True,33,12.711593932264817,422.0254465362912
33,2020-02-24,0,68.34740805628621,223.08699865033225,True,34,14.004423901752352,422.0254465362912
34,2020-02-25,0,68.34740805628621,223.08699865033225,True,35,15.4240621163066,422.0254465362912
35,2020-02-26,0,68.34740805628621,223.08699865033225,True,36,16.98195516350118,422.0254465362912
