,Report_Date,Russia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,92.4840335864651,31172.751636819925,False,1,0.7060993249982088,62345.503273639864
1,2020-01-23,0,92.4840335864651,31172.751636819925,False,2,0.7997025967407996,62345.503273639864
2,2020-01-24,0,92.4840335864651,31172.751636819925,False,3,0.9057141018394934,62345.503273639864
3,2020-01-25,0,92.4840335864651,31172.751636819925,False,4,1.0257786490931362,62345.503273639864
4,2020-01-26,0,92.4840335864651,31172.751636819925,False,5,1.1617590652205259,62345.503273639864
5,2020-01-27,0,92.4840335864651,31172.751636819925,False,6,1.3157650888660095,62345.503273639864
6,2020-01-28,0,92.4840335864651,31172.751636819925,False,7,1.490186092788299,62345.503273639864
7,2020-01-29,0,92.4840335864651,31172.751636819925,False,8,1.6877281411051568,62345.503273639864
8,2020-01-30,0,92.4840335864651,31172.751636819925,False,9,1.9114559554872992,62345.503273639864
9,2020-01-31,2,92.4840335864651,31172.751636819925,False,10,2.164840440051277,62345.503273639864
10,2020-02-01,2,92.4840335864651,31172.751636819925,False,11,2.4518125005506635,62345.503273639864
11,2020-02-02,2,92.4840335864651,31172.751636819925,False,12,2.7768239906146728,62345.503273639864
12,2020-02-03,2,92.4840335864651,31172.751636819925,False,13,3.1449167277086243,62345.503273639864
13,2020-02-04,2,92.4840335864651,31172.751636819925,False,14,3.561800645855831,62345.503273639864
14,2020-02-05,2,92.4840335864651,31172.751636819925,False,15,4.03394229284249,62345.503273639864
15,2020-02-06,2,92.4840335864651,31172.751636819925,False,16,4.568665038740956,62345.503273639864
16,2020-02-07,2,92.4840335864651,31172.751636819925,False,17,5.17426254251443,62345.503273639864
17,2020-02-08,2,92.4840335864651,31172.751636819925,False,18,5.860127226888026,62345.503273639864
18,2020-02-09,2,92.4840335864651,31172.751636819925,False,19,6.63689574160067,62345.503273639864
19,2020-02-10,2,92.4840335864651,31172.751636819925,False,20,7.51661365497417,62345.503273639864
20,2020-02-11,2,92.4840335864651,31172.751636819925,False,21,8.512921907246346,62345.503273639864
21,2020-02-12,2,92.4840335864651,31172.751636819925,False,22,9.641267890567818,62345.503273639864
22,2020-02-13,2,92.4840335864651,31172.751636819925,False,23,10.919144394713848,62345.503273639864
23,2020-02-14,2,92.4840335864651,31172.751636819925,False,24,12.366360079724522,62345.503273639864
24,2020-02-15,2,92.4840335864651,31172.751636819925,False,25,14.005345612775354,62345.503273639864
25,2020-02-16,2,92.4840335864651,31172.751636819925,False,26,15.8615001431711,62345.503273639864
26,2020-02-17,2,92.4840335864651,31172.751636819925,False,27,17.963583393734407,62345.503273639864
27,2020-02-18,2,92.4840335864651,31172.751636819925,False,28,20.344159327072774,62345.503273639864
28,2020-02-19,2,92.4840335864651,31172.751636819925,False,29,23.04009811010093,62345.503273639864
29,2020-02-20,2,92.4840335864651,31172.751636819925,False,30,26.093143959454917,62345.503273639864
30,2020-02-21,2,92.4840335864651,31172.751636819925,False,31,29.55055741459513,62345.503273639864
31,2020-02-22,2,92.4840335864651,31172.751636819925,False,32,33.4658416658411,62345.503273639864
32,2020-02-23,2,92.4840335864651,31172.751636819925,False,33,37.89956377349782,62345.503273639864
33,2020-02-24,2,92.4840335864651,31172.751636819925,False,34,42.92028296452753,62345.503273639864
34,2020-02-25,2,92.4840335864651,31172.751636819925,False,35,48.60559969836176,62345.503273639864
35,2020-02-26,2,92.4840335864651,31172.751636819925,False,36,55.04334086723182,62345.503273639864
36,2020-02-27,2,92.4840335864651,31172.751636819925,False,37,62.33289835258869,62345.503273639864
37,2020-02-28,2,92.4840335864651,31172.751636819925,False,38,70.5867402110066,62345.503273639864
38,2020-02-29,2,92.4840335864651,31172.751636819925,False,39,79.93211602239718,62345.503273639864
39,2020-03-01,2,92.4840335864651,31172.751636819925,False,40,90.51298041014029,62345.503273639864
40,2020-03-02,3,92.4840335864651,31172.751636819925,False,41,102.49216144307799,62345.503273639864
41,2020-03-03,3,92.4840335864651,31172.751636819925,False,42,116.05380355412238,62345.503273639864
42,2020-03-04,3,92.4840335864651,31172.751636819925,False,43,131.40611775282352,62345.503273639864
43,2020-03-05,4,92.4840335864651,31172.751636819925,False,44,148.78447525233045,62345.503273639864
44,2020-03-06,13,92.4840335864651,31172.751636819925,False,45,168.4548841429669,62345.503273639864
45,2020-03-07,13,92.4840335864651,31172.751636819925,False,46,190.71789237382728,62345.503273639864
46,2020-03-08,17,92.4840335864651,31172.751636819925,False,47,215.9129639731736,62345.503273639864
47,2020-03-09,17,92.4840335864651,31172.751636819925,False,48,244.42337903684594,62345.503273639864
48,2020-03-10,20,92.4840335864651,31172.751636819925,False,49,276.68171138614076,62345.503273639864
49,2020-03-11,20,92.4840335864651,31172.751636819925,False,50,313.17594073081654,62345.503273639864
50,2020-03-12,28,92.4840335864651,31172.751636819925,False,51,354.45625838502383,62345.503273639864
51,2020-03-13,45,92.4840335864651,31172.751636819925,False,52,401.1426266990809,62345.503273639864
52,2020-03-14,59,92.4840335864651,31172.751636819925,False,53,453.9331518994693,62345.503273639864
53,2020-03-15,63,92.4840335864651,31172.751636819925,False,54,513.6133273442341,62345.503273639864
54,2020-03-16,90,92.4840335864651,31172.751636819925,False,55,581.0661985005513,62345.503273639864
55,2020-03-17,114,92.4840335864651,31172.751636819925,False,56,657.2834912284845,62345.503273639864
56,2020-03-18,147,92.4840335864651,31172.751636819925,False,57,743.3777299577213,62345.503273639864
57,2020-03-19,199,92.4840335864651,31172.751636819925,False,58,840.595350535391,62345.503273639864
