,Report_Date,Czechia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,70.80216462674902,3469.147713258668,True,1,0.08163323134763988,6841.670516496151
1,2020-01-23,0,70.80216462674902,3469.147713258668,True,2,0.09604735187457185,6841.670516496151
2,2020-01-24,0,70.80216462674902,3469.147713258668,True,3,0.11300655708234007,6841.670516496151
3,2020-01-25,0,70.80216462674902,3469.147713258668,True,4,0.13296021371392647,6841.670516496151
4,2020-01-26,0,70.80216462674902,3469.147713258668,True,5,0.15643702374557772,6841.670516496151
5,2020-01-27,0,70.80216462674902,3469.147713258668,True,6,0.18405902858704623,6841.670516496151
6,2020-01-28,0,70.80216462674902,3469.147713258668,True,7,0.2165580843891923,6841.670516496151
7,2020-01-29,0,70.80216462674902,3469.147713258668,True,8,0.25479524414994925,6841.670516496151
8,2020-01-30,0,70.80216462674902,3469.147713258668,True,9,0.29978355899448805,6841.670516496151
9,2020-01-31,0,70.80216462674902,3469.147713258668,True,10,0.3527149011359585,6841.670516496151
10,2020-02-01,0,70.80216462674902,3469.147713258668,True,11,0.41499151693716463,6841.670516496151
11,2020-02-02,0,70.80216462674902,3469.147713258668,True,12,0.4882631429274953,6841.670516496151
12,2020-02-03,0,70.80216462674902,3469.147713258668,True,13,0.5744706637837883,6841.670516496151
13,2020-02-04,0,70.80216462674902,3469.147713258668,True,14,0.6758974628972939,6841.670516496151
14,2020-02-05,0,70.80216462674902,3469.147713258668,True,15,0.7952298175834762,6841.670516496151
15,2020-02-06,0,70.80216462674902,3469.147713258668,True,16,0.9356279273279473,6841.670516496151
16,2020-02-07,0,70.80216462674902,3469.147713258668,True,17,1.1008094406077717,6841.670516496151
17,2020-02-08,0,70.80216462674902,3469.147713258668,True,18,1.295147670635275,6841.670516496151
18,2020-02-09,0,70.80216462674902,3469.147713258668,True,19,1.5237870707688077,6841.670516496151
19,2020-02-10,0,70.80216462674902,3469.147713258668,True,20,1.7927789854620708,6841.670516496151
20,2020-02-11,0,70.80216462674902,3469.147713258668,True,21,2.1092412129770013,6841.670516496151
21,2020-02-12,0,70.80216462674902,3469.147713258668,True,22,2.481545523658594,6841.670516496151
22,2020-02-13,0,70.80216462674902,3469.147713258668,True,23,2.919537985983293,6841.670516496151
23,2020-02-14,0,70.80216462674902,3469.147713258668,True,24,3.4347977771930376,6841.670516496151
24,2020-02-15,0,70.80216462674902,3469.147713258668,True,25,4.04094111323749,6841.670516496151
25,2020-02-16,0,70.80216462674902,3469.147713258668,True,26,4.75397804282765,6841.670516496151
26,2020-02-17,0,70.80216462674902,3469.147713258668,True,27,5.592731133075372,6841.670516496151
27,2020-02-18,0,70.80216462674902,3469.147713258668,True,28,6.579326551049313,6841.670516496151
28,2020-02-19,0,70.80216462674902,3469.147713258668,True,29,7.739769738687445,6841.670516496151
29,2020-02-20,0,70.80216462674902,3469.147713258668,True,30,9.104619809261312,6841.670516496151
30,2020-02-21,0,70.80216462674902,3469.147713258668,True,31,10.709778980899994,6841.670516496151
31,2020-02-22,0,70.80216462674902,3469.147713258668,True,32,12.597415820267042,6841.670516496151
32,2020-02-23,0,70.80216462674902,3469.147713258668,True,33,14.817043801856562,6841.670516496151
33,2020-02-24,0,70.80216462674902,3469.147713258668,True,34,17.426779685083346,6841.670516496151
34,2020-02-25,0,70.80216462674902,3469.147713258668,True,35,20.49480943878045,6841.670516496151
35,2020-02-26,0,70.80216462674902,3469.147713258668,True,36,24.101092832684238,6841.670516496151
36,2020-02-27,0,70.80216462674902,3469.147713258668,True,37,28.339341249397776,6841.670516496151
37,2020-02-28,0,70.80216462674902,3469.147713258668,True,38,33.319306557722186,6841.670516496151
38,2020-02-29,0,70.80216462674902,3469.147713258668,True,39,39.16942173797205,6841.670516496151
39,2020-03-01,3,70.80216462674902,3469.147713258668,True,40,46.03983593196594,6841.670516496151
40,2020-03-02,3,70.80216462674902,3469.147713258668,True,41,54.10588708656265,6841.670516496151
41,2020-03-03,5,70.80216462674902,3469.147713258668,True,42,63.572053500596084,6841.670516496151
42,2020-03-04,8,70.80216462674902,3469.147713258668,True,43,74.67642017302299,6841.670516496151
43,2020-03-05,12,70.80216462674902,3469.147713258668,True,44,87.69568526668317,6841.670516496151
44,2020-03-06,18,70.80216462674902,3469.147713258668,True,45,102.95071410512718,6841.670516496151
45,2020-03-07,19,70.80216462674902,3469.147713258668,True,46,120.81262013789326,6841.670516496151
46,2020-03-08,31,70.80216462674902,3469.147713258668,True,47,141.7093107515298,6841.670516496151
47,2020-03-09,31,70.80216462674902,3469.147713258668,True,48,166.13237641854886,6841.670516496151
48,2020-03-10,41,70.80216462674902,3469.147713258668,True,49,194.64411951652735,6841.670516496151
49,2020-03-11,91,70.80216462674902,3469.147713258668,True,50,227.88440882401116,6841.670516496151
50,2020-03-12,94,70.80216462674902,3469.147713258668,True,51,266.5769019459826,6841.670516496151
51,2020-03-13,141,70.80216462674902,3469.147713258668,True,52,311.53399666472524,6841.670516496151
52,2020-03-14,189,70.80216462674902,3469.147713258668,True,53,363.65965232727604,6841.670516496151
53,2020-03-15,253,70.80216462674902,3469.147713258668,True,54,423.9489683816814,6841.670516496151
54,2020-03-16,298,70.80216462674902,3469.147713258668,True,55,493.4831329907534,6841.670516496151
55,2020-03-17,396,70.80216462674902,3469.147713258668,True,56,573.4180884611108,6841.670516496151
56,2020-03-18,464,70.80216462674902,3469.147713258668,True,57,664.9650498636222,6841.670516496151
57,2020-03-19,694,70.80216462674902,3469.147713258668,True,58,769.3609309436868,6841.670516496151
58,2020-03-20,833,70.80216462674902,3469.147713258668,True,59,887.8268756446727,6841.670516496151
59,2020-03-21,995,70.80216462674902,3469.147713258668,True,60,1021.5135838950157,6841.670516496151
60,2020-03-22,1120,70.80216462674902,3469.147713258668,True,61,1171.4330809985565,6841.670516496151
61,2020-03-23,1236,70.80216462674902,3469.147713258668,True,62,1338.378107221381,6841.670516496151
62,2020-03-24,1394,70.80216462674902,3469.147713258668,True,63,1522.832415474957,6841.670516496151
63,2020-03-25,1654,70.80216462674902,3469.147713258668,True,64,1724.877835980247,6841.670516496151
64,2020-03-26,1925,70.80216462674902,3469.147713258668,True,65,1944.1066728227354,6841.670516496151
65,2020-03-27,2279,70.80216462674902,3469.147713258668,True,66,2179.550290599571,6841.670516496151
66,2020-03-28,2631,70.80216462674902,3469.147713258668,True,67,2429.635910108191,6841.670516496151
67,2020-03-29,2817,70.80216462674902,3469.147713258668,True,68,2692.182922337535,6841.670516496151
68,2020-03-30,3001,70.80216462674902,3469.147713258668,True,69,2964.4469436219806,6841.670516496151
69,2020-03-31,3308,70.80216462674902,3469.147713258668,True,70,3243.214376901786,6841.670516496151
70,2020-04-01,3508,70.80216462674902,3469.147713258668,True,71,3524.9431202301344,6841.670516496151
71,2020-04-02,3858,70.80216462674902,3469.147713258668,True,72,3805.937646898742,6841.670516496151
72,2020-04-03,4091,70.80216462674902,3469.147713258668,True,73,4082.540693783306,6841.670516496151
73,2020-04-04,4472,70.80216462674902,3469.147713258668,True,74,4351.32077524357,6841.670516496151
74,2020-04-05,4587,70.80216462674902,3469.147713258668,True,75,4609.235506139274,6841.670516496151
75,2020-04-06,4822,70.80216462674902,3469.147713258668,True,76,4853.75505954983,6841.670516496151
76,2020-04-07,5017,70.80216462674902,3469.147713258668,True,77,5082.93684531415,6841.670516496151
77,2020-04-08,5312,70.80216462674902,3469.147713258668,True,78,5295.449993097722,6841.670516496151
78,2020-04-09,5569,70.80216462674902,3469.147713258668,True,79,5490.554819421079,6841.670516496151
79,2020-04-10,5732,70.80216462674902,3469.147713258668,True,80,5668.0470208977495,6841.670516496151
80,2020-04-11,5831,70.80216462674902,3469.147713258668,True,81,5828.178448265375,6841.670516496151
81,2020-04-12,5991,70.80216462674902,3469.147713258668,True,82,5971.566205612139,6841.670516496151
82,2020-04-13,6059,70.80216462674902,3469.147713258668,True,83,6099.100118418652,6841.670516496151
83,2020-04-14,6111,70.80216462674902,3469.147713258668,True,84,6211.856078689423,6841.670516496151
84,2020-04-15,6216,70.80216462674902,3469.147713258668,True,85,6311.020069604911,6841.670516496151
85,2020-04-16,6433,70.80216462674902,3469.147713258668,True,86,6397.82525640983,6841.670516496151
86,2020-04-17,6499,70.80216462674902,3469.147713258668,True,87,6473.502644527102,6841.670516496151
