,Report_Date,Bulgaria_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,334.2255273780186,207490.2892269508,False,1,4.295198458035471,414980.57845390146
1,2020-01-23,0,334.2255273780186,207490.2892269508,False,2,4.445729514220923,414980.57845390146
2,2020-01-24,0,334.2255273780186,207490.2892269508,False,3,4.60153607695929,414980.57845390146
3,2020-01-25,0,334.2255273780186,207490.2892269508,False,4,4.762803027311326,414980.57845390146
4,2020-01-26,0,334.2255273780186,207490.2892269508,False,5,4.929721725229712,414980.57845390146
5,2020-01-27,0,334.2255273780186,207490.2892269508,False,6,5.10249023658132,414980.57845390146
6,2020-01-28,0,334.2255273780186,207490.2892269508,False,7,5.281313568122893,414980.57845390146
7,2020-01-29,0,334.2255273780186,207490.2892269508,False,8,5.466403910708653,414980.57845390146
8,2020-01-30,0,334.2255273780186,207490.2892269508,False,9,5.65798089101815,414980.57845390146
9,2020-01-31,0,334.2255273780186,207490.2892269508,False,10,5.856271832102665,414980.57845390146
10,2020-02-01,0,334.2255273780186,207490.2892269508,False,11,6.061512023059011,414980.57845390146
11,2020-02-02,0,334.2255273780186,207490.2892269508,False,12,6.273944998150312,414980.57845390146
12,2020-02-03,0,334.2255273780186,207490.2892269508,False,13,6.493822825704554,414980.57845390146
13,2020-02-04,0,334.2255273780186,207490.2892269508,False,14,6.721406407133271,414980.57845390146
14,2020-02-05,0,334.2255273780186,207490.2892269508,False,15,6.956965786424693,414980.57845390146
15,2020-02-06,0,334.2255273780186,207490.2892269508,False,16,7.200780470478083,414980.57845390146
16,2020-02-07,0,334.2255273780186,207490.2892269508,False,17,7.453139760658829,414980.57845390146
17,2020-02-08,0,334.2255273780186,207490.2892269508,False,18,7.714343095967099,414980.57845390146
18,2020-02-09,0,334.2255273780186,207490.2892269508,False,19,7.984700408226637,414980.57845390146
19,2020-02-10,0,334.2255273780186,207490.2892269508,False,20,8.264532489714487,414980.57845390146
20,2020-02-11,0,334.2255273780186,207490.2892269508,False,21,8.55417137366712,414980.57845390146
21,2020-02-12,0,334.2255273780186,207490.2892269508,False,22,8.85396072811371,414980.57845390146
22,2020-02-13,0,334.2255273780186,207490.2892269508,False,23,9.164256263503,414980.57845390146
23,2020-02-14,0,334.2255273780186,207490.2892269508,False,24,9.48542615460658,414980.57845390146
24,2020-02-15,0,334.2255273780186,207490.2892269508,False,25,9.817851477198193,414980.57845390146
25,2020-02-16,0,334.2255273780186,207490.2892269508,False,26,10.161926660026236,414980.57845390146
26,2020-02-17,0,334.2255273780186,207490.2892269508,False,27,10.518059952614589,414980.57845390146
27,2020-02-18,0,334.2255273780186,207490.2892269508,False,28,10.886673909445719,414980.57845390146
28,2020-02-19,0,334.2255273780186,207490.2892269508,False,29,11.268205891099251,414980.57845390146
29,2020-02-20,0,334.2255273780186,207490.2892269508,False,30,11.663108582939318,414980.57845390146
30,2020-02-21,0,334.2255273780186,207490.2892269508,False,31,12.071850531964644,414980.57845390146
31,2020-02-22,0,334.2255273780186,207490.2892269508,False,32,12.494916702456857,414980.57845390146
32,2020-02-23,0,334.2255273780186,207490.2892269508,False,33,12.932809051084552,414980.57845390146
