,Report_Date,Netherlands_aruba_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,71.50842118149204,53.708768651996486,True,1,0.0012618040714530419,102.21118779865415
1,2020-01-23,0,71.50842118149204,53.708768651996486,True,2,0.0014822206786230742,102.21118779865415
2,2020-01-24,0,71.50842118149204,53.708768651996486,True,3,0.0017411398507415985,102.21118779865415
3,2020-01-25,0,71.50842118149204,53.708768651996486,True,4,0.0020452870123079466,102.21118779865415
4,2020-01-26,0,71.50842118149204,53.708768651996486,True,5,0.0024025622593551606,102.21118779865415
5,2020-01-27,0,71.50842118149204,53.708768651996486,True,6,0.0028222454949199173,102.21118779865415
6,2020-01-28,0,71.50842118149204,53.708768651996486,True,7,0.0033152373747731747,102.21118779865415
7,2020-01-29,0,71.50842118149204,53.708768651996486,True,8,0.0038943423098295052,102.21118779865415
8,2020-01-30,0,71.50842118149204,53.708768651996486,True,9,0.004574600859345499,102.21118779865415
9,2020-01-31,0,71.50842118149204,53.708768651996486,True,10,0.005373680125397189,102.21118779865415
10,2020-02-01,0,71.50842118149204,53.708768651996486,True,11,0.006312332256654198,102.21118779865415
11,2020-02-02,0,71.50842118149204,53.708768651996486,True,12,0.007414932926085722,102.21118779865415
12,2020-02-03,0,71.50842118149204,53.708768651996486,True,13,0.008710113707248644,102.21118779865415
13,2020-02-04,0,71.50842118149204,53.708768651996486,True,14,0.010231504688907893,102.21118779865415
14,2020-02-05,0,71.50842118149204,53.708768651996486,True,15,0.01201860649814246,102.21118779865415
15,2020-02-06,0,71.50842118149204,53.708768651996486,True,16,0.014117814217849438,102.21118779865415
16,2020-02-07,0,71.50842118149204,53.708768651996486,True,17,0.016583619567017597,102.21118779865415
17,2020-02-08,0,71.50842118149204,53.708768651996486,True,18,0.01948002225555289,102.21118779865415
18,2020-02-09,0,71.50842118149204,53.708768651996486,True,19,0.022882186738723012,102.21118779865415
19,2020-02-10,0,71.50842118149204,53.708768651996486,True,20,0.026878386804924798,102.21118779865415
20,2020-02-11,0,71.50842118149204,53.708768651996486,True,21,0.031572287678461104,102.21118779865415
21,2020-02-12,0,71.50842118149204,53.708768651996486,True,22,0.037085623770809734,102.21118779865415
22,2020-02-13,0,71.50842118149204,53.708768651996486,True,23,0.043561340056229116,102.21118779865415
23,2020-02-14,0,71.50842118149204,53.708768651996486,True,24,0.051167276490995506,102.21118779865415
24,2020-02-15,0,71.50842118149204,53.708768651996486,True,25,0.060100488175229366,102.21118779865415
25,2020-02-16,0,71.50842118149204,53.708768651996486,True,26,0.0705923093316353,102.21118779865415
26,2020-02-17,0,71.50842118149204,53.708768651996486,True,27,0.08291428692845006,102.21118779865415
27,2020-02-18,0,71.50842118149204,53.708768651996486,True,28,0.09738513020419856,102.21118779865415
28,2020-02-19,0,71.50842118149204,53.708768651996486,True,29,0.1143788457686074,102.21118779865415
29,2020-02-20,0,71.50842118149204,53.708768651996486,True,30,0.13433425466157511,102.21118779865415
30,2020-02-21,0,71.50842118149204,53.708768651996486,True,31,0.15776611802783283,102.21118779865415
31,2020-02-22,0,71.50842118149204,53.708768651996486,True,32,0.18527813212558775,102.21118779865415
32,2020-02-23,0,71.50842118149204,53.708768651996486,True,33,0.21757809133947512,102.21118779865415
33,2020-02-24,0,71.50842118149204,53.708768651996486,True,34,0.25549555963600457,102.21118779865415
34,2020-02-25,0,71.50842118149204,53.708768651996486,True,35,0.3000024361240258,102.21118779865415
35,2020-02-26,0,71.50842118149204,53.708768651996486,True,36,0.35223684827791213,102.21118779865415
36,2020-02-27,0,71.50842118149204,53.708768651996486,True,37,0.413530855538539,102.21118779865415
37,2020-02-28,0,71.50842118149204,53.708768651996486,True,38,0.4854424941269957,102.21118779865415
38,2020-02-29,0,71.50842118149204,53.708768651996486,True,39,0.5697927374371319,102.21118779865415
39,2020-03-01,0,71.50842118149204,53.708768651996486,True,40,0.6687079800352522,102.21118779865415
40,2020-03-02,0,71.50842118149204,53.708768651996486,True,41,0.7846686694570576,102.21118779865415
41,2020-03-03,0,71.50842118149204,53.708768651996486,True,42,0.9205646978758207,102.21118779865415
42,2020-03-04,0,71.50842118149204,53.708768651996486,True,43,1.0797581104086982,102.21118779865415
43,2020-03-05,0,71.50842118149204,53.708768651996486,True,44,1.266153568089158,102.21118779865415
44,2020-03-06,0,71.50842118149204,53.708768651996486,True,45,1.4842767944244875,102.21118779865415
45,2020-03-07,0,71.50842118149204,53.708768651996486,True,46,1.7393608998802343,102.21118779865415
46,2020-03-08,0,71.50842118149204,53.708768651996486,True,47,2.037439973963067,102.21118779865415
47,2020-03-09,0,71.50842118149204,53.708768651996486,True,48,2.385448604738886,102.21118779865415
48,2020-03-10,0,71.50842118149204,53.708768651996486,True,49,2.7913249652424055,102.21118779865415
49,2020-03-11,0,71.50842118149204,53.708768651996486,True,50,3.264113721773948,102.21118779865415
50,2020-03-12,0,71.50842118149204,53.708768651996486,True,51,3.814063194488156,102.21118779865415
51,2020-03-13,2,71.50842118149204,53.708768651996486,True,52,4.452708868544327,102.21118779865415
52,2020-03-14,2,71.50842118149204,53.708768651996486,True,53,5.192932474951963,102.21118779865415
53,2020-03-15,2,71.50842118149204,53.708768651996486,True,54,6.0489824531212255,102.21118779865415
54,2020-03-16,2,71.50842118149204,53.708768651996486,True,55,7.036437793998756,102.21118779865415
55,2020-03-17,3,71.50842118149204,53.708768651996486,True,56,8.172093328105593,102.21118779865415
56,2020-03-18,4,71.50842118149204,53.708768651996486,True,57,9.473740985766652,102.21118779865415
57,2020-03-19,4,71.50842118149204,53.708768651996486,True,58,10.959819243901357,102.21118779865415
58,2020-03-20,5,71.50842118149204,53.708768651996486,True,59,12.648903070344893,102.21118779865415
59,2020-03-21,5,71.50842118149204,53.708768651996486,True,60,14.55901071593175,102.21118779865415
60,2020-03-22,9,71.50842118149204,53.708768651996486,True,61,16.706713435849462,102.21118779865415
61,2020-03-23,9,71.50842118149204,53.708768651996486,True,62,19.106051291300023,102.21118779865415
62,2020-03-24,12,71.50842118149204,53.708768651996486,True,63,21.76728357466032,102.21118779865415
63,2020-03-25,17,71.50842118149204,53.708768651996486,True,64,24.695535650462162,102.21118779865415
64,2020-03-26,28,71.50842118149204,53.708768651996486,True,65,27.88944231145772,102.21118779865415
65,2020-03-27,33,71.50842118149204,53.708768651996486,True,66,31.33992531209803,102.21118779865415
66,2020-03-28,46,71.50842118149204,53.708768651996486,True,67,35.02927077813906,102.21118779865415
67,2020-03-29,50,71.50842118149204,53.708768651996486,True,68,38.9306801556616,102.21118779865415
68,2020-03-30,50,71.50842118149204,53.708768651996486,True,69,43.008446614691394,102.21118779865415
69,2020-03-31,55,71.50842118149204,53.708768651996486,True,70,47.21885237320368,102.21118779865415
70,2020-04-01,55,71.50842118149204,53.708768651996486,True,71,51.51179455577012,102.21118779865415
71,2020-04-02,60,71.50842118149204,53.708768651996486,True,72,55.8330412672907,102.21118779865415
72,2020-04-03,62,71.50842118149204,53.708768651996486,True,73,60.12691712684709,102.21118779865415
73,2020-04-04,64,71.50842118149204,53.708768651996486,True,74,64.3391428472981,102.21118779865415
74,2020-04-05,64,71.50842118149204,53.708768651996486,True,75,68.41952579497271,102.21118779865415
75,2020-04-06,71,71.50842118149204,53.708768651996486,True,76,72.32422521997455,102.21118779865415
76,2020-04-07,74,71.50842118149204,53.708768651996486,True,77,76.01738984923348,102.21118779865415
77,2020-04-08,77,71.50842118149204,53.708768651996486,True,78,79.47206770009795,102.21118779865415
78,2020-04-09,82,71.50842118149204,53.708768651996486,True,79,82.67039404305766,102.21118779865415
79,2020-04-10,86,71.50842118149204,53.708768651996486,True,80,85.6031517364345,102.21118779865415
