,Report_Date,Slovenia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,69.78274823610604,754.0080364522464,True,1,0.5305801326490392,1508.011121450172
1,2020-01-23,0,69.78274823610604,754.0080364522464,True,2,0.5955813632928894,1508.011121450172
2,2020-01-24,0,69.78274823610604,754.0080364522464,True,3,0.6685423458080902,1508.011121450172
3,2020-01-25,0,69.78274823610604,754.0080364522464,True,4,0.7504368766251687,1508.011121450172
4,2020-01-26,0,69.78274823610604,754.0080364522464,True,5,0.8423576477802113,1508.011121450172
5,2020-01-27,0,69.78274823610604,754.0080364522464,True,6,0.9455307014092545,1508.011121450172
6,2020-01-28,0,69.78274823610604,754.0080364522464,True,7,1.061331625376056,1508.011121450172
7,2020-01-29,0,69.78274823610604,754.0080364522464,True,8,1.1913036955557699,1508.011121450172
8,2020-01-30,0,69.78274823610604,754.0080364522464,True,9,1.3371781934537763,1508.011121450172
9,2020-01-31,0,69.78274823610604,754.0080364522464,True,10,1.5008971533113271,1508.011121450172
10,2020-02-01,0,69.78274823610604,754.0080364522464,True,11,1.684638820788198,1508.011121450172
11,2020-02-02,0,69.78274823610604,754.0080364522464,True,12,1.8908461358524533,1508.011121450172
12,2020-02-03,0,69.78274823610604,754.0080364522464,True,13,2.122258585758594,1508.011121450172
13,2020-02-04,0,69.78274823610604,754.0080364522464,True,14,2.3819478100287363,1508.011121450172
14,2020-02-05,0,69.78274823610604,754.0080364522464,True,15,2.6733573781818656,1508.011121450172
15,2020-02-06,0,69.78274823610604,754.0080364522464,True,16,3.000347202519234,1508.011121450172
16,2020-02-07,0,69.78274823610604,754.0080364522464,True,17,3.3672430923974375,1508.011121450172
17,2020-02-08,0,69.78274823610604,754.0080364522464,True,18,3.7788920027873893,1508.011121450172
18,2020-02-09,0,69.78274823610604,754.0080364522464,True,19,4.240723578018541,1508.011121450172
19,2020-02-10,0,69.78274823610604,754.0080364522464,True,20,4.7588186406843445,1508.011121450172
20,2020-02-11,0,69.78274823610604,754.0080364522464,True,21,5.3399853246548385,1508.011121450172
21,2020-02-12,0,69.78274823610604,754.0080364522464,True,22,5.991843598509288,1508.011121450172
22,2020-02-13,0,69.78274823610604,754.0080364522464,True,23,6.722918969445238,1508.011121450172
23,2020-02-14,0,69.78274823610604,754.0080364522464,True,24,7.542746195157897,1508.011121450172
24,2020-02-15,0,69.78274823610604,754.0080364522464,True,25,8.461983858809017,1508.011121450172
25,2020-02-16,0,69.78274823610604,754.0080364522464,True,26,9.492540675489172,1508.011121450172
26,2020-02-17,0,69.78274823610604,754.0080364522464,True,27,10.647714391739333,1508.011121450172
27,2020-02-18,0,69.78274823610604,754.0080364522464,True,28,11.94234410542982,1508.011121450172
28,2020-02-19,0,69.78274823610604,754.0080364522464,True,29,13.392976762453882,1508.011121450172
29,2020-02-20,0,69.78274823610604,754.0080364522464,True,30,15.0180484679502,1508.011121450172
30,2020-02-21,0,69.78274823610604,754.0080364522464,True,31,16.838081069229656,1508.011121450172
31,2020-02-22,0,69.78274823610604,754.0080364522464,True,32,18.875894208389486,1508.011121450172
32,2020-02-23,0,69.78274823610604,754.0080364522464,True,33,21.15683268453978,1508.011121450172
33,2020-02-24,0,69.78274823610604,754.0080364522464,True,34,23.709008484733864,1508.011121450172
34,2020-02-25,0,69.78274823610604,754.0080364522464,True,35,26.56355621123555,1508.011121450172
35,2020-02-26,0,69.78274823610604,754.0080364522464,True,36,29.754899818842883,1508.011121450172
36,2020-02-27,0,69.78274823610604,754.0080364522464,True,37,33.32102754407793,1508.011121450172
37,2020-02-28,0,69.78274823610604,754.0080364522464,True,38,37.30377061965038,1508.011121450172
38,2020-02-29,0,69.78274823610604,754.0080364522464,True,39,41.749079782731194,1508.011121450172
39,2020-03-01,0,69.78274823610604,754.0080364522464,True,40,46.70729166522022,1508.011121450172
40,2020-03-02,0,69.78274823610604,754.0080364522464,True,41,52.23337486413299,1508.011121450172
41,2020-03-03,0,69.78274823610604,754.0080364522464,True,42,58.38714280656186,1508.011121450172
42,2020-03-04,0,69.78274823610604,754.0080364522464,True,43,65.2334174405658,1508.011121450172
43,2020-03-05,2,69.78274823610604,754.0080364522464,True,44,72.84212432343452,1508.011121450172
44,2020-03-06,7,69.78274823610604,754.0080364522464,True,45,81.28829590646443,1508.011121450172
45,2020-03-07,7,69.78274823610604,754.0080364522464,True,46,90.65195585323184,1508.011121450172
46,2020-03-08,16,69.78274823610604,754.0080364522464,True,47,101.01785327613989,1508.011121450172
47,2020-03-09,16,69.78274823610604,754.0080364522464,True,48,112.47501213148797,1508.011121450172
48,2020-03-10,31,69.78274823610604,754.0080364522464,True,49,125.11605809234285,1508.011121450172
49,2020-03-11,57,69.78274823610604,754.0080364522464,True,50,139.03628357122778,1508.011121450172
50,2020-03-12,89,69.78274823610604,754.0080364522464,True,51,154.33241188214626,1508.011121450172
51,2020-03-13,141,69.78274823610604,754.0080364522464,True,52,171.10102463542734,1508.011121450172
52,2020-03-14,181,69.78274823610604,754.0080364522464,True,53,189.43662326539337,1508.011121450172
53,2020-03-15,219,69.78274823610604,754.0080364522464,True,54,209.42930703786874,1508.011121450172
54,2020-03-16,253,69.78274823610604,754.0080364522464,True,55,231.1620668139051,1508.011121450172
55,2020-03-17,275,69.78274823610604,754.0080364522464,True,56,254.707716834675,1508.011121450172
56,2020-03-18,275,69.78274823610604,754.0080364522464,True,57,280.12551593536824,1508.011121450172
57,2020-03-19,286,69.78274823610604,754.0080364522464,True,58,307.4575642576186,1508.011121450172
58,2020-03-20,341,69.78274823610604,754.0080364522464,True,59,336.72510009836094,1508.011121450172
59,2020-03-21,383,69.78274823610604,754.0080364522464,True,60,367.9248612308962,1508.011121450172
60,2020-03-22,414,69.78274823610604,754.0080364522464,True,61,401.0257118617486,1508.011121450172
61,2020-03-23,442,69.78274823610604,754.0080364522464,True,62,435.9657652774274,1508.011121450172
62,2020-03-24,480,69.78274823610604,754.0080364522464,True,63,472.6502474886704,1508.011121450172
63,2020-03-25,528,69.78274823610604,754.0080364522464,True,64,510.9503432068968,1508.011121450172
64,2020-03-26,562,69.78274823610604,754.0080364522464,True,65,550.7032378162785,1508.011121450172
65,2020-03-27,632,69.78274823610604,754.0080364522464,True,66,591.713515412767,1508.011121450172
66,2020-03-28,684,69.78274823610604,754.0080364522464,True,67,633.7559945248892,1508.011121450172
67,2020-03-29,730,69.78274823610604,754.0080364522464,True,68,676.5799847826937,1508.011121450172
68,2020-03-30,756,69.78274823610604,754.0080364522464,True,69,719.9148384242984,1508.011121450172
69,2020-03-31,802,69.78274823610604,754.0080364522464,True,70,763.4765620251842,1508.011121450172
70,2020-04-01,841,69.78274823610604,754.0080364522464,True,71,806.9751594906667,1508.011121450172
71,2020-04-02,897,69.78274823610604,754.0080364522464,True,72,850.1223096494598,1508.011121450172
72,2020-04-03,934,69.78274823610604,754.0080364522464,True,73,892.6389501320056,1508.011121450172
73,2020-04-04,977,69.78274823610604,754.0080364522464,True,74,934.2623481246815,1508.011121450172
74,2020-04-05,997,69.78274823610604,754.0080364522464,True,75,974.7522867830158,1508.011121450172
75,2020-04-06,1021,69.78274823610604,754.0080364522464,True,76,1013.8960767513964,1508.011121450172
76,2020-04-07,1059,69.78274823610604,754.0080364522464,True,77,1051.5122043685346,1508.011121450172
77,2020-04-08,1091,69.78274823610604,754.0080364522464,True,78,1087.4525386185294,1508.011121450172
78,2020-04-09,1124,69.78274823610604,754.0080364522464,True,79,1121.6031247857572,1508.011121450172
79,2020-04-10,1160,69.78274823610604,754.0080364522464,True,80,1153.8836833474438,1508.011121450172
80,2020-04-11,1188,69.78274823610604,754.0080364522464,True,81,1184.2460006635035,1508.011121450172
81,2020-04-12,1205,69.78274823610604,754.0080364522464,True,82,1212.67144026929,1508.011121450172
82,2020-04-13,1212,69.78274823610604,754.0080364522464,True,83,1239.167820519902,1508.011121450172
83,2020-04-14,1220,69.78274823610604,754.0080364522464,True,84,1263.7658993130208,1508.011121450172
84,2020-04-15,1248,69.78274823610604,754.0080364522464,True,85,1286.5156847246676,1508.011121450172
85,2020-04-16,1268,69.78274823610604,754.0080364522464,True,86,1307.4827573762363,1508.011121450172
86,2020-04-17,1304,69.78274823610604,754.0080364522464,True,87,1326.744751709868,1508.011121450172
