,Report_Date,China_inner mongolia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,24.618845526094557,52.54289697641979,True,1,20.443982020536318,103.06696211526652
1,2020-01-23,0,24.618845526094557,52.54289697641979,True,2,21.452730426522024,103.06696211526652
2,2020-01-24,1,24.618845526094557,52.54289697641979,True,3,22.498022574215852,103.06696211526652
3,2020-01-25,7,24.618845526094557,52.54289697641979,True,4,23.579886896141993,103.06696211526652
4,2020-01-26,7,24.618845526094557,52.54289697641979,True,5,24.69821701496182,103.06696211526652
5,2020-01-27,11,24.618845526094557,52.54289697641979,True,6,25.852763005622652,103.06696211526652
6,2020-01-28,15,24.618845526094557,52.54289697641979,True,7,27.043123357151686,103.06696211526652
7,2020-01-29,16,24.618845526094557,52.54289697641979,True,8,28.26873781228004,103.06696211526652
8,2020-01-30,19,24.618845526094557,52.54289697641979,True,9,29.528881265377056,103.06696211526652
9,2020-01-31,20,24.618845526094557,52.54289697641979,True,10,30.822658897320675,103.06696211526652
10,2020-02-01,23,24.618845526094557,52.54289697641979,True,11,32.149002719451985,103.06696211526652
11,2020-02-02,27,24.618845526094557,52.54289697641979,True,12,33.50666968729968,103.06696211526652
12,2020-02-03,34,24.618845526094557,52.54289697641979,True,13,34.89424152809334,103.06696211526652
13,2020-02-04,35,24.618845526094557,52.54289697641979,True,14,36.31012640416983,103.06696211526652
14,2020-02-05,42,24.618845526094557,52.54289697641979,True,15,37.75256250736969,103.06696211526652
15,2020-02-06,46,24.618845526094557,52.54289697641979,True,16,39.21962364779223,103.06696211526652
16,2020-02-07,50,24.618845526094557,52.54289697641979,True,17,40.70922686442676,103.06696211526652
17,2020-02-08,52,24.618845526094557,52.54289697641979,True,18,42.219142046021496,103.06696211526652
18,2020-02-09,54,24.618845526094557,52.54289697641979,True,19,43.74700350911388,103.06696211526652
19,2020-02-10,58,24.618845526094557,52.54289697641979,True,20,45.290323437622995,103.06696211526652
20,2020-02-11,58,24.618845526094557,52.54289697641979,True,21,46.846507046124984,103.06696211526652
21,2020-02-12,60,24.618845526094557,52.54289697641979,True,22,48.41286928830072,103.06696211526652
22,2020-02-13,61,24.618845526094557,52.54289697641979,True,23,49.98665289448068,103.06696211526652
23,2020-02-14,65,24.618845526094557,52.54289697641979,True,24,51.565047489080186,103.06696211526652
24,2020-02-15,68,24.618845526094557,52.54289697641979,True,25,53.14520951126369,103.06696211526652
25,2020-02-16,70,24.618845526094557,52.54289697641979,True,26,54.724282641452845,103.06696211526652
26,2020-02-17,72,24.618845526094557,52.54289697641979,True,27,56.2994184231138,103.06696211526652
27,2020-02-18,73,24.618845526094557,52.54289697641979,True,28,57.8677967641442,103.06696211526652
28,2020-02-19,75,24.618845526094557,52.54289697641979,True,29,59.42664600533597,103.06696211526652
29,2020-02-20,75,24.618845526094557,52.54289697641979,True,30,60.97326225468789,103.06696211526652
30,2020-02-21,75,24.618845526094557,52.54289697641979,True,31,62.50502770533641,103.06696211526652
31,2020-02-22,75,24.618845526094557,52.54289697641979,True,32,64.01942768081449,103.06696211526652
32,2020-02-23,75,24.618845526094557,52.54289697641979,True,33,65.51406618323819,103.06696211526652
33,2020-02-24,75,24.618845526094557,52.54289697641979,True,34,66.98667975665087,103.06696211526652
34,2020-02-25,75,24.618845526094557,52.54289697641979,True,35,68.43514951778562,103.06696211526652
35,2020-02-26,75,24.618845526094557,52.54289697641979,True,36,69.85751124852345,103.06696211526652
36,2020-02-27,75,24.618845526094557,52.54289697641979,True,37,71.251963486914,103.06696211526652
37,2020-02-28,75,24.618845526094557,52.54289697641979,True,38,72.61687359543535,103.06696211526652
38,2020-02-29,75,24.618845526094557,52.54289697641979,True,39,73.95078182496825,103.06696211526652
39,2020-03-01,75,24.618845526094557,52.54289697641979,True,40,75.2524034296777,103.06696211526652
40,2020-03-02,75,24.618845526094557,52.54289697641979,True,41,76.52062892076697,103.06696211526652
41,2020-03-03,75,24.618845526094557,52.54289697641979,True,42,77.75452257523972,103.06696211526652
42,2020-03-04,75,24.618845526094557,52.54289697641979,True,43,78.95331933895349,103.06696211526652
43,2020-03-05,75,24.618845526094557,52.54289697641979,True,44,80.11642028116488,103.06696211526652
44,2020-03-06,75,24.618845526094557,52.54289697641979,True,45,81.24338677045232,103.06696211526652
45,2020-03-07,75,24.618845526094557,52.54289697641979,True,46,82.33393354953729,103.06696211526652
46,2020-03-08,75,24.618845526094557,52.54289697641979,True,47,83.38792088943832,103.06696211526652
47,2020-03-09,75,24.618845526094557,52.54289697641979,True,48,84.4053460020357,103.06696211526652
48,2020-03-10,75,24.618845526094557,52.54289697641979,True,49,85.38633388503393,103.06696211526652
49,2020-03-11,75,24.618845526094557,52.54289697641979,True,50,86.33112776506812,103.06696211526652
50,2020-03-12,75,24.618845526094557,52.54289697641979,True,51,87.240079293924,103.06696211526652
51,2020-03-13,75,24.618845526094557,52.54289697641979,True,52,88.11363864013106,103.06696211526652
52,2020-03-14,75,24.618845526094557,52.54289697641979,True,53,88.95234460412541,103.06696211526652
53,2020-03-15,75,24.618845526094557,52.54289697641979,True,54,89.75681487030045,103.06696211526652
54,2020-03-16,75,24.618845526094557,52.54289697641979,True,55,90.52773649404756,103.06696211526652
55,2020-03-17,75,24.618845526094557,52.54289697641979,True,56,91.26585670675492,103.06696211526652
56,2020-03-18,75,24.618845526094557,52.54289697641979,True,57,91.97197410702668,103.06696211526652
57,2020-03-19,75,24.618845526094557,52.54289697641979,True,58,92.64693029239116,103.06696211526652
58,2020-03-20,75,24.618845526094557,52.54289697641979,True,59,93.29160197269753,103.06696211526652
59,2020-03-21,75,24.618845526094557,52.54289697641979,True,60,93.90689359441272,103.06696211526652
60,2020-03-22,75,24.618845526094557,52.54289697641979,True,61,94.49373049422137,103.06696211526652
61,2020-03-23,75,24.618845526094557,52.54289697641979,True,62,95.05305259075226,103.06696211526652
62,2020-03-24,75,24.618845526094557,52.54289697641979,True,63,95.58580861491578,103.06696211526652
63,2020-03-25,77,24.618845526094557,52.54289697641979,True,64,96.09295087221365,103.06696211526652
64,2020-03-26,89,24.618845526094557,52.54289697641979,True,65,96.57543052442408,103.06696211526652
65,2020-03-27,92,24.618845526094557,52.54289697641979,True,66,97.03419337320386,103.06696211526652
66,2020-03-28,94,24.618845526094557,52.54289697641979,True,67,97.47017612429693,103.06696211526652
67,2020-03-29,95,24.618845526094557,52.54289697641979,True,68,97.88430310810658,103.06696211526652
68,2020-03-30,97,24.618845526094557,52.54289697641979,True,69,98.27748343027491,103.06696211526652
69,2020-03-31,107,24.618845526094557,52.54289697641979,True,70,98.65060852452193,103.06696211526652
70,2020-04-01,111,24.618845526094557,52.54289697641979,True,71,99.00455007923013,103.06696211526652
71,2020-04-02,117,24.618845526094557,52.54289697641979,True,72,99.34015830902618,103.06696211526652
72,2020-04-03,117,24.618845526094557,52.54289697641979,True,73,99.65826054282267,103.06696211526652
73,2020-04-04,117,24.618845526094557,52.54289697641979,True,74,99.95966010035785,103.06696211526652
