,Report_Date,Sudan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,127.91572168721815,4328.06130158094,True,1,0.09471240916852978,7836.486323797087
1,2020-01-23,0,127.91572168721815,4328.06130158094,True,2,0.10363218926682588,7836.486323797087
2,2020-01-24,0,127.91572168721815,4328.06130158094,True,3,0.11339200115662666,7836.486323797087
3,2020-01-25,0,127.91572168721815,4328.06130158094,True,4,0.12407095374467036,7836.486323797087
4,2020-01-26,0,127.91572168721815,4328.06130158094,True,5,0.1357556054885605,7836.486323797087
5,2020-01-27,0,127.91572168721815,4328.06130158094,True,6,0.14854066582384964,7836.486323797087
6,2020-01-28,0,127.91572168721815,4328.06130158094,True,7,0.16252976261871735,7836.486323797087
7,2020-01-29,0,127.91572168721815,4328.06130158094,True,8,0.17783628186834852,7836.486323797087
8,2020-01-30,0,127.91572168721815,4328.06130158094,True,9,0.1945842864249273,7836.486323797087
9,2020-01-31,0,127.91572168721815,4328.06130158094,True,10,0.2129095211977088,7836.486323797087
10,2020-02-01,0,127.91572168721815,4328.06130158094,True,11,0.2329605129560222,7836.486323797087
11,2020-02-02,0,127.91572168721815,4328.06130158094,True,12,0.25489977363187516,7836.486323797087
12,2020-02-03,0,127.91572168721815,4328.06130158094,True,13,0.2789051168541596,7836.486323797087
13,2020-02-04,0,127.91572168721815,4328.06130158094,True,14,0.3051710983599608,7836.486323797087
14,2020-02-05,0,127.91572168721815,4328.06130158094,True,15,0.33391059192740036,7836.486323797087
15,2020-02-06,0,127.91572168721815,4328.06130158094,True,16,0.365356513566739,7836.486323797087
16,2020-02-07,0,127.91572168721815,4328.06130158094,True,17,0.39976370790076116,7836.486323797087
17,2020-02-08,0,127.91572168721815,4328.06130158094,True,18,0.43741101197121435,7836.486323797087
18,2020-02-09,0,127.91572168721815,4328.06130158094,True,19,0.4786035131355643,7836.486323797087
19,2020-02-10,0,127.91572168721815,4328.06130158094,True,20,0.523675019278777,7836.486323797087
20,2020-02-11,0,127.91572168721815,4328.06130158094,True,21,0.5729907612704868,7836.486323797087
21,2020-02-12,0,127.91572168721815,4328.06130158094,True,22,0.6269503494620713,7836.486323797087
22,2020-02-13,0,127.91572168721815,4328.06130158094,True,23,0.6859910080553605,7836.486323797087
23,2020-02-14,0,127.91572168721815,4328.06130158094,True,24,0.7505911134007309,7836.486323797087
24,2020-02-15,0,127.91572168721815,4328.06130158094,True,25,0.8212740647143826,7836.486323797087
25,2020-02-16,0,127.91572168721815,4328.06130158094,True,26,0.8986125183613628,7836.486323797087
26,2020-02-17,0,127.91572168721815,4328.06130158094,True,27,0.9832330197526549,7836.486323797087
27,2020-02-18,0,127.91572168721815,4328.06130158094,True,28,1.0758210700734974,7836.486323797087
28,2020-02-19,0,127.91572168721815,4328.06130158094,True,29,1.177126668519931,7836.486323797087
29,2020-02-20,0,127.91572168721815,4328.06130158094,True,30,1.2879703744973472,7836.486323797087
30,2020-02-21,0,127.91572168721815,4328.06130158094,True,31,1.4092499383566108,7836.486323797087
31,2020-02-22,0,127.91572168721815,4328.06130158094,True,32,1.5419475537405956,7836.486323797087
32,2020-02-23,0,127.91572168721815,4328.06130158094,True,33,1.6871377895195012,7836.486323797087
33,2020-02-24,0,127.91572168721815,4328.06130158094,True,34,1.8459962646425983,7836.486323797087
34,2020-02-25,0,127.91572168721815,4328.06130158094,True,35,2.0198091350653,7836.486323797087
35,2020-02-26,0,127.91572168721815,4328.06130158094,True,36,2.209983468264752,7836.486323797087
36,2020-02-27,0,127.91572168721815,4328.06130158094,True,37,2.4180585877786047,7836.486323797087
37,2020-02-28,0,127.91572168721815,4328.06130158094,True,38,2.6457184777376086,7836.486323797087
38,2020-02-29,0,127.91572168721815,4328.06130158094,True,39,2.8948053455636713,7836.486323797087
39,2020-03-01,0,127.91572168721815,4328.06130158094,True,40,3.167334449924883,7836.486323797087
40,2020-03-02,0,127.91572168721815,4328.06130158094,True,41,3.46551031073505,7836.486323797087
