,Report_Date,Bahrain_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,144.25469037306462,17631.943593133852,False,1,17.384655228794934,35263.88718626771
1,2020-01-23,0,144.25469037306462,17631.943593133852,False,2,18.333222266814143,35263.88718626771
2,2020-01-24,0,144.25469037306462,17631.943593133852,False,3,19.333518019843986,35263.88718626771
3,2020-01-25,0,144.25469037306462,17631.943593133852,False,4,20.38836025524332,35263.88718626771
4,2020-01-26,0,144.25469037306462,17631.943593133852,False,5,21.50071987312568,35263.88718626771
5,2020-01-27,0,144.25469037306462,17631.943593133852,False,6,22.67372918843224,35263.88718626771
6,2020-01-28,0,144.25469037306462,17631.943593133852,False,7,23.910690656447333,35263.88718626771
7,2020-01-29,0,144.25469037306462,17631.943593133852,False,8,25.215086064994566,35263.88718626771
8,2020-01-30,0,144.25469037306462,17631.943593133852,False,9,26.59058621771243,35263.88718626771
9,2020-01-31,0,144.25469037306462,17631.943593133852,False,10,28.04106113402,35263.88718626771
10,2020-02-01,0,144.25469037306462,17631.943593133852,False,11,29.570590792648485,35263.88718626771
11,2020-02-02,0,144.25469037306462,17631.943593133852,False,12,31.183476446933227,35263.88718626771
12,2020-02-03,0,144.25469037306462,17631.943593133852,False,13,32.884252541435686,35263.88718626771
13,2020-02-04,0,144.25469037306462,17631.943593133852,False,14,34.67769926089657,35263.88718626771
14,2020-02-05,0,144.25469037306462,17631.943593133852,False,15,36.56885574401086,35263.88718626771
15,2020-02-06,0,144.25469037306462,17631.943593133852,False,16,38.563033996063986,35263.88718626771
16,2020-02-07,0,144.25469037306462,17631.943593133852,False,17,40.66583353607674,35263.88718626771
17,2020-02-08,0,144.25469037306462,17631.943593133852,False,18,42.88315681577494,35263.88718626771
18,2020-02-09,0,144.25469037306462,17631.943593133852,False,19,45.221225449428914,35263.88718626771
19,2020-02-10,0,144.25469037306462,17631.943593133852,False,20,47.686597295397455,35263.88718626771
20,2020-02-11,0,144.25469037306462,17631.943593133852,False,21,50.286184432060274,35263.88718626771
21,2020-02-12,0,144.25469037306462,17631.943593133852,False,22,53.02727207273248,35263.88718626771
22,2020-02-13,0,144.25469037306462,17631.943593133852,False,23,55.917538466120995,35263.88718626771
23,2020-02-14,0,144.25469037306462,17631.943593133852,False,24,58.9650758309066,35263.88718626771
24,2020-02-15,0,144.25469037306462,17631.943593133852,False,25,62.17841237511189,35263.88718626771
25,2020-02-16,0,144.25469037306462,17631.943593133852,False,26,65.5665354530436,35263.88718626771
26,2020-02-17,0,144.25469037306462,17631.943593133852,False,27,69.13891591477145,35263.88718626771
27,2020-02-18,0,144.25469037306462,17631.943593133852,False,28,72.90553370532163,35263.88718626771
28,2020-02-19,0,144.25469037306462,17631.943593133852,False,29,76.8769047730158,35263.88718626771
29,2020-02-20,0,144.25469037306462,17631.943593133852,False,30,81.06410934866517,35263.88718626771
30,2020-02-21,0,144.25469037306462,17631.943593133852,False,31,85.47882165963148,35263.88718626771
31,2020-02-22,0,144.25469037306462,17631.943593133852,False,32,90.13334114507616,35263.88718626771
32,2020-02-23,0,144.25469037306462,17631.943593133852,False,33,95.04062524102976,35263.88718626771
33,2020-02-24,1,144.25469037306462,17631.943593133852,False,34,100.21432380620652,35263.88718626771
34,2020-02-25,23,144.25469037306462,17631.943593133852,False,35,105.66881526175493,35263.88718626771
35,2020-02-26,33,144.25469037306462,17631.943593133852,False,36,111.41924452034958,35263.88718626771
36,2020-02-27,33,144.25469037306462,17631.943593133852,False,37,117.48156278217702,35263.88718626771
37,2020-02-28,36,144.25469037306462,17631.943593133852,False,38,123.87256927742261,35263.88718626771
38,2020-02-29,41,144.25469037306462,17631.943593133852,False,39,130.6099550368014,35263.88718626771
39,2020-03-01,47,144.25469037306462,17631.943593133852,False,40,137.71234877346245,35263.88718626771
40,2020-03-02,49,144.25469037306462,17631.943593133852,False,41,145.1993649611992,35263.88718626771
41,2020-03-03,49,144.25469037306462,17631.943593133852,False,42,153.09165419528202,35263.88718626771
42,2020-03-04,52,144.25469037306462,17631.943593133852,False,43,161.4109559233443,35263.88718626771
43,2020-03-05,55,144.25469037306462,17631.943593133852,False,44,170.18015363455868,35263.88718626771
44,2020-03-06,60,144.25469037306462,17631.943593133852,False,45,179.42333259577816,35263.88718626771
45,2020-03-07,85,144.25469037306462,17631.943593133852,False,46,189.16584022332336,35263.88718626771
46,2020-03-08,85,144.25469037306462,17631.943593133852,False,47,199.43434917861364,35263.88718626771
47,2020-03-09,95,144.25469037306462,17631.943593133852,False,48,210.25692327478131,35263.88718626771
48,2020-03-10,110,144.25469037306462,17631.943593133852,False,49,221.6630862797013,35263.88718626771
49,2020-03-11,195,144.25469037306462,17631.943593133852,False,50,233.6838936984104,35263.88718626771
50,2020-03-12,195,144.25469037306462,17631.943593133852,False,51,246.3520076145907,35263.88718626771
51,2020-03-13,195,144.25469037306462,17631.943593133852,False,52,259.70177466652973,35263.88718626771
52,2020-03-14,210,144.25469037306462,17631.943593133852,False,53,273.7693072276254,35263.88718626771
53,2020-03-15,214,144.25469037306462,17631.943593133852,False,54,288.5925678549416,35263.88718626771
54,2020-03-16,214,144.25469037306462,17631.943593133852,False,55,304.2114570613918,35263.88718626771
55,2020-03-17,228,144.25469037306462,17631.943593133852,False,56,320.66790445767174,35263.88718626771
56,2020-03-18,256,144.25469037306462,17631.943593133852,False,57,338.00596329889515,35263.88718626771
57,2020-03-19,278,144.25469037306462,17631.943593133852,False,58,356.2719084578299,35263.88718626771
58,2020-03-20,285,144.25469037306462,17631.943593133852,False,59,375.5143378314607,35263.88718626771
59,2020-03-21,305,144.25469037306462,17631.943593133852,False,60,395.7842771701088,35263.88718626771
60,2020-03-22,334,144.25469037306462,17631.943593133852,False,61,417.1352882982593,35263.88718626771
61,2020-03-23,377,144.25469037306462,17631.943593133852,False,62,439.62358067334,35263.88718626771
62,2020-03-24,392,144.25469037306462,17631.943593133852,False,63,463.3081262026697,35263.88718626771
63,2020-03-25,419,144.25469037306462,17631.943593133852,False,64,488.2507772093466,35263.88718626771
64,2020-03-26,458,144.25469037306462,17631.943593133852,False,65,514.516387404682,35263.88718626771
65,2020-03-27,466,144.25469037306462,17631.943593133852,False,66,542.1729356875443,35263.88718626771
66,2020-03-28,476,144.25469037306462,17631.943593133852,False,67,571.2916525493233,35263.88718626771
67,2020-03-29,499,144.25469037306462,17631.943593133852,False,68,601.9471488167825,35263.88718626771
68,2020-03-30,515,144.25469037306462,17631.943593133852,False,69,634.2175464134663,35263.88718626771
69,2020-03-31,567,144.25469037306462,17631.943593133852,False,70,668.1846107631599,35263.88718626771
70,2020-04-01,569,144.25469037306462,17631.943593133852,False,71,703.9338843957738,35263.88718626771
71,2020-04-02,643,144.25469037306462,17631.943593133852,False,72,741.5548212465429,35263.88718626771
72,2020-04-03,672,144.25469037306462,17631.943593133852,False,73,781.1409210631743,35263.88718626771
73,2020-04-04,688,144.25469037306462,17631.943593133852,False,74,822.789863252174,35263.88718626771
74,2020-04-05,700,144.25469037306462,17631.943593133852,False,75,866.6036394046387,35263.88718626771
75,2020-04-06,756,144.25469037306462,17631.943593133852,False,76,912.68868364298,35263.88718626771
76,2020-04-07,811,144.25469037306462,17631.943593133852,False,77,961.1559998230434,35263.88718626771
77,2020-04-08,823,144.25469037306462,17631.943593133852,False,78,1012.1212845106062,35263.88718626771
78,2020-04-09,887,144.25469037306462,17631.943593133852,False,79,1065.705044527167,35263.88718626771
79,2020-04-10,925,144.25469037306462,17631.943593133852,False,80,1122.0327077270724,35263.88718626771
80,2020-04-11,1040,144.25469037306462,17631.943593133852,False,81,1181.2347255264792,35263.88718626771
81,2020-04-12,1136,144.25469037306462,17631.943593133852,False,82,1243.446665554442,35263.88718626771
82,2020-04-13,1361,144.25469037306462,17631.943593133852,False,83,1308.8092926379536,35263.88718626771
83,2020-04-14,1528,144.25469037306462,17631.943593133852,False,84,1377.4686361664426,35263.88718626771
84,2020-04-15,1671,144.25469037306462,17631.943593133852,False,85,1449.576041707795,35263.88718626771
85,2020-04-16,1700,144.25469037306462,17631.943593133852,False,86,1525.2882045683643,35263.88718626771
86,2020-04-17,1740,144.25469037306462,17631.943593133852,False,87,1604.7671828049222,35263.88718626771
87,2020-04-18,1773,144.25469037306462,17631.943593133852,False,88,1688.1803870086578,35263.88718626771
88,2020-04-19,1881,144.25469037306462,17631.943593133852,False,89,1775.7005439921643,35263.88718626771
89,2020-04-20,1907,144.25469037306462,17631.943593133852,False,90,1867.5056313222044,35263.88718626771
90,2020-04-21,1973,144.25469037306462,17631.943593133852,False,91,1963.7787794568385,35263.88718626771
91,2020-04-22,2027,144.25469037306462,17631.943593133852,False,92,2064.7081380685954,35263.88718626771
