,Report_Date,Nepal_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,106.8703733981001,68.53917226000327,False,1,0.011883554200964402,10.370622839923257
1,2020-01-23,0,106.8703733981001,68.53917226000327,False,2,0.012981067404151937,10.370622839923257
2,2020-01-24,0,106.8703733981001,68.53917226000327,False,3,0.014179931650812081,10.370622839923257
3,2020-01-25,1,106.8703733981001,68.53917226000327,False,4,0.015489504286337477,10.370622839923257
4,2020-01-26,1,106.8703733981001,68.53917226000327,False,5,0.01692000619166975,10.370622839923257
5,2020-01-27,1,106.8703733981001,68.53917226000327,False,6,0.01848260139836358,10.370622839923257
6,2020-01-28,1,106.8703733981001,68.53917226000327,False,7,0.020189484029268193,10.370622839923257
7,2020-01-29,1,106.8703733981001,68.53917226000327,False,8,0.022053973236050687,10.370622839923257
8,2020-01-30,1,106.8703733981001,68.53917226000327,False,9,0.024090616865740364,10.370622839923257
9,2020-01-31,1,106.8703733981001,68.53917226000327,False,10,0.02631530465485716,10.370622839923257
10,2020-02-01,1,106.8703733981001,68.53917226000327,False,11,0.028745391821963364,10.370622839923257
11,2020-02-02,1,106.8703733981001,68.53917226000327,False,12,0.03139983400814342,10.370622839923257
12,2020-02-03,1,106.8703733981001,68.53917226000327,False,13,0.034299334600507665,10.370622839923257
13,2020-02-04,1,106.8703733981001,68.53917226000327,False,14,0.03746650556690648,10.370622839923257
14,2020-02-05,1,106.8703733981001,68.53917226000327,False,15,0.040926043031244995,10.370622839923257
15,2020-02-06,1,106.8703733981001,68.53917226000327,False,16,0.044704918928763646,10.370622839923257
16,2020-02-07,1,106.8703733981001,68.53917226000327,False,17,0.04883259020009362,10.370622839923257
17,2020-02-08,1,106.8703733981001,68.53917226000327,False,18,0.0533412271125521,10.370622839923257
18,2020-02-09,1,106.8703733981001,68.53917226000327,False,19,0.05826596243779701,10.370622839923257
19,2020-02-10,1,106.8703733981001,68.53917226000327,False,20,0.06364516336744117,10.370622839923257
20,2020-02-11,1,106.8703733981001,68.53917226000327,False,21,0.06952072821340213,10.370622839923257
21,2020-02-12,1,106.8703733981001,68.53917226000327,False,22,0.07593841011854456,10.370622839923257
22,2020-02-13,1,106.8703733981001,68.53917226000327,False,23,0.08294817019649352,10.370622839923257
23,2020-02-14,1,106.8703733981001,68.53917226000327,False,24,0.09060456272833224,10.370622839923257
24,2020-02-15,1,106.8703733981001,68.53917226000327,False,25,0.09896715526922686,10.370622839923257
25,2020-02-16,1,106.8703733981001,68.53917226000327,False,26,0.10810098676083907,10.370622839923257
26,2020-02-17,1,106.8703733981001,68.53917226000327,False,27,0.11807706700667643,10.370622839923257
27,2020-02-18,1,106.8703733981001,68.53917226000327,False,28,0.128972921148244,10.370622839923257
28,2020-02-19,1,106.8703733981001,68.53917226000327,False,29,0.14087318308090352,10.370622839923257
29,2020-02-20,1,106.8703733981001,68.53917226000327,False,30,0.1538702420705319,10.370622839923257
30,2020-02-21,1,106.8703733981001,68.53917226000327,False,31,0.1680649471760981,10.370622839923257
31,2020-02-22,1,106.8703733981001,68.53917226000327,False,32,0.18356737444966734,10.370622839923257
32,2020-02-23,1,106.8703733981001,68.53917226000327,False,33,0.2004976622743949,10.370622839923257
33,2020-02-24,1,106.8703733981001,68.53917226000327,False,34,0.21898692061278155,10.370622839923257
34,2020-02-25,1,106.8703733981001,68.53917226000327,False,35,0.23917822037144143,10.370622839923257
35,2020-02-26,1,106.8703733981001,68.53917226000327,False,36,0.2612276695439994,10.370622839923257
36,2020-02-27,1,106.8703733981001,68.53917226000327,False,37,0.2853055832689936,10.370622839923257
37,2020-02-28,1,106.8703733981001,68.53917226000327,False,38,0.31159775543254814,10.370622839923257
38,2020-02-29,1,106.8703733981001,68.53917226000327,False,39,0.34030683995287964,10.370622839923257
39,2020-03-01,1,106.8703733981001,68.53917226000327,False,40,0.37165385040105603,10.370622839923257
40,2020-03-02,1,106.8703733981001,68.53917226000327,False,41,0.4058797871340337,10.370622839923257
41,2020-03-03,1,106.8703733981001,68.53917226000327,False,42,0.4432474016343676,10.370622839923257
42,2020-03-04,1,106.8703733981001,68.53917226000327,False,43,0.4840431082565553,10.370622839923257
43,2020-03-05,1,106.8703733981001,68.53917226000327,False,44,0.5285790540607034,10.370622839923257
44,2020-03-06,1,106.8703733981001,68.53917226000327,False,45,0.5771953578550804,10.370622839923257
45,2020-03-07,1,106.8703733981001,68.53917226000327,False,46,0.6302625299516799,10.370622839923257
46,2020-03-08,1,106.8703733981001,68.53917226000327,False,47,0.6881840844404609,10.370622839923257
47,2020-03-09,1,106.8703733981001,68.53917226000327,False,48,0.7513993559809916,10.370622839923257
48,2020-03-10,1,106.8703733981001,68.53917226000327,False,49,0.820386533161474,10.370622839923257
49,2020-03-11,1,106.8703733981001,68.53917226000327,False,50,0.895665920344793,10.370622839923257
50,2020-03-12,1,106.8703733981001,68.53917226000327,False,51,0.9778034395615783,10.370622839923257
