,Report_Date,Cameroon_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,77.37290022559388,605.8962462465853,True,1,0.01406194279833627,1140.449150087742
1,2020-01-23,0,77.37290022559388,605.8962462465853,True,2,0.016317988679817177,1140.449150087742
2,2020-01-24,0,77.37290022559388,605.8962462465853,True,3,0.01893598052829173,1140.449150087742
3,2020-01-25,0,77.37290022559388,605.8962462465853,True,4,0.02197398474268571,1140.449150087742
4,2020-01-26,0,77.37290022559388,605.8962462465853,True,5,0.02549938253973135,1140.449150087742
5,2020-01-27,0,77.37290022559388,605.8962462465853,True,6,0.029590363970409726,1140.449150087742
6,2020-01-28,0,77.37290022559388,605.8962462465853,True,7,0.034337661482109774,1140.449150087742
7,2020-01-29,0,77.37290022559388,605.8962462465853,True,8,0.03984656140618358,1140.449150087742
8,2020-01-30,0,77.37290022559388,605.8962462465853,True,9,0.04623923788990499,1140.449150087742
9,2020-01-31,0,77.37290022559388,605.8962462465853,True,10,0.053657460909828196,1140.449150087742
10,2020-02-01,0,77.37290022559388,605.8962462465853,True,11,0.06226573825501887,1140.449150087742
11,2020-02-02,0,77.37290022559388,605.8962462465853,True,12,0.07225496093250076,1140.449150087742
12,2020-02-03,0,77.37290022559388,605.8962462465853,True,13,0.08384663253011512,1140.449150087742
13,2020-02-04,0,77.37290022559388,605.8962462465853,True,14,0.09729777591219085,1140.449150087742
14,2020-02-05,0,77.37290022559388,605.8962462465853,True,15,0.11290662549572714,1140.449150087742
15,2020-02-06,0,77.37290022559388,605.8962462465853,True,16,0.13101923057554757,1140.449150087742
16,2020-02-07,0,77.37290022559388,605.8962462465853,True,17,0.1520371150998605,1140.449150087742
17,2020-02-08,0,77.37290022559388,605.8962462465853,True,18,0.17642616236047257,1140.449150087742
18,2020-02-09,0,77.37290022559388,605.8962462465853,True,19,0.20472691973312962,1140.449150087742
19,2020-02-10,0,77.37290022559388,605.8962462465853,True,20,0.23756654943032124,1140.449150087742
20,2020-02-11,0,77.37290022559388,605.8962462465853,True,21,0.27567268683544355,1140.449150087742
21,2020-02-12,0,77.37290022559388,605.8962462465853,True,22,0.31988950908298797,1140.449150087742
22,2020-02-13,0,77.37290022559388,605.8962462465853,True,23,0.37119636393795524,1140.449150087742
23,2020-02-14,0,77.37290022559388,605.8962462465853,True,24,0.43072936361497666,1140.449150087742
24,2020-02-15,0,77.37290022559388,605.8962462465853,True,25,0.49980641097934436,1140.449150087742
25,2020-02-16,0,77.37290022559388,605.8962462465853,True,26,0.5799561977191731,1140.449150087742
26,2020-02-17,0,77.37290022559388,605.8962462465853,True,27,0.6729517968184717,1140.449150087742
27,2020-02-18,0,77.37290022559388,605.8962462465853,True,28,0.7808495663575713,1140.449150087742
28,2020-02-19,0,77.37290022559388,605.8962462465853,True,29,0.906034189786321,1140.449150087742
29,2020-02-20,0,77.37290022559388,605.8962462465853,True,30,1.0512708009043634,1140.449150087742
30,2020-02-21,0,77.37290022559388,605.8962462465853,True,31,1.2197652814318223,1140.449150087742
31,2020-02-22,0,77.37290022559388,605.8962462465853,True,32,1.4152339768339743,1140.449150087742
32,2020-02-23,0,77.37290022559388,605.8962462465853,True,33,1.6419842534321727,1140.449150087742
33,2020-02-24,0,77.37290022559388,605.8962462465853,True,34,1.9050075179951858,1140.449150087742
34,2020-02-25,0,77.37290022559388,605.8962462465853,True,35,2.2100865407120796,1140.449150087742
35,2020-02-26,0,77.37290022559388,605.8962462465853,True,36,2.563919163716985,1140.449150087742
36,2020-02-27,0,77.37290022559388,605.8962462465853,True,37,2.974260739057604,1140.449150087742
37,2020-02-28,0,77.37290022559388,605.8962462465853,True,38,3.4500879193978267,1140.449150087742
38,2020-02-29,0,77.37290022559388,605.8962462465853,True,39,4.0017867166508685,1140.449150087742
