,Report_Date,Greece_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,68.22607866290299,1180.2471396996132,True,1,0.10405463779105543,2303.320272267028
1,2020-01-23,0,68.22607866290299,1180.2471396996132,True,2,0.12079543287917043,2303.320272267028
2,2020-01-24,0,68.22607866290299,1180.2471396996132,True,3,0.1402294050941463,2303.320272267028
3,2020-01-25,0,68.22607866290299,1180.2471396996132,True,4,0.16278976395589073,2303.320272267028
4,2020-01-26,0,68.22607866290299,1180.2471396996132,True,5,0.18897938332453318,2303.320272267028
5,2020-01-27,0,68.22607866290299,1180.2471396996132,True,6,0.21938199738708353,2303.320272267028
6,2020-01-28,0,68.22607866290299,1180.2471396996132,True,7,0.2546751936509739,2303.320272267028
7,2020-01-29,0,68.22607866290299,1180.2471396996132,True,8,0.2956454905595208,2303.320272267028
8,2020-01-30,0,68.22607866290299,1180.2471396996132,True,9,0.34320583309493846,2303.320272267028
9,2020-01-31,0,68.22607866290299,1180.2471396996132,True,10,0.39841589266399985,2303.320272267028
10,2020-02-01,0,68.22607866290299,1180.2471396996132,True,11,0.46250561876168705,2303.320272267028
11,2020-02-02,0,68.22607866290299,1180.2471396996132,True,12,0.536902560624946,2303.320272267028
12,2020-02-03,0,68.22607866290299,1180.2471396996132,True,13,0.6232635587387627,2303.320272267028
13,2020-02-04,0,68.22607866290299,1180.2471396996132,True,14,0.7235115002454593,2303.320272267028
14,2020-02-05,0,68.22607866290299,1180.2471396996132,True,15,0.8398779408457956,2303.320272267028
15,2020-02-06,0,68.22607866290299,1180.2471396996132,True,16,0.974952520697534,2303.320272267028
16,2020-02-07,0,68.22607866290299,1180.2471396996132,True,17,1.1317402453748575,2303.320272267028
17,2020-02-08,0,68.22607866290299,1180.2471396996132,True,18,1.3137278676469086,2303.320272267028
18,2020-02-09,0,68.22607866290299,1180.2471396996132,True,19,1.5249607943915868,2303.320272267028
19,2020-02-10,0,68.22607866290299,1180.2471396996132,True,20,1.770132158314844,2303.320272267028
20,2020-02-11,0,68.22607866290299,1180.2471396996132,True,21,2.0546859393919847,2303.320272267028
21,2020-02-12,0,68.22607866290299,1180.2471396996132,True,22,2.3849362992663097,2303.320272267028
22,2020-02-13,0,68.22607866290299,1180.2471396996132,True,23,2.7682056063712066,2303.320272267028
23,2020-02-14,0,68.22607866290299,1180.2471396996132,True,24,3.2129839831923723,2303.320272267028
24,2020-02-15,0,68.22607866290299,1180.2471396996132,True,25,3.7291136022516085,2303.320272267028
