,Report_Date,Egypt_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
39,2020-03-01,2,148.45192989316305,49880.91572685157,True,40,117.43634197378707,98535.7917661659
40,2020-03-02,2,148.45192989316305,49880.91572685157,True,41,124.96081582576328,98535.7917661659
41,2020-03-03,2,148.45192989316305,49880.91572685157,True,42,132.96676035712073,98535.7917661659
42,2020-03-04,2,148.45192989316305,49880.91572685157,True,43,141.48489850659365,98535.7917661659
43,2020-03-05,3,148.45192989316305,49880.91572685157,True,44,150.5479024168769,98535.7917661659
44,2020-03-06,15,148.45192989316305,49880.91572685157,True,45,160.1905156137491,98535.7917661659
45,2020-03-07,15,148.45192989316305,49880.91572685157,True,46,170.4496826464434,98535.7917661659
46,2020-03-08,49,148.45192989316305,49880.91572685157,True,47,181.36468661860837,98535.7917661659
47,2020-03-09,55,148.45192989316305,49880.91572685157,True,48,192.97729506034065,98535.7917661659
48,2020-03-10,59,148.45192989316305,49880.91572685157,True,49,205.33191461343,98535.7917661659
49,2020-03-11,60,148.45192989316305,49880.91572685157,True,50,218.47575502408975,98535.7917661659
50,2020-03-12,67,148.45192989316305,49880.91572685157,True,51,232.45900295994647,98535.7917661659
51,2020-03-13,80,148.45192989316305,49880.91572685157,True,52,247.33500619082878,98535.7917661659
52,2020-03-14,109,148.45192989316305,49880.91572685157,True,53,263.1604686958047,98535.7917661659
53,2020-03-15,110,148.45192989316305,49880.91572685157,True,54,279.9956572818001,98535.7917661659
54,2020-03-16,150,148.45192989316305,49880.91572685157,True,55,297.90462032181495,98535.7917661659
55,2020-03-17,196,148.45192989316305,49880.91572685157,True,56,316.955419243009,98535.7917661659
56,2020-03-18,196,148.45192989316305,49880.91572685157,True,57,337.2203734165035,98535.7917661659
57,2020-03-19,256,148.45192989316305,49880.91572685157,True,58,358.77631912133074,98535.7917661659
58,2020-03-20,285,148.45192989316305,49880.91572685157,True,59,381.7048832742214,98535.7917661659
59,2020-03-21,294,148.45192989316305,49880.91572685157,True,60,406.0927726344206,98535.7917661659
60,2020-03-22,327,148.45192989316305,49880.91572685157,True,61,432.0320792080263,98535.7917661659
61,2020-03-23,366,148.45192989316305,49880.91572685157,True,62,459.62060258888687,98535.7917661659
