,Report_Date,Equatorial Guinea_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,64.49509630546372,9.434505738827255,True,1,0.0002255637108691956,18.672258098650065
1,2020-01-23,0,64.49509630546372,9.434505738827255,True,2,0.0002696456943635969,18.672258098650065
2,2020-01-24,0,64.49509630546372,9.434505738827255,True,3,0.0003223424859073125,18.672258098650065
3,2020-01-25,0,64.49509630546372,9.434505738827255,True,4,0.0003853375881087388,18.672258098650065
4,2020-01-26,0,64.49509630546372,9.434505738827255,True,5,0.00046064346594252626,18.672258098650065
5,2020-01-27,0,64.49509630546372,9.434505738827255,True,6,0.0005506658155361999,18.672258098650065
6,2020-01-28,0,64.49509630546372,9.434505738827255,True,7,0.0006582803840470087,18.672258098650065
7,2020-01-29,0,64.49509630546372,9.434505738827255,True,8,0.0007869247895991029,18.672258098650065
8,2020-01-30,0,64.49509630546372,9.434505738827255,True,9,0.0009407082671760399,18.672258098650065
9,2020-01-31,0,64.49509630546372,9.434505738827255,True,10,0.001124542835772951,18.672258098650065
10,2020-02-01,0,64.49509630546372,9.434505738827255,True,11,0.001344300061771226,18.672258098650065
11,2020-02-02,0,64.49509630546372,9.434505738827255,True,12,0.001606998404510286,18.672258098650065
12,2020-02-03,0,64.49509630546372,9.434505738827255,True,13,0.0019210270974348291,18.672258098650065
13,2020-02-04,0,64.49509630546372,9.434505738827255,True,14,0.0022964136716537124,18.672258098650065
14,2020-02-05,0,64.49509630546372,9.434505738827255,True,15,0.00274514360333103,18.672258098650065
15,2020-02-06,0,64.49509630546372,9.434505738827255,True,16,0.003281542203416911,18.672258098650065
16,2020-02-07,0,64.49509630546372,9.434505738827255,True,17,0.003922730816491033,18.672258098650065
17,2020-02-08,0,64.49509630546372,9.434505738827255,True,18,0.004689171712003128,18.672258098650065
18,2020-02-09,0,64.49509630546372,9.434505738827255,True,19,0.005605318802573018,18.672258098650065
19,2020-02-10,0,64.49509630546372,9.434505738827255,True,20,0.006700394587620184,18.672258098650065
20,2020-02-11,0,64.49509630546372,9.434505738827255,True,21,0.008009317585664599,18.672258098650065
21,2020-02-12,0,64.49509630546372,9.434505738827255,True,22,0.009573809087230548,18.672258098650065
22,2020-02-13,0,64.49509630546372,9.434505738827255,True,23,0.011443713447818622,18.672258098650065
23,2020-02-14,0,64.49509630546372,9.434505738827255,True,24,0.013678572475531062,18.672258098650065
24,2020-02-15,0,64.49509630546372,9.434505738827255,True,25,0.01634950189116663,18.672258098650065
25,2020-02-16,0,64.49509630546372,9.434505738827255,True,26,0.019541426499134314,18.672258098650065
26,2020-02-17,0,64.49509630546372,9.434505738827255,True,27,0.02335574075711524,18.672258098650065
27,2020-02-18,0,64.49509630546372,9.434505738827255,True,28,0.02791347301485196,18.672258098650065
28,2020-02-19,0,64.49509630546372,9.434505738827255,True,29,0.033359044926736,18.672258098650065
29,2020-02-20,0,64.49509630546372,9.434505738827255,True,30,0.03986473249681151,18.672258098650065
30,2020-02-21,0,64.49509630546372,9.434505738827255,True,31,0.04763595186527672,18.672258098650065
31,2020-02-22,0,64.49509630546372,9.434505738827255,True,32,0.056917511119607016,18.672258098650065
32,2020-02-23,0,64.49509630546372,9.434505738827255,True,33,0.0680009887027936,18.672258098650065
33,2020-02-24,0,64.49509630546372,9.434505738827255,True,34,0.08123341863018485,18.672258098650065
34,2020-02-25,0,64.49509630546372,9.434505738827255,True,35,0.09702748142014433,18.672258098650065
35,2020-02-26,0,64.49509630546372,9.434505738827255,True,36,0.11587341533075925,18.672258098650065
36,2020-02-27,0,64.49509630546372,9.434505738827255,True,37,0.13835287202515756,18.672258098650065
37,2020-02-28,0,64.49509630546372,9.434505738827255,True,38,0.16515493949586646,18.672258098650065
38,2020-02-29,0,64.49509630546372,9.434505738827255,True,39,0.19709453623137477,18.672258098650065
39,2020-03-01,0,64.49509630546372,9.434505738827255,True,40,0.23513333472082099,18.672258098650065
40,2020-03-02,0,64.49509630546372,9.434505738827255,True,41,0.2804032864213376,18.672258098650065
41,2020-03-03,0,64.49509630546372,9.434505738827255,True,42,0.3342326767804721,18.672258098650065
42,2020-03-04,0,64.49509630546372,9.434505738827255,True,43,0.39817441510354173,18.672258098650065
43,2020-03-05,0,64.49509630546372,9.434505738827255,True,44,0.4740359315867555,18.672258098650065
44,2020-03-06,0,64.49509630546372,9.434505738827255,True,45,0.5639095790074824,18.672258098650065
45,2020-03-07,0,64.49509630546372,9.434505738827255,True,46,0.670201782423737,18.672258098650065
46,2020-03-08,0,64.49509630546372,9.434505738827255,True,47,0.7956583115163095,18.672258098650065
47,2020-03-09,0,64.49509630546372,9.434505738827255,True,48,0.9433819428752319,18.672258098650065
48,2020-03-10,0,64.49509630546372,9.434505738827255,True,49,1.11683743709456,18.672258098650065
49,2020-03-11,0,64.49509630546372,9.434505738827255,True,50,1.3198372342062648,18.672258098650065
50,2020-03-12,0,64.49509630546372,9.434505738827255,True,51,1.5564997147092774,18.672258098650065
51,2020-03-13,0,64.49509630546372,9.434505738827255,True,52,1.8311705567383543,18.672258098650065
52,2020-03-14,0,64.49509630546372,9.434505738827255,True,53,2.1482970898661313,18.672258098650065
53,2020-03-15,1,64.49509630546372,9.434505738827255,True,54,2.512246244493621,18.672258098650065
54,2020-03-16,1,64.49509630546372,9.434505738827255,True,55,2.927059528604818,18.672258098650065
55,2020-03-17,1,64.49509630546372,9.434505738827255,True,56,3.3961442715258534,18.672258098650065
