,Report_Date,China_jiangxi_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,2,14.094304704662768,468.23221026177674,True,1,19.217436012419167,936.4644203498551
1,2020-01-23,7,14.094304704662768,468.23221026177674,True,2,25.63618221403345,936.4644203498551
2,2020-01-24,18,14.094304704662768,468.23221026177674,True,3,34.11908328044673,936.4644203498551
3,2020-01-25,18,14.094304704662768,468.23221026177674,True,4,45.269429805053456,936.4644203498551
4,2020-01-26,36,14.094304704662768,468.23221026177674,True,5,59.82220032361563,936.4644203498551
5,2020-01-27,72,14.094304704662768,468.23221026177674,True,6,78.64043337456256,936.4644203498551
6,2020-01-28,109,14.094304704662768,468.23221026177674,True,7,102.68491334146229,936.4644203498551
7,2020-01-29,109,14.094304704662768,468.23221026177674,True,8,132.94171833240028,936.4644203498551
8,2020-01-30,162,14.094304704662768,468.23221026177674,True,9,170.29300007739897,936.4644203498551
9,2020-01-31,240,14.094304704662768,468.23221026177674,True,10,215.32627578355996,936.4644203498551
10,2020-02-01,286,14.094304704662768,468.23221026177674,True,11,268.10122561385697,936.4644203498551
11,2020-02-02,333,14.094304704662768,468.23221026177674,True,12,327.9290110062042,936.4644203498551
12,2020-02-03,391,14.094304704662768,468.23221026177674,True,13,393.2522357537258,936.4644203498551
13,2020-02-04,476,14.094304704662768,468.23221026177674,True,14,461.71492935406826,936.4644203498551
14,2020-02-05,548,14.094304704662768,468.23221026177674,True,15,530.4574808992986,936.4644203498551
15,2020-02-06,600,14.094304704662768,468.23221026177674,True,16,596.5737191127189,936.4644203498551
16,2020-02-07,661,14.094304704662768,468.23221026177674,True,17,657.5836993143193,936.4644203498551
17,2020-02-08,698,14.094304704662768,468.23221026177674,True,18,711.7671952308369,936.4644203498551
18,2020-02-09,740,14.094304704662768,468.23221026177674,True,19,758.2760459513291,936.4644203498551
19,2020-02-10,771,14.094304704662768,468.23221026177674,True,20,797.0439383127808,936.4644203498551
20,2020-02-11,804,14.094304704662768,468.23221026177674,True,21,828.5772925167447,936.4644203498551
