,Report_Date,Samoa_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,369.92276198820645,4.064118978958528,False,1,0.00010718327168252188,0.0001595613284184365
1,2020-01-23,0,369.92276198820645,4.064118978958528,False,2,0.00011049793547147038,0.0001595613284184365
2,2020-01-24,0,369.92276198820645,4.064118978958528,False,3,0.00011391510445436776,0.0001595613284184365
3,2020-01-25,0,369.92276198820645,4.064118978958528,False,4,0.00011743794848987093,0.0001595613284184365
4,2020-01-26,0,369.92276198820645,4.064118978958528,False,5,0.00012106973545530897,0.0001595613284184365
5,2020-01-27,0,369.92276198820645,4.064118978958528,False,6,0.00012481383427727003,0.0001595613284184365
6,2020-01-28,0,369.92276198820645,4.064118978958528,False,7,0.00012867371805586685,0.0001595613284184365
7,2020-01-29,0,369.92276198820645,4.064118978958528,False,8,0.00013265296728557534,0.0001595613284184365
8,2020-01-30,0,369.92276198820645,4.064118978958528,False,9,0.00013675527317562992,0.0001595613284184365
9,2020-01-31,0,369.92276198820645,4.064118978958528,False,10,0.0001409844410730511,0.0001595613284184365
10,2020-02-01,0,369.92276198820645,4.064118978958528,False,11,0.0001453443939914764,0.0001595613284184365
11,2020-02-02,0,369.92276198820645,4.064118978958528,False,12,0.00014983917624906252,0.0001595613284184365
12,2020-02-03,0,369.92276198820645,4.064118978958528,False,13,0.00015447295721882865,0.0001595613284184365
13,2020-02-04,0,369.92276198820645,4.064118978958528,False,14,0.00015925003519491393,0.0001595613284184365
14,2020-02-05,0,369.92276198820645,4.064118978958528,False,15,0.0001641748413783296,0.0001595613284184365
15,2020-02-06,0,369.92276198820645,4.064118978958528,False,16,0.00016925194398589695,0.0001595613284184365
16,2020-02-07,0,369.92276198820645,4.064118978958528,False,17,0.00017448605248617557,0.0001595613284184365
17,2020-02-08,0,369.92276198820645,4.064118978958528,False,18,0.0001798820219663044,0.0001595613284184365
18,2020-02-09,0,369.92276198820645,4.064118978958528,False,19,0.00018544485763379842,0.0001595613284184365
19,2020-02-10,0,369.92276198820645,4.064118978958528,False,20,0.00019117971945746917,0.0001595613284184365
20,2020-02-11,0,369.92276198820645,4.064118978958528,False,21,0.00019709192695176522,0.0001595613284184365
21,2020-02-12,0,369.92276198820645,4.064118978958528,False,22,0.00020318696410896142,0.0001595613284184365
22,2020-02-13,0,369.92276198820645,4.064118978958528,False,23,0.00020947048448376288,0.0001595613284184365
23,2020-02-14,0,369.92276198820645,4.064118978958528,False,24,0.0002159483164350286,0.0001595613284184365
24,2020-02-15,0,369.92276198820645,4.064118978958528,False,25,0.00022262646852946804,0.0001595613284184365
