,Report_Date,Mauritius_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,71.32867219362782,170.25911634483188,True,1,0.00400159660051843,340.5182326745048
1,2020-01-23,0,71.32867219362782,170.25911634483188,True,2,0.004702517818672634,340.5182326745048
2,2020-01-24,0,71.32867219362782,170.25911634483188,True,3,0.005526210677734668,340.5182326745048
3,2020-01-25,0,71.32867219362782,170.25911634483188,True,4,0.006494178797974264,340.5182326745048
4,2020-01-26,0,71.32867219362782,170.25911634483188,True,5,0.007631691898835611,340.5182326745048
5,2020-01-27,0,71.32867219362782,170.25911634483188,True,6,0.00896844527549103,340.5182326745048
6,2020-01-28,0,71.32867219362782,170.25911634483188,True,7,0.010539334713460805,340.5182326745048
7,2020-01-29,0,71.32867219362782,170.25911634483188,True,8,0.012385367032156792,340.5182326745048
8,2020-01-30,0,71.32867219362782,170.25911634483188,True,9,0.014554729973620928,340.5182326745048
9,2020-01-31,0,71.32867219362782,170.25911634483188,True,10,0.01710404929137175,340.5182326745048
10,2020-02-01,0,71.32867219362782,170.25911634483188,True,11,0.020099865751922286,340.5182326745048
11,2020-02-02,0,71.32867219362782,170.25911634483188,True,12,0.023620370461879012,340.5182326745048
12,2020-02-03,0,71.32867219362782,170.25911634483188,True,13,0.027757443621068075,340.5182326745048
13,2020-02-04,0,71.32867219362782,170.25911634483188,True,14,0.03261904964548216,340.5182326745048
14,2020-02-05,0,71.32867219362782,170.25911634483188,True,15,0.03833205079952036,340.5182326745048
15,2020-02-06,0,71.32867219362782,170.25911634483188,True,16,0.045045512253694873,340.5182326745048
16,2020-02-07,0,71.32867219362782,170.25911634483188,True,17,0.05293458410734037,340.5182326745048
17,2020-02-08,0,71.32867219362782,170.25911634483188,True,18,0.06220506069376267,340.5182326745048
18,2020-02-09,0,71.32867219362782,170.25911634483188,True,19,0.07309873477359641,340.5182326745048
19,2020-02-10,0,71.32867219362782,170.25911634483188,True,20,0.08589968443098812,340.5182326745048
20,2020-02-11,0,71.32867219362782,170.25911634483188,True,21,0.10094165408726004,340.5182326745048
21,2020-02-12,0,71.32867219362782,170.25911634483188,True,22,0.1186167185755949,340.5182326745048
22,2020-02-13,0,71.32867219362782,170.25911634483188,True,23,0.13938545128854346,340.5182326745048
23,2020-02-14,0,71.32867219362782,170.25911634483188,True,24,0.16378885470595655,340.5182326745048
24,2020-02-15,0,71.32867219362782,170.25911634483188,True,25,0.19246235490268923,340.5182326745048
25,2020-02-16,0,71.32867219362782,170.25911634483188,True,26,0.22615221177073352,340.5182326745048
26,2020-02-17,0,71.32867219362782,170.25911634483188,True,27,0.2657347545893913,340.5182326745048
27,2020-02-18,0,71.32867219362782,170.25911634483188,True,28,0.3122389192166865,340.5182326745048
28,2020-02-19,0,71.32867219362782,170.25911634483188,True,29,0.3668726395607843,340.5182326745048
29,2020-02-20,0,71.32867219362782,170.25911634483188,True,30,0.4310537331079481,340.5182326745048
30,2020-02-21,0,71.32867219362782,170.25911634483188,True,31,0.5064460190259056,340.5182326745048
31,2020-02-22,0,71.32867219362782,170.25911634483188,True,32,0.5950015184140975,340.5182326745048
32,2020-02-23,0,71.32867219362782,170.25911634483188,True,33,0.6990097099475533,340.5182326745048
33,2020-02-24,0,71.32867219362782,170.25911634483188,True,34,0.8211549501579615,340.5182326745048
34,2020-02-25,0,71.32867219362782,170.25911634483188,True,35,0.964583314658027,340.5182326745048
35,2020-02-26,0,71.32867219362782,170.25911634483188,True,36,1.1329802720555158,340.5182326745048
36,2020-02-27,0,71.32867219362782,170.25911634483188,True,37,1.3306607613426045,340.5182326745048
37,2020-02-28,0,71.32867219362782,170.25911634483188,True,38,1.5626733984167946,340.5182326745048
38,2020-02-29,0,71.32867219362782,170.25911634483188,True,39,1.8349206761293044,340.5182326745048
39,2020-03-01,0,71.32867219362782,170.25911634483188,True,40,2.1542971271106386,340.5182326745048
40,2020-03-02,0,71.32867219362782,170.25911634483188,True,41,2.528847463964629,340.5182326745048
41,2020-03-03,0,71.32867219362782,170.25911634483188,True,42,2.9679466611014163,340.5182326745048
42,2020-03-04,0,71.32867219362782,170.25911634483188,True,43,3.4825037465278075,340.5182326745048
43,2020-03-05,0,71.32867219362782,170.25911634483188,True,44,4.085190662586175,340.5182326745048
44,2020-03-06,0,71.32867219362782,170.25911634483188,True,45,4.790696841891142,340.5182326745048
