,Report_Date,China_henan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,5,13.70316020826809,636.4182792837842,True,1,34.51579385933686,1272.8365579836543
1,2020-01-23,5,13.70316020826809,636.4182792837842,True,2,45.35202506974024,1272.8365579836543
2,2020-01-24,9,13.70316020826809,636.4182792837842,True,3,59.42702670388566,1272.8365579836543
3,2020-01-25,32,13.70316020826809,636.4182792837842,True,4,77.59407582759239,1272.8365579836543
4,2020-01-26,83,13.70316020826809,636.4182792837842,True,5,100.85325358358051,1272.8365579836543
5,2020-01-27,128,13.70316020826809,636.4182792837842,True,6,130.32427308516398,1272.8365579836543
6,2020-01-28,168,13.70316020826809,636.4182792837842,True,7,167.178763535011,1272.8365579836543
7,2020-01-29,206,13.70316020826809,636.4182792837842,True,8,212.51676230315604,1272.8365579836543
8,2020-01-30,278,13.70316020826809,636.4182792837842,True,9,267.17903274314574,1272.8365579836543
9,2020-01-31,352,13.70316020826809,636.4182792837842,True,10,331.50542070713806,1272.8365579836543
10,2020-02-01,422,13.70316020826809,636.4182792837842,True,11,405.080799493388,1272.8365579836543
11,2020-02-02,493,13.70316020826809,636.4182792837842,True,12,486.54548265887576,1272.8365579836543
12,2020-02-03,566,13.70316020826809,636.4182792837842,True,13,573.5644666352559,1272.8365579836543
13,2020-02-04,675,13.70316020826809,636.4182792837842,True,14,663.0233427885652,1272.8365579836543
14,2020-02-05,764,13.70316020826809,636.4182792837842,True,15,751.4412629305897,1272.8365579836543
15,2020-02-06,851,13.70316020826809,636.4182792837842,True,16,835.4955078203534,1272.8365579836543
16,2020-02-07,914,13.70316020826809,636.4182792837842,True,17,912.4971881278021,1272.8365579836543
17,2020-02-08,981,13.70316020826809,636.4182792837842,True,18,980.6821175013471,1272.8365579836543
18,2020-02-09,1033,13.70316020826809,636.4182792837842,True,19,1039.2673559531163,1272.8365579836543
19,2020-02-10,1073,13.70316020826809,636.4182792837842,True,20,1088.3150550170562,1272.8365579836543
20,2020-02-11,1105,13.70316020826809,636.4182792837842,True,21,1128.4936290995847,1272.8365579836543
21,2020-02-12,1135,13.70316020826809,636.4182792837842,True,22,1160.8239716797932,1272.8365579836543
22,2020-02-13,1169,13.70316020826809,636.4182792837842,True,23,1186.4670966829885,1272.8365579836543
23,2020-02-14,1184,13.70316020826809,636.4182792837842,True,24,1206.5748197321495,1272.8365579836543
24,2020-02-15,1212,13.70316020826809,636.4182792837842,True,25,1222.2010385033182,1272.8365579836543
25,2020-02-16,1231,13.70316020826809,636.4182792837842,True,26,1234.2600124604828,1272.8365579836543
26,2020-02-17,1246,13.70316020826809,636.4182792837842,True,27,1243.5160081785011,1272.8365579836543
27,2020-02-18,1257,13.70316020826809,636.4182792837842,True,28,1250.591162174524,1272.8365579836543
28,2020-02-19,1262,13.70316020826809,636.4182792837842,True,29,1255.9821959839833,1272.8365579836543
29,2020-02-20,1265,13.70316020826809,636.4182792837842,True,30,1260.0800728037063,1272.8365579836543
30,2020-02-21,1267,13.70316020826809,636.4182792837842,True,31,1263.1892673638836,1272.8365579836543
31,2020-02-22,1270,13.70316020826809,636.4182792837842,True,32,1265.5450293731192,1272.8365579836543
32,2020-02-23,1271,13.70316020826809,636.4182792837842,True,33,1267.3280488586213,1272.8365579836543
33,2020-02-24,1271,13.70316020826809,636.4182792837842,True,34,1268.6764944761933,1272.8365579836543
34,2020-02-25,1271,13.70316020826809,636.4182792837842,True,35,1269.6956678822316,1272.8365579836543
35,2020-02-26,1271,13.70316020826809,636.4182792837842,True,36,1270.4656207881774,1272.8365579836543
36,2020-02-27,1272,13.70316020826809,636.4182792837842,True,37,1271.0470946839523,1272.8365579836543
37,2020-02-28,1272,13.70316020826809,636.4182792837842,True,38,1271.4861133464601,1272.8365579836543
38,2020-02-29,1272,13.70316020826809,636.4182792837842,True,39,1271.8175115854028,1272.8365579836543
39,2020-03-01,1272,13.70316020826809,636.4182792837842,True,40,1272.0676341271892,1272.8365579836543
40,2020-03-02,1272,13.70316020826809,636.4182792837842,True,41,1272.2563927197364,1272.8365579836543
41,2020-03-03,1272,13.70316020826809,636.4182792837842,True,42,1272.3988300563935,1272.8365579836543
42,2020-03-04,1272,13.70316020826809,636.4182792837842,True,43,1272.506306478871,1272.8365579836543
43,2020-03-05,1272,13.70316020826809,636.4182792837842,True,44,1272.5873991517024,1272.8365579836543
44,2020-03-06,1272,13.70316020826809,636.4182792837842,True,45,1272.6485826388073,1272.8365579836543
45,2020-03-07,1272,13.70316020826809,636.4182792837842,True,46,1272.694743607413,1272.8365579836543
46,2020-03-08,1272,13.70316020826809,636.4182792837842,True,47,1272.7295698487371,1272.8365579836543
47,2020-03-09,1272,13.70316020826809,636.4182792837842,True,48,1272.7558441702681,1272.8365579836543
48,2020-03-10,1272,13.70316020826809,636.4182792837842,True,49,1272.775666344779,1272.8365579836543
49,2020-03-11,1273,13.70316020826809,636.4182792837842,True,50,1272.79062068364,1272.8365579836543
50,2020-03-12,1273,13.70316020826809,636.4182792837842,True,51,1272.8019025311498,1272.8365579836543
51,2020-03-13,1273,13.70316020826809,636.4182792837842,True,52,1272.8104137358296,1272.8365579836543
52,2020-03-14,1273,13.70316020826809,636.4182792837842,True,53,1272.8168346990963,1272.8365579836543
53,2020-03-15,1273,13.70316020826809,636.4182792837842,True,54,1272.821678743158,1272.8365579836543
54,2020-03-16,1273,13.70316020826809,636.4182792837842,True,55,1272.8253331343903,1272.8365579836543
55,2020-03-17,1273,13.70316020826809,636.4182792837842,True,56,1272.8280900361058,1272.8365579836543
56,2020-03-18,1273,13.70316020826809,636.4182792837842,True,57,1272.8301698620417,1272.8365579836543
57,2020-03-19,1273,13.70316020826809,636.4182792837842,True,58,1272.8317388958096,1272.8365579836543
58,2020-03-20,1273,13.70316020826809,636.4182792837842,True,59,1272.83292258392,1272.8365579836543
59,2020-03-21,1273,13.70316020826809,636.4182792837842,True,60,1272.833815564573,1272.8365579836543
60,2020-03-22,1274,13.70316020826809,636.4182792837842,True,61,1272.8344892336922,1272.8365579836543
61,2020-03-23,1274,13.70316020826809,636.4182792837842,True,62,1272.834997452928,1272.8365579836543
62,2020-03-24,1274,13.70316020826809,636.4182792837842,True,63,1272.835380855886,1272.8365579836543
63,2020-03-25,1274,13.70316020826809,636.4182792837842,True,64,1272.8356700968122,1272.8365579836543
64,2020-03-26,1275,13.70316020826809,636.4182792837842,True,65,1272.835888301448,1272.8365579836543
65,2020-03-27,1275,13.70316020826809,636.4182792837842,True,66,1272.8360529159754,1272.8365579836543
66,2020-03-28,1275,13.70316020826809,636.4182792837842,True,67,1272.8361771018824,1272.8365579836543
67,2020-03-29,1276,13.70316020826809,636.4182792837842,True,68,1272.8362707882593,1272.8365579836543
68,2020-03-30,1276,13.70316020826809,636.4182792837842,True,69,1272.8363414656578,1272.8365579836543
69,2020-03-31,1276,13.70316020826809,636.4182792837842,True,70,1272.8363947849841,1272.8365579836543
70,2020-04-01,1276,13.70316020826809,636.4182792837842,True,71,1272.836435009307,1272.8365579836543
71,2020-04-02,1276,13.70316020826809,636.4182792837842,True,72,1272.8364653547037,1272.8365579836543
72,2020-04-03,1276,13.70316020826809,636.4182792837842,True,73,1272.8364882473975,1272.8365579836543
73,2020-04-04,1276,13.70316020826809,636.4182792837842,True,74,1272.8365055177403,1272.8365579836543
74,2020-04-05,1276,13.70316020826809,636.4182792837842,True,75,1272.8365185465589,1272.8365579836543
75,2020-04-06,1276,13.70316020826809,636.4182792837842,True,76,1272.8365283755534,1272.8365579836543
76,2020-04-07,1276,13.70316020826809,636.4182792837842,True,77,1272.8365357905873,1272.8365579836543
77,2020-04-08,1276,13.70316020826809,636.4182792837842,True,78,1272.8365413845197,1272.8365579836543
78,2020-04-09,1276,13.70316020826809,636.4182792837842,True,79,1272.8365456046058,1272.8365579836543
79,2020-04-10,1276,13.70316020826809,636.4182792837842,True,80,1272.8365487882556,1272.8365579836543
