,Report_Date,Liechtenstein_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,62.67182244429862,42.192854887212405,True,1,0.0010140149527178165,83.8321680327082
1,2020-01-23,0,62.67182244429862,42.192854887212405,True,2,0.00121849563297694,83.8321680327082
2,2020-01-24,0,62.67182244429862,42.192854887212405,True,3,0.0014642100474879527,83.8321680327082
3,2020-01-25,0,62.67182244429862,42.192854887212405,True,4,0.0017594727024634554,83.8321680327082
4,2020-01-26,0,62.67182244429862,42.192854887212405,True,5,0.002114274527552429,83.8321680327082
5,2020-01-27,0,62.67182244429862,42.192854887212405,True,6,0.002540620824346643,83.8321680327082
6,2020-01-28,0,62.67182244429862,42.192854887212405,True,7,0.003052937313787309,83.8321680327082
7,2020-01-29,0,62.67182244429862,42.192854887212405,True,8,0.0036685579925167626,83.8321680327082
8,2020-01-30,0,62.67182244429862,42.192854887212405,True,9,0.004408311262920334,83.8321680327082
9,2020-01-31,0,62.67182244429862,42.192854887212405,True,10,0.005297224107358336,83.8321680327082
10,2020-02-01,0,62.67182244429862,42.192854887212405,True,11,0.00636536804304719,83.8321680327082
11,2020-02-02,0,62.67182244429862,42.192854887212405,True,12,0.0076488753504977205,83.8321680327082
12,2020-02-03,0,62.67182244429862,42.192854887212405,True,13,0.009191159770653542,83.8321680327082
13,2020-02-04,0,62.67182244429862,42.192854887212405,True,14,0.011044382698684345,83.8321680327082
14,2020-02-05,0,62.67182244429862,42.192854887212405,True,15,0.013271214085206711,83.8321680327082
15,2020-02-06,0,62.67182244429862,42.192854887212405,True,16,0.015946947048418758,83.8321680327082
16,2020-02-07,0,62.67182244429862,42.192854887212405,True,17,0.01916203691008379,83.8321680327082
17,2020-02-08,0,62.67182244429862,42.192854887212405,True,18,0.023025149355329972,83.8321680327082
18,2020-02-09,0,62.67182244429862,42.192854887212405,True,19,0.02766681910312996,83.8321680327082
19,2020-02-10,0,62.67182244429862,42.192854887212405,True,20,0.03324384035221126,83.8321680327082
20,2020-02-11,0,62.67182244429862,42.192854887212405,True,21,0.03994453390271619,83.8321680327082
21,2020-02-12,0,62.67182244429862,42.192854887212405,True,22,0.04799506389439996,83.8321680327082
22,2020-02-13,0,62.67182244429862,42.192854887212405,True,23,0.05766701027679495,83.8321680327082
23,2020-02-14,0,62.67182244429862,42.192854887212405,True,24,0.06928644224235606,83.8321680327082
24,2020-02-15,0,62.67182244429862,42.192854887212405,True,25,0.08324478377994228,83.8321680327082
25,2020-02-16,0,62.67182244429862,42.192854887212405,True,26,0.10001181614570925,83.8321680327082
26,2020-02-17,0,62.67182244429862,42.192854887212405,True,27,0.12015122428262477,83.8321680327082
27,2020-02-18,0,62.67182244429862,42.192854887212405,True,28,0.14433916581702,83.8321680327082
28,2020-02-19,0,62.67182244429862,42.192854887212405,True,29,0.17338642273247873,83.8321680327082
29,2020-02-20,0,62.67182244429862,42.192854887212405,True,30,0.20826478719946348,83.8321680327082
30,2020-02-21,0,62.67182244429862,42.192854887212405,True,31,0.2501384335391289,83.8321680327082
31,2020-02-22,0,62.67182244429862,42.192854887212405,True,32,0.3004011358267266,83.8321680327082
32,2020-02-23,0,62.67182244429862,42.192854887212405,True,33,0.3607203010708213,83.8321680327082
33,2020-02-24,0,62.67182244429862,42.192854887212405,True,34,0.43308889406692946,83.8321680327082
34,2020-02-25,0,62.67182244429862,42.192854887212405,True,35,0.5198864202678227,83.8321680327082
35,2020-02-26,0,62.67182244429862,42.192854887212405,True,36,0.623950189248788,83.8321680327082
36,2020-02-27,0,62.67182244429862,42.192854887212405,True,37,0.7486580764191776,83.8321680327082
37,2020-02-28,0,62.67182244429862,42.192854887212405,True,38,0.8980238948968162,83.8321680327082
38,2020-02-29,0,62.67182244429862,42.192854887212405,True,39,1.076806226497467,83.8321680327082
39,2020-03-01,0,62.67182244429862,42.192854887212405,True,40,1.2906310623225807,83.8321680327082
40,2020-03-02,0,62.67182244429862,42.192854887212405,True,41,1.5461277638427535,83.8321680327082
41,2020-03-03,0,62.67182244429862,42.192854887212405,True,42,1.8510765367769468,83.8321680327082
42,2020-03-04,1,62.67182244429862,42.192854887212405,True,43,2.2145636397916295,83.8321680327082
43,2020-03-05,1,62.67182244429862,42.192854887212405,True,44,2.6471377240749545,83.8321680327082
44,2020-03-06,1,62.67182244429862,42.192854887212405,True,45,3.1609567978799555,83.8321680327082
45,2020-03-07,1,62.67182244429862,42.192854887212405,True,46,3.769910131014938,83.8321680327082
46,2020-03-08,1,62.67182244429862,42.192854887212405,True,47,4.489692843775847,83.8321680327082
47,2020-03-09,1,62.67182244429862,42.192854887212405,True,48,5.3378030503154825,83.8321680327082
48,2020-03-10,1,62.67182244429862,42.192854887212405,True,49,6.333422711250227,83.8321680327082
49,2020-03-11,1,62.67182244429862,42.192854887212405,True,50,7.4971348705510765,83.8321680327082
50,2020-03-12,1,62.67182244429862,42.192854887212405,True,51,8.85042367126051,83.8321680327082
51,2020-03-13,1,62.67182244429862,42.192854887212405,True,52,10.414902550883456,83.8321680327082
52,2020-03-14,4,62.67182244429862,42.192854887212405,True,53,12.211224560836268,83.8321680327082
53,2020-03-15,4,62.67182244429862,42.192854887212405,True,54,14.257651836033592,83.8321680327082
54,2020-03-16,4,62.67182244429862,42.192854887212405,True,55,16.568303433955183,83.8321680327082
55,2020-03-17,7,62.67182244429862,42.192854887212405,True,56,19.151164035924243,83.8321680327082
56,2020-03-18,28,62.67182244429862,42.192854887212405,True,57,22.00601667245254,83.8321680327082
