,Report_Date,Australia_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,67.35740751210982,3488.5305844929285,True,1,0.08277482352590597,6925.268106651597
1,2020-01-23,0,67.35740751210982,3488.5305844929285,True,2,0.0982037763457862,6925.268106651597
2,2020-01-24,0,67.35740751210982,3488.5305844929285,True,3,0.11650858682065292,6925.268106651597
3,2020-01-25,0,67.35740751210982,3488.5305844929285,True,4,0.13822527676462282,6925.268106651597
4,2020-01-26,4,67.35740751210982,3488.5305844929285,True,5,0.16398976738933563,6925.268106651597
5,2020-01-27,5,67.35740751210982,3488.5305844929285,True,6,0.19455649449278156,6925.268106651597
6,2020-01-28,5,67.35740751210982,3488.5305844929285,True,7,0.2308204910656189,6925.268106651597
7,2020-01-29,6,67.35740751210982,3488.5305844929285,True,8,0.2738435826446533,6925.268106651597
8,2020-01-30,9,67.35740751210982,3488.5305844929285,True,9,0.32488546062696083,6925.268106651597
9,2020-01-31,9,67.35740751210982,3488.5305844929285,True,10,0.38544054082316864,6925.268106651597
10,2020-02-01,12,67.35740751210982,3488.5305844929285,True,11,0.45728168284201404,6925.268106651597
11,2020-02-02,12,67.35740751210982,3488.5305844929285,True,12,0.5425120452586514,6925.268106651597
12,2020-02-03,12,67.35740751210982,3488.5305844929285,True,13,0.6436265875803472,6925.268106651597
13,2020-02-04,13,67.35740751210982,3488.5305844929285,True,14,0.7635850094390799,6925.268106651597
14,2020-02-05,13,67.35740751210982,3488.5305844929285,True,15,0.9058982480292521,6925.268106651597
15,2020-02-06,14,67.35740751210982,3488.5305844929285,True,16,1.0747310457386672,6925.268106651597
16,2020-02-07,15,67.35740751210982,3488.5305844929285,True,17,1.2750235619192296,6925.268106651597
17,2020-02-08,15,67.35740751210982,3488.5305844929285,True,18,1.5126355483258813,6925.268106651597
18,2020-02-09,15,67.35740751210982,3488.5305844929285,True,19,1.7945172514696095,6925.268106651597
19,2020-02-10,15,67.35740751210982,3488.5305844929285,True,20,2.128911963830066,6925.268106651597
20,2020-02-11,15,67.35740751210982,3488.5305844929285,True,21,2.5255960389580143,6925.268106651597
