,Report_Date,Bhutan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,64.33913715955529,2.7652201484849073,True,1,0.0003234977961125902,5.488406696810226
1,2020-01-23,0,64.33913715955529,2.7652201484849073,True,2,0.0003773076884089333,5.488406696810226
2,2020-01-24,0,64.33913715955529,2.7652201484849073,True,3,0.0004400674843199087,5.488406696810226
3,2020-01-25,0,64.33913715955529,2.7652201484849073,True,4,0.0005132655154696176,5.488406696810226
4,2020-01-26,0,64.33913715955529,2.7652201484849073,True,5,0.0005986375243438154,5.488406696810226
5,2020-01-27,0,64.33913715955529,2.7652201484849073,True,6,0.0006982077589897048,5.488406696810226
6,2020-01-28,0,64.33913715955529,2.7652201484849073,True,7,0.0008143368814973676,5.488406696810226
7,2020-01-29,0,64.33913715955529,2.7652201484849073,True,8,0.0009497778157059369,5.488406696810226
8,2020-01-30,0,64.33913715955529,2.7652201484849073,True,9,0.0011077408439069867,5.488406696810226
9,2020-01-31,0,64.33913715955529,2.7652201484849073,True,10,0.0012919694762721153,5.488406696810226
10,2020-02-01,0,64.33913715955529,2.7652201484849073,True,11,0.0015068288648668721,5.488406696810226
11,2020-02-02,0,64.33913715955529,2.7652201484849073,True,12,0.0017574088216090185,5.488406696810226
12,2020-02-03,0,64.33913715955529,2.7652201484849073,True,13,0.002049643832246287,5.488406696810226
13,2020-02-04,0,64.33913715955529,2.7652201484849073,True,14,0.0023904528429575457,5.488406696810226
14,2020-02-05,0,64.33913715955529,2.7652201484849073,True,15,0.002787902039875619,5.488406696810226
15,2020-02-06,0,64.33913715955529,2.7652201484849073,True,16,0.0032513943528167375,5.488406696810226
16,2020-02-07,0,64.33913715955529,2.7652201484849073,True,17,0.0037918900016502407,5.488406696810226
17,2020-02-08,0,64.33913715955529,2.7652201484849073,True,18,0.004422163076573076,5.488406696810226
18,2020-02-09,0,64.33913715955529,2.7652201484849073,True,19,0.005157099912058224,5.488406696810226
19,2020-02-10,0,64.33913715955529,2.7652201484849073,True,20,0.006014045888575737,5.488406696810226
20,2020-02-11,0,64.33913715955529,2.7652201484849073,True,21,0.007013208286156468,5.488406696810226
21,2020-02-12,0,64.33913715955529,2.7652201484849073,True,22,0.008178123928211233,5.488406696810226
22,2020-02-13,0,64.33913715955529,2.7652201484849073,True,23,0.009536201599260824,5.488406696810226
23,2020-02-14,0,64.33913715955529,2.7652201484849073,True,24,0.011119350599100799,5.488406696810226
24,2020-02-15,0,64.33913715955529,2.7652201484849073,True,25,0.012964708305067536,5.488406696810226
25,2020-02-16,0,64.33913715955529,2.7652201484849073,True,26,0.015115481240890424,5.488406696810226
26,2020-02-17,0,64.33913715955529,2.7652201484849073,True,27,0.017621915868895888,5.488406696810226
