,Report_Date,Ghana_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
36,2020-02-27,0,172.80341175162485,25005.901195799543,True,37,166.8132803189437,49973.9394225275
37,2020-02-28,0,172.80341175162485,25005.901195799543,True,38,173.93872677292958,49973.9394225275
38,2020-02-29,0,172.80341175162485,25005.901195799543,True,39,181.36742993789088,49973.9394225275
39,2020-03-01,0,172.80341175162485,25005.901195799543,True,40,189.11219972683506,49973.9394225275
40,2020-03-02,0,172.80341175162485,25005.901195799543,True,41,197.18637873564973,49973.9394225275
41,2020-03-03,0,172.80341175162485,25005.901195799543,True,42,205.60386365850573,49973.9394225275
42,2020-03-04,0,172.80341175162485,25005.901195799543,True,43,214.3791274995744,49973.9394225275
43,2020-03-05,0,172.80341175162485,25005.901195799543,True,44,223.52724260487264,49973.9394225275
44,2020-03-06,0,172.80341175162485,25005.901195799543,True,45,233.06390453820802,49973.9394225275
45,2020-03-07,0,172.80341175162485,25005.901195799543,True,46,243.00545682529471,49973.9394225275
46,2020-03-08,0,172.80341175162485,25005.901195799543,True,47,253.3689165901384,49973.9394225275
47,2020-03-09,0,172.80341175162485,25005.901195799543,True,48,264.17200110773484,49973.9394225275
48,2020-03-10,0,172.80341175162485,25005.901195799543,True,49,275.4331552969848,49973.9394225275
49,2020-03-11,0,172.80341175162485,25005.901195799543,True,50,287.17158017749,49973.9394225275
50,2020-03-12,0,172.80341175162485,25005.901195799543,True,51,299.40726231353665,49973.9394225275
51,2020-03-13,0,172.80341175162485,25005.901195799543,True,52,312.16100426810726,49973.9394225275
52,2020-03-14,3,172.80341175162485,25005.901195799543,True,53,325.45445608913946,49973.9394225275
53,2020-03-15,6,172.80341175162485,25005.901195799543,True,54,339.3101478495022,49973.9394225275
54,2020-03-16,6,172.80341175162485,25005.901195799543,True,55,353.7515232612204,49973.9394225275
55,2020-03-17,7,172.80341175162485,25005.901195799543,True,56,368.80297438338056,49973.9394225275
56,2020-03-18,7,172.80341175162485,25005.901195799543,True,57,384.4898774418314,49973.9394225275
57,2020-03-19,11,172.80341175162485,25005.901195799543,True,58,400.8386297772726,49973.9394225275
58,2020-03-20,16,172.80341175162485,25005.901195799543,True,59,417.8766879365502,49973.9394225275
