,Report_Date,Afghanistan_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,82.11955895107722,617.0187462405179,True,1,0.014197444925309529,1013.5560021856439
1,2020-01-23,0,82.11955895107722,617.0187462405179,True,2,0.01633414006093933,1013.5560021856439
2,2020-01-24,0,82.11955895107722,617.0187462405179,True,3,0.018792399858461446,1013.5560021856439
3,2020-01-25,0,82.11955895107722,617.0187462405179,True,4,0.02162061701723508,1013.5560021856439
4,2020-01-26,0,82.11955895107722,617.0187462405179,True,5,0.024874466406223438,1013.5560021856439
5,2020-01-27,0,82.11955895107722,617.0187462405179,True,6,0.0286180007243127,1013.5560021856439
6,2020-01-28,0,82.11955895107722,617.0187462405179,True,7,0.032924910957708345,1013.5560021856439
7,2020-01-29,0,82.11955895107722,617.0187462405179,True,8,0.037879976403967446,1013.5560021856439
8,2020-01-30,0,82.11955895107722,617.0187462405179,True,9,0.043580732749544195,1013.5560021856439
9,2020-01-31,0,82.11955895107722,617.0187462405179,True,10,0.050139390961101475,1013.5560021856439
10,2020-02-01,0,82.11955895107722,617.0187462405179,True,11,0.0576850446628615,1013.5560021856439
11,2020-02-02,0,82.11955895107722,617.0187462405179,True,12,0.06636620931759246,1013.5560021856439
12,2020-02-03,0,82.11955895107722,617.0187462405179,True,13,0.07635374301589444,1013.5560021856439
13,2020-02-04,0,82.11955895107722,617.0187462405179,True,14,0.08784420613138769,1013.5560021856439
14,2020-02-05,0,82.11955895107722,617.0187462405179,True,15,0.10106372566021511,1013.5560021856439
15,2020-02-06,0,82.11955895107722,617.0187462405179,True,16,0.11627243989421912,1013.5560021856439
16,2020-02-07,0,82.11955895107722,617.0187462405179,True,17,0.13376961036349883,1013.5560021856439
17,2020-02-08,0,82.11955895107722,617.0187462405179,True,18,0.15389950093702298,1013.5560021856439
18,2020-02-09,0,82.11955895107722,617.0187462405179,True,19,0.1770581388300754,1013.5560021856439
19,2020-02-10,0,82.11955895107722,617.0187462405179,True,20,0.20370108930790531,1013.5560021856439
20,2020-02-11,0,82.11955895107722,617.0187462405179,True,21,0.23435239540615174,1013.5560021856439
21,2020-02-12,0,82.11955895107722,617.0187462405179,True,22,0.26961485636137816,1013.5560021856439
22,2020-02-13,0,82.11955895107722,617.0187462405179,True,23,0.3101818440554707,1013.5560021856439
23,2020-02-14,0,82.11955895107722,617.0187462405179,True,24,0.35685088607129456,1013.5560021856439
