,Report_Date,France_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,75.09298194618353,87756.1563046198,True,1,2.045910562732113,168673.63941174783
1,2020-01-23,0,75.09298194618353,87756.1563046198,True,2,2.384898630088509,168673.63941174783
2,2020-01-24,2,75.09298194618353,87756.1563046198,True,3,2.780052930564854,168673.63941174783
3,2020-01-25,3,75.09298194618353,87756.1563046198,True,4,3.2406792121398444,168673.63941174783
4,2020-01-26,3,75.09298194618353,87756.1563046198,True,5,3.7776249055172118,168673.63941174783
5,2020-01-27,3,75.09298194618353,87756.1563046198,True,6,4.40353449350719,168673.63941174783
6,2020-01-28,4,75.09298194618353,87756.1563046198,True,7,5.133147165879419,168673.63941174783
7,2020-01-29,5,75.09298194618353,87756.1563046198,True,8,5.983643756255733,168673.63941174783
8,2020-01-30,5,75.09298194618353,87756.1563046198,True,9,6.9750511133659465,168673.63941174783
9,2020-01-31,5,75.09298194618353,87756.1563046198,True,10,8.130713404979808,168673.63941174783
10,2020-02-01,6,75.09298194618353,87756.1563046198,True,11,9.477841420120981,168673.63941174783
11,2020-02-02,6,75.09298194618353,87756.1563046198,True,12,11.048152759816237,168673.63941174783
12,2020-02-03,6,75.09298194618353,87756.1563046198,True,13,12.87861793044025,168673.63941174783
13,2020-02-04,6,75.09298194618353,87756.1563046198,True,14,15.012329825115499,168673.63941174783
14,2020-02-05,6,75.09298194618353,87756.1563046198,True,15,17.49951695366765,168673.63941174783
15,2020-02-06,6,75.09298194618353,87756.1563046198,True,16,20.39872412510394,168673.63941174783
16,2020-02-07,6,75.09298194618353,87756.1563046198,True,17,23.778188173244178,168673.63941174783
17,2020-02-08,11,75.09298194618353,87756.1563046198,True,18,27.717440832130112,168673.63941174783
18,2020-02-09,11,75.09298194618353,87756.1563046198,True,19,32.309176112199076,168673.63941174783
19,2020-02-10,11,75.09298194618353,87756.1563046198,True,20,37.66142561449742,168673.63941174783
20,2020-02-11,11,75.09298194618353,87756.1563046198,True,21,43.9000922782666,168673.63941174783
21,2020-02-12,11,75.09298194618353,87756.1563046198,True,22,51.171901234967244,168673.63941174783
22,2020-02-13,11,75.09298194618353,87756.1563046198,True,23,59.64783590695476,168673.63941174783
23,2020-02-14,11,75.09298194618353,87756.1563046198,True,24,69.5271384307897,168673.63941174783
24,2020-02-15,12,75.09298194618353,87756.1563046198,True,25,81.0419661155455,168673.63941174783
25,2020-02-16,12,75.09298194618353,87756.1563046198,True,26,94.46281020097207,168673.63941174783
26,2020-02-17,12,75.09298194618353,87756.1563046198,True,27,110.10479991783875,168673.63941174783
27,2020-02-18,12,75.09298194618353,87756.1563046198,True,28,128.3350340537514,168673.63941174783
28,2020-02-19,12,75.09298194618353,87756.1563046198,True,29,149.5811041906216,168673.63941174783
29,2020-02-20,12,75.09298194618353,87756.1563046198,True,30,174.3409988140159,168673.63941174783
30,2020-02-21,12,75.09298194618353,87756.1563046198,True,31,203.19460590835644,168673.63941174783
31,2020-02-22,12,75.09298194618353,87756.1563046198,True,32,236.81706373510406,168673.63941174783
32,2020-02-23,12,75.09298194618353,87756.1563046198,True,33,275.99424548756923,168673.63941174783
33,2020-02-24,12,75.09298194618353,87756.1563046198,True,34,321.6407035844881,168673.63941174783
34,2020-02-25,14,75.09298194618353,87756.1563046198,True,35,374.8204435219844,168673.63941174783
35,2020-02-26,18,75.09298194618353,87756.1563046198,True,36,436.77094524608924,168673.63941174783
36,2020-02-27,38,75.09298194618353,87756.1563046198,True,37,508.93090140096433,168673.63941174783
37,2020-02-28,57,75.09298194618353,87756.1563046198,True,38,592.9721955355897,168673.63941174783
38,2020-02-29,100,75.09298194618353,87756.1563046198,True,39,690.8366977136867,168673.63941174783
39,2020-03-01,130,75.09298194618353,87756.1563046198,True,40,804.7785073115854,168673.63941174783
40,2020-03-02,191,75.09298194618353,87756.1563046198,True,41,937.4123191350612,168673.63941174783
41,2020-03-03,204,75.09298194618353,87756.1563046198,True,42,1091.7686235853616,168673.63941174783
42,2020-03-04,285,75.09298194618353,87756.1563046198,True,43,1271.3564663225188,168673.63941174783
43,2020-03-05,377,75.09298194618353,87756.1563046198,True,44,1480.234476443106,168673.63941174783
44,2020-03-06,653,75.09298194618353,87756.1563046198,True,45,1723.0908092846475,168673.63941174783
45,2020-03-07,949,75.09298194618353,87756.1563046198,True,46,2005.3325201066955,168673.63941174783
46,2020-03-08,1126,75.09298194618353,87756.1563046198,True,47,2333.1846611845726,168673.63941174783
47,2020-03-09,1209,75.09298194618353,87756.1563046198,True,48,2713.7990426435003,168673.63941174783
48,2020-03-10,1784,75.09298194618353,87756.1563046198,True,49,3155.372073001372,168673.63941174783
49,2020-03-11,2281,75.09298194618353,87756.1563046198,True,50,3667.27034528603,168673.63941174783
50,2020-03-12,2281,75.09298194618353,87756.1563046198,True,51,4260.161595118346,168673.63941174783
51,2020-03-13,3661,75.09298194618353,87756.1563046198,True,52,4946.1472560950515,168673.63941174783
52,2020-03-14,4469,75.09298194618353,87756.1563046198,True,53,5738.890998493676,168673.63941174783
53,2020-03-15,4499,75.09298194618353,87756.1563046198,True,54,6653.73528696779,168673.63941174783
54,2020-03-16,6633,75.09298194618353,87756.1563046198,True,55,7707.7950772085915,168673.63941174783
55,2020-03-17,7652,75.09298194618353,87756.1563046198,True,56,8920.014278043536,168673.63941174783
56,2020-03-18,9043,75.09298194618353,87756.1563046198,True,57,10311.166598019787,168673.63941174783
57,2020-03-19,10871,75.09298194618353,87756.1563046198,True,58,11903.778062039899,168673.63941174783
58,2020-03-20,12612,75.09298194618353,87756.1563046198,True,59,13721.944196178114,168673.63941174783
59,2020-03-21,14282,75.09298194618353,87756.1563046198,True,60,15791.011261903855,168673.63941174783
60,2020-03-22,16018,75.09298194618353,87756.1563046198,True,61,18137.0889149652,168673.63941174783
61,2020-03-23,19856,75.09298194618353,87756.1563046198,True,62,20786.362560275717,168673.63941174783
62,2020-03-24,22304,75.09298194618353,87756.1563046198,True,63,23764.179082176437,168673.63941174783
63,2020-03-25,25233,75.09298194618353,87756.1563046198,True,64,27093.89132742251,168673.63941174783
64,2020-03-26,29155,75.09298194618353,87756.1563046198,True,65,30795.466326985672,168673.63941174783
65,2020-03-27,32964,75.09298194618353,87756.1563046198,True,66,34883.890686839564,168673.63941174783
66,2020-03-28,37575,75.09298194618353,87756.1563046198,True,67,39367.443349059984,168673.63941174783
67,2020-03-29,40174,75.09298194618353,87756.1563046198,True,68,44245.948266878484,168673.63941174783
68,2020-03-30,44550,75.09298194618353,87756.1563046198,True,69,49509.161815722466,168673.63941174783
69,2020-03-31,52128,75.09298194618353,87756.1563046198,True,70,55135.483411761175,168673.63941174783
70,2020-04-01,56989,75.09298194618353,87756.1563046198,True,71,61091.19229897671,168673.63941174783
71,2020-04-02,59105,75.09298194618353,87756.1563046198,True,72,67330.39853607026,168673.63941174783
72,2020-04-03,64338,75.09298194618353,87756.1563046198,True,73,73795.84519460572,168673.63941174783
73,2020-04-04,89953,75.09298194618353,87756.1563046198,True,74,80420.61212891425,168673.63941174783
74,2020-04-05,92839,75.09298194618353,87756.1563046198,True,75,87130.65932466449,168673.63941174783
75,2020-04-06,98010,75.09298194618353,87756.1563046198,True,76,93848.02881004206,168673.63941174783
76,2020-04-07,109069,75.09298194618353,87756.1563046198,True,77,100494.42273934837,168673.63941174783
77,2020-04-08,112950,75.09298194618353,87756.1563046198,True,78,106994.8145582378,168673.63941174783
78,2020-04-09,117749,75.09298194618353,87756.1563046198,True,79,113280.74473026292,168673.63941174783
79,2020-04-10,124869,75.09298194618353,87756.1563046198,True,80,119293.00367805184,168673.63941174783
80,2020-04-11,129654,75.09298194618353,87756.1563046198,True,81,124983.49998442066,168673.63941174783
81,2020-04-12,132591,75.09298194618353,87756.1563046198,True,82,130316.22954186902,168673.63941174783
82,2020-04-13,136779,75.09298194618353,87756.1563046198,True,83,135267.3766038389,168673.63941174783
83,2020-04-14,130253,75.09298194618353,87756.1563046198,True,84,139824.6701705738,168673.63941174783
84,2020-04-15,133470,75.09298194618353,87756.1563046198,True,85,143986.17708701637,168673.63941174783
85,2020-04-16,147863,75.09298194618353,87756.1563046198,True,86,147758.73453437028,168673.63941174783
