,Report_Date,Canada_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,79.12253146340788,20459.564274870052,True,1,0.47327599544494986,38093.483597689585
1,2020-01-23,0,79.12253146340788,20459.564274870052,True,2,0.5474025492640033,38093.483597689585
2,2020-01-24,0,79.12253146340788,20459.564274870052,True,3,0.633138948106153,38093.483597689585
3,2020-01-25,0,79.12253146340788,20459.564274870052,True,4,0.7323034877986253,38093.483597689585
4,2020-01-26,1,79.12253146340788,20459.564274870052,True,5,0.8469992191978589,38093.483597689585
5,2020-01-27,1,79.12253146340788,20459.564274870052,True,6,0.9796585354547966,38093.483597689585
6,2020-01-28,2,79.12253146340788,20459.564274870052,True,7,1.1330947384662222,38093.483597689585
7,2020-01-29,2,79.12253146340788,20459.564274870052,True,8,1.3105616761650116,38093.483597689585
8,2020-01-30,2,79.12253146340788,20459.564274870052,True,9,1.5158227127866857,38093.483597689585
9,2020-01-31,4,79.12253146340788,20459.564274870052,True,10,1.7532304912686996,38093.483597689585
10,2020-02-01,4,79.12253146340788,20459.564274870052,True,11,2.027819174591798,38093.483597689585
11,2020-02-02,4,79.12253146340788,20459.564274870052,True,12,2.3454111158818356,38093.483597689585
12,2020-02-03,4,79.12253146340788,20459.564274870052,True,13,2.7127402108920364,38093.483597689585
13,2020-02-04,4,79.12253146340788,20459.564274870052,True,14,3.1375945373334377,38093.483597689585
14,2020-02-05,5,79.12253146340788,20459.564274870052,True,15,3.6289812906027232,38093.483597689585
15,2020-02-06,5,79.12253146340788,20459.564274870052,True,16,4.197317493023846,38093.483597689585
16,2020-02-07,7,79.12253146340788,20459.564274870052,True,17,4.854650493235936,38093.483597689585
17,2020-02-08,7,79.12253146340788,20459.564274870052,True,18,5.614912894660817,38093.483597689585
18,2020-02-09,7,79.12253146340788,20459.564274870052,True,19,6.494217269456688,38093.483597689585
19,2020-02-10,7,79.12253146340788,20459.564274870052,True,20,7.511196841143036,38093.483597689585
20,2020-02-11,7,79.12253146340788,20459.564274870052,True,21,8.68739927125172,38093.483597689585
21,2020-02-12,7,79.12253146340788,20459.564274870052,True,22,10.047741781179502,38093.483597689585
22,2020-02-13,7,79.12253146340788,20459.564274870052,True,23,11.621037100541727,38093.483597689585
23,2020-02-14,7,79.12253146340788,20459.564274870052,True,24,13.44060118102709,38093.483597689585
24,2020-02-15,7,79.12253146340788,20459.564274870052,True,25,15.544955276118001,38093.483597689585
25,2020-02-16,7,79.12253146340788,20459.564274870052,True,26,17.97863689114658,38093.483597689585
26,2020-02-17,8,79.12253146340788,20459.564274870052,True,27,20.793136287163694,38093.483597689585
27,2020-02-18,8,79.12253146340788,20459.564274870052,True,28,24.04797771125332,38093.483597689585
28,2020-02-19,8,79.12253146340788,20459.564274870052,True,29,27.811967363391773,38093.483597689585
29,2020-02-20,8,79.12253146340788,20459.564274870052,True,30,32.1646333364129,38093.483597689585
30,2020-02-21,9,79.12253146340788,20459.564274870052,True,31,37.1978864235568,38093.483597689585
31,2020-02-22,9,79.12253146340788,20459.564274870052,True,32,43.01793482045908,38093.483597689585
32,2020-02-23,9,79.12253146340788,20459.564274870052,True,33,49.747490396941885,38093.483597689585
33,2020-02-24,10,79.12253146340788,20459.564274870052,True,34,57.52830941608529,38093.483597689585
34,2020-02-25,11,79.12253146340788,20459.564274870052,True,35,66.52411636300593,38093.483597689585
35,2020-02-26,11,79.12253146340788,20459.564274870052,True,36,76.92396592871408,38093.483597689585
36,2020-02-27,13,79.12253146340788,20459.564274870052,True,37,88.94610516838476,38093.483597689585
37,2020-02-28,14,79.12253146340788,20459.564274870052,True,38,102.84240537814654,38093.483597689585
38,2020-02-29,20,79.12253146340788,20459.564274870052,True,39,118.9034412215421,38093.483597689585
39,2020-03-01,24,79.12253146340788,20459.564274870052,True,40,137.46430292906066,38093.483597689585
40,2020-03-02,27,79.12253146340788,20459.564274870052,True,41,158.91123573905557,38093.483597689585
41,2020-03-03,30,79.12253146340788,20459.564274870052,True,42,183.68920876258514,38093.483597689585
42,2020-03-04,33,79.12253146340788,20459.564274870052,True,43,212.31052257815298,38093.483597689585
43,2020-03-05,37,79.12253146340788,20459.564274870052,True,44,245.36457029913043,38093.483597689585
44,2020-03-06,49,79.12253146340788,20459.564274870052,True,45,283.52886950058894,38093.483597689585
45,2020-03-07,54,79.12253146340788,20459.564274870052,True,46,327.5814807339339,38093.483597689585
46,2020-03-08,64,79.12253146340788,20459.564274870052,True,47,378.414920371324,38093.483597689585
47,2020-03-09,77,79.12253146340788,20459.564274870052,True,48,437.0516585311897,38093.483597689585
48,2020-03-10,79,79.12253146340788,20459.564274870052,True,49,504.6612633612839,38093.483597689585
49,2020-03-11,108,79.12253146340788,20459.564274870052,True,50,582.5792065471093,38093.483597689585
50,2020-03-12,117,79.12253146340788,20459.564274870052,True,51,672.3272759877203,38093.483597689585
51,2020-03-13,193,79.12253146340788,20459.564274870052,True,52,775.6354432832126,38093.483597689585
52,2020-03-14,198,79.12253146340788,20459.564274870052,True,53,894.4648978176984,38093.483597689585
53,2020-03-15,252,79.12253146340788,20459.564274870052,True,54,1031.0317763458852,38093.483597689585
54,2020-03-16,415,79.12253146340788,20459.564274870052,True,55,1187.8308767071271,38093.483597689585
55,2020-03-17,478,79.12253146340788,20459.564274870052,True,56,1367.658335976201,38093.483597689585
56,2020-03-18,657,79.12253146340788,20459.564274870052,True,57,1573.631867470358,38093.483597689585
57,2020-03-19,800,79.12253146340788,20459.564274870052,True,58,1809.2066812481635,38093.483597689585
58,2020-03-20,943,79.12253146340788,20459.564274870052,True,59,2078.184659241177,38093.483597689585
59,2020-03-21,1277,79.12253146340788,20459.564274870052,True,60,2384.7137303255513,38093.483597689585
60,2020-03-22,1469,79.12253146340788,20459.564274870052,True,61,2733.273721284737,38093.483597689585
61,2020-03-23,2088,79.12253146340788,20459.564274870052,True,62,3128.6443007410553,38093.483597689585
62,2020-03-24,2790,79.12253146340788,20459.564274870052,True,63,3575.85007253119,38093.483597689585
63,2020-03-25,3251,79.12253146340788,20459.564274870052,True,64,4080.077542211054,38093.483597689585
64,2020-03-26,4042,79.12253146340788,20459.564274870052,True,65,4646.558751297075,38093.483597689585
65,2020-03-27,4682,79.12253146340788,20459.564274870052,True,66,5280.417067693314,38093.483597689585
66,2020-03-28,5576,79.12253146340788,20459.564274870052,True,67,5986.472183564752,38093.483597689585
67,2020-03-29,6280,79.12253146340788,20459.564274870052,True,68,6769.00404022059,38093.483597689585
68,2020-03-30,7398,79.12253146340788,20459.564274870052,True,69,7631.479338978471,38093.483597689585
69,2020-03-31,8527,79.12253146340788,20459.564274870052,True,70,8576.249515550382,38093.483597689585
70,2020-04-01,9560,79.12253146340788,20459.564274870052,True,71,9604.235301380248,38093.483597689585
71,2020-04-02,11284,79.12253146340788,20459.564274870052,True,72,10714.619662781079,38093.483597689585
72,2020-04-03,12437,79.12253146340788,20459.564274870052,True,73,11904.576992239658,38093.483597689585
73,2020-04-04,12978,79.12253146340788,20459.564274870052,True,74,13169.070573696667,38093.483597689585
74,2020-04-05,15756,79.12253146340788,20459.564274870052,True,75,14500.751051106285,38093.483597689585
75,2020-04-06,16563,79.12253146340788,20459.564274870052,True,76,15889.984588932146,38093.483597689585
76,2020-04-07,17872,79.12253146340788,20459.564274870052,True,77,17325.02995985242,38093.483597689585
77,2020-04-08,19141,79.12253146340788,20459.564274870052,True,78,18792.36933090748,38093.483597689585
78,2020-04-09,20654,79.12253146340788,20459.564274870052,True,79,20277.179735760637,38093.483597689585
79,2020-04-10,22059,79.12253146340788,20459.564274870052,True,80,21763.913959168352,38093.483597689585
80,2020-04-11,23316,79.12253146340788,20459.564274870052,True,81,23236.944255809765,38093.483597689585
81,2020-04-12,24298,79.12253146340788,20459.564274870052,True,82,24681.21314703891,38093.483597689585
82,2020-04-13,25679,79.12253146340788,20459.564274870052,True,83,26082.83448838676,38093.483597689585
83,2020-04-14,27034,79.12253146340788,20459.564274870052,True,84,27429.595311418347,38093.483597689585
84,2020-04-15,28208,79.12253146340788,20459.564274870052,True,85,28711.323008696058,38093.483597689585
85,2020-04-16,30808,79.12253146340788,20459.564274870052,True,86,29920.10029081774,38093.483597689585
86,2020-04-17,30697,79.12253146340788,20459.564274870052,True,87,31050.328543229673,38093.483597689585
