,Report_Date,El Salvador_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,0,88.71038502991458,216.48232291644157,False,1,0.004936329736221534,432.9646383835191
1,2020-01-23,0,88.71038502991458,216.48232291644157,False,2,0.005620305153160869,432.9646383835191
2,2020-01-24,0,88.71038502991458,216.48232291644157,False,3,0.00639905046629081,432.9646383835191
3,2020-01-25,0,88.71038502991458,216.48232291644157,False,4,0.007285696336622742,432.9646383835191
4,2020-01-26,0,88.71038502991458,216.48232291644157,False,5,0.00829519259570846,432.9646383835191
5,2020-01-27,0,88.71038502991458,216.48232291644157,False,6,0.009444560243840246,432.9646383835191
6,2020-01-28,0,88.71038502991458,216.48232291644157,False,7,0.010753178345170656,432.9646383835191
7,2020-01-29,0,88.71038502991458,216.48232291644157,False,8,0.01224311064910627,432.9646383835191
8,2020-01-30,0,88.71038502991458,216.48232291644157,False,9,0.013939477434711356,432.9646383835191
9,2020-01-31,0,88.71038502991458,216.48232291644157,False,10,0.015870878834185077,432.9646383835191
10,2020-02-01,0,88.71038502991458,216.48232291644157,False,11,0.01806987675533365,432.9646383835191
11,2020-02-02,0,88.71038502991458,216.48232291644157,False,12,0.020573543505628046,432.9646383835191
12,2020-02-03,0,88.71038502991458,216.48232291644157,False,13,0.023424086338119415,432.9646383835191
13,2020-02-04,0,88.71038502991458,216.48232291644157,False,14,0.02666955841054495,432.9646383835191
14,2020-02-05,0,88.71038502991458,216.48232291644157,False,15,0.03036466809420983,432.9646383835191
15,2020-02-06,0,88.71038502991458,216.48232291644157,False,16,0.0345717002122408,432.9646383835191
16,2020-02-07,0,88.71038502991458,216.48232291644157,False,17,0.039361564654236084,432.9646383835191
17,2020-02-08,0,88.71038502991458,216.48232291644157,False,18,0.04481498993632335,432.9646383835191
18,2020-02-09,0,88.71038502991458,216.48232291644157,False,19,0.05102388168621178,432.9646383835191
19,2020-02-10,0,88.71038502991458,216.48232291644157,False,20,0.05809286877036669,432.9646383835191
20,2020-02-11,0,88.71038502991458,216.48232291644157,False,21,0.06614106288816622,432.9646383835191
21,2020-02-12,0,88.71038502991458,216.48232291644157,False,22,0.07530406098441884,432.9646383835191
22,2020-02-13,0,88.71038502991458,216.48232291644157,False,23,0.08573622383145836,432.9646383835191
23,2020-02-14,0,88.71038502991458,216.48232291644157,False,24,0.0976132686662549,432.9646383835191
24,2020-02-15,0,88.71038502991458,216.48232291644157,False,25,0.11113521890477192,432.9646383835191
25,2020-02-16,0,88.71038502991458,216.48232291644157,False,26,0.12652975977107608,432.9646383835191
26,2020-02-17,0,88.71038502991458,216.48232291644157,False,27,0.14405605525666978,432.9646383835191
27,2020-02-18,0,88.71038502991458,216.48232291644157,False,28,0.16400908925915725,432.9646383835191
28,2020-02-19,0,88.71038502991458,216.48232291644157,False,29,0.1867246021408162,432.9646383835191
29,2020-02-20,0,88.71038502991458,216.48232291644157,False,30,0.21258470340842714,432.9646383835191
30,2020-02-21,0,88.71038502991458,216.48232291644157,False,31,0.24202425186653304,432.9646383835191
31,2020-02-22,0,88.71038502991458,216.48232291644157,False,32,0.27553810656660693,432.9646383835191
32,2020-02-23,0,88.71038502991458,216.48232291644157,False,33,0.3136893653014452,432.9646383835191
33,2020-02-24,0,88.71038502991458,216.48232291644157,False,34,0.3571187224201745,432.9646383835191
34,2020-02-25,0,88.71038502991458,216.48232291644157,False,35,0.4065550945099349,432.9646383835191
35,2020-02-26,0,88.71038502991458,216.48232291644157,False,36,0.4628276811489964,432.9646383835191
36,2020-02-27,0,88.71038502991458,216.48232291644157,False,37,0.5268796486177635,432.9646383835191
37,2020-02-28,0,88.71038502991458,216.48232291644157,False,38,0.5997836472762,432.9646383835191
38,2020-02-29,0,88.71038502991458,216.48232291644157,False,39,0.6827593983656582,432.9646383835191
39,2020-03-01,0,88.71038502991458,216.48232291644157,False,40,0.7771936133095388,432.9646383835191
40,2020-03-02,0,88.71038502991458,216.48232291644157,False,41,0.8846625381396782,432.9646383835191
41,2020-03-03,0,88.71038502991458,216.48232291644157,False,42,1.0069574473318168,432.9646383835191
42,2020-03-04,0,88.71038502991458,216.48232291644157,False,43,1.1461134448208634,432.9646383835191
43,2020-03-05,0,88.71038502991458,216.48232291644157,False,44,1.3044419648182166,432.9646383835191
44,2020-03-06,0,88.71038502991458,216.48232291644157,False,45,1.4845674005417786,432.9646383835191
45,2020-03-07,0,88.71038502991458,216.48232291644157,False,46,1.689468324019796,432.9646383835191
46,2020-03-08,0,88.71038502991458,216.48232291644157,False,47,1.922523793210742,432.9646383835191
47,2020-03-09,0,88.71038502991458,216.48232291644157,False,48,2.18756527166735,432.9646383835191
48,2020-03-10,0,88.71038502991458,216.48232291644157,False,49,2.4889347079714192,432.9646383835191
49,2020-03-11,0,88.71038502991458,216.48232291644157,False,50,2.831549333309011,432.9646383835191
50,2020-03-12,0,88.71038502991458,216.48232291644157,False,51,3.220973730742191,432.9646383835191
51,2020-03-13,0,88.71038502991458,216.48232291644157,False,52,3.66349970232672,432.9646383835191
52,2020-03-14,0,88.71038502991458,216.48232291644157,False,53,4.166234401695802,432.9646383835191
53,2020-03-15,0,88.71038502991458,216.48232291644157,False,54,4.737197099253762,432.9646383835191
54,2020-03-16,0,88.71038502991458,216.48232291644157,False,55,5.385424791141157,432.9646383835191
55,2020-03-17,0,88.71038502991458,216.48232291644157,False,56,6.12108663489502,432.9646383835191
56,2020-03-18,0,88.71038502991458,216.48232291644157,False,57,6.955606873873155,432.9646383835191
