,Report_Date,Thailand_cases,fastest_grow_day,fastest_grow_value,growth_stabilized,timestep,res_func_logistic,cap
0,2020-01-22,2,68.55011608704585,1419.900989434428,True,1,0.03359094772534459,2811.824288966912
1,2020-01-23,3,68.55011608704585,1419.900989434428,True,2,0.03973385058686861,2811.824288966912
2,2020-01-24,5,68.55011608704585,1419.900989434428,True,3,0.0470001105900353,2811.824288966912
3,2020-01-25,7,68.55011608704585,1419.900989434428,True,4,0.055595149455456586,2811.824288966912
4,2020-01-26,8,68.55011608704585,1419.900989434428,True,5,0.06576195020418125,2811.824288966912
5,2020-01-27,8,68.55011608704585,1419.900989434428,True,6,0.07778792404761865,2811.824288966912
6,2020-01-28,14,68.55011608704585,1419.900989434428,True,7,0.09201303219791253,2811.824288966912
7,2020-01-29,14,68.55011608704585,1419.900989434428,True,8,0.10883939174632773,2811.824288966912
8,2020-01-30,14,68.55011608704585,1419.900989434428,True,9,0.1287426365241323,2811.824288966912
9,2020-01-31,19,68.55011608704585,1419.900989434428,True,10,0.15228535321020117,2811.824288966912
10,2020-02-01,19,68.55011608704585,1419.900989434428,True,11,0.18013297124677627,2811.824288966912
11,2020-02-02,19,68.55011608704585,1419.900989434428,True,12,0.21307255397488914,2811.824288966912
12,2020-02-03,19,68.55011608704585,1419.900989434428,True,13,0.2520350196905723,2811.824288966912
13,2020-02-04,25,68.55011608704585,1419.900989434428,True,14,0.29812141726665486,2811.824288966912
14,2020-02-05,25,68.55011608704585,1419.900989434428,True,15,0.3526339941781043,2811.824288966912
15,2020-02-06,25,68.55011608704585,1419.900989434428,True,16,0.41711292824798796,2811.824288966912
16,2020-02-07,25,68.55011608704585,1419.900989434428,True,17,0.49337975174100257,2811.824288966912
17,2020-02-08,32,68.55011608704585,1419.900989434428,True,18,0.5835886816995536,2811.824288966912
18,2020-02-09,32,68.55011608704585,1419.900989434428,True,19,0.6902872884341884,2811.824288966912
19,2020-02-10,32,68.55011608704585,1419.900989434428,True,20,0.8164881903844889,2811.824288966912
20,2020-02-11,33,68.55011608704585,1419.900989434428,True,21,0.9657537645313812,2811.824288966912
21,2020-02-12,33,68.55011608704585,1419.900989434428,True,22,1.1422962144566864,2811.824288966912
22,2020-02-13,33,68.55011608704585,1419.900989434428,True,23,1.3510957512858173,2811.824288966912
23,2020-02-14,33,68.55011608704585,1419.900989434428,True,24,1.598040125419689,2811.824288966912
24,2020-02-15,33,68.55011608704585,1419.900989434428,True,25,1.8900893094949804,2811.824288966912
25,2020-02-16,34,68.55011608704585,1419.900989434428,True,26,2.235469786693847,2811.824288966912
26,2020-02-17,35,68.55011608704585,1419.900989434428,True,27,2.643903655403541,2811.824288966912
27,2020-02-18,35,68.55011608704585,1419.900989434428,True,28,3.1268786337500662,2811.824288966912
28,2020-02-19,35,68.55011608704585,1419.900989434428,True,29,3.697966047920464,2811.824288966912
29,2020-02-20,35,68.55011608704585,1419.900989434428,True,30,4.373195027447285,2811.824288966912
30,2020-02-21,35,68.55011608704585,1419.900989434428,True,31,5.17149241700184,2811.824288966912
31,2020-02-22,35,68.55011608704585,1419.900989434428,True,32,6.115199350927247,2811.824288966912
32,2020-02-23,35,68.55011608704585,1419.900989434428,True,33,7.230677018530651,2811.824288966912
33,2020-02-24,35,68.55011608704585,1419.900989434428,True,34,8.549015856615918,2811.824288966912
34,2020-02-25,37,68.55011608704585,1419.900989434428,True,35,10.10686420239964,2811.824288966912
35,2020-02-26,40,68.55011608704585,1419.900989434428,True,36,11.94739425679139,2811.824288966912
36,2020-02-27,40,68.55011608704585,1419.900989434428,True,37,14.121424934394023,2811.824288966912
37,2020-02-28,41,68.55011608704585,1419.900989434428,True,38,16.688722641540252,2811.824288966912
38,2020-02-29,42,68.55011608704585,1419.900989434428,True,39,19.719501972411287,2811.824288966912
39,2020-03-01,42,68.55011608704585,1419.900989434428,True,40,23.296148376339715,2811.824288966912
40,2020-03-02,43,68.55011608704585,1419.900989434428,True,41,27.51518350352913,2811.824288966912
41,2020-03-03,43,68.55011608704585,1419.900989434428,True,42,32.48949045618294,2811.824288966912
42,2020-03-04,43,68.55011608704585,1419.900989434428,True,43,38.350809572655244,2811.824288966912
43,2020-03-05,47,68.55011608704585,1419.900989434428,True,44,45.25250434650193,2811.824288966912
44,2020-03-06,48,68.55011608704585,1419.900989434428,True,45,53.3725799385127,2811.824288966912
45,2020-03-07,50,68.55011608704585,1419.900989434428,True,46,62.91691135492509,2811.824288966912
46,2020-03-08,50,68.55011608704585,1419.900989434428,True,47,74.12260217856665,2811.824288966912
47,2020-03-09,50,68.55011608704585,1419.900989434428,True,48,87.26134483022648,2811.824288966912
48,2020-03-10,53,68.55011608704585,1419.900989434428,True,49,102.64258664697964,2811.824288966912
49,2020-03-11,59,68.55011608704585,1419.900989434428,True,50,120.61621986289948,2811.824288966912
50,2020-03-12,70,68.55011608704585,1419.900989434428,True,51,141.5744062940902,2811.824288966912
51,2020-03-13,75,68.55011608704585,1419.900989434428,True,52,165.95202008762126,2811.824288966912
52,2020-03-14,82,68.55011608704585,1419.900989434428,True,53,194.22504968516301,2811.824288966912
53,2020-03-15,114,68.55011608704585,1419.900989434428,True,54,226.90615569500153,2811.824288966912
54,2020-03-16,147,68.55011608704585,1419.900989434428,True,55,264.5364574734301,2811.824288966912
55,2020-03-17,177,68.55011608704585,1419.900989434428,True,56,307.6725540929099,2811.824288966912
56,2020-03-18,212,68.55011608704585,1419.900989434428,True,57,356.867826398731,2811.824288966912
57,2020-03-19,272,68.55011608704585,1419.900989434428,True,58,412.64728094414323,2811.824288966912
58,2020-03-20,322,68.55011608704585,1419.900989434428,True,59,475.4756542259826,2811.824288966912
59,2020-03-21,411,68.55011608704585,1419.900989434428,True,60,545.7192554621706,2811.824288966912
60,2020-03-22,599,68.55011608704585,1419.900989434428,True,61,623.6031064824415,2811.824288966912
61,2020-03-23,721,68.55011608704585,1419.900989434428,True,62,709.1662790729785,2811.824288966912
62,2020-03-24,827,68.55011608704585,1419.900989434428,True,63,802.2197609872218,2811.824288966912
63,2020-03-25,934,68.55011608704585,1419.900989434428,True,64,902.3124002045596,2811.824288966912
64,2020-03-26,1045,68.55011608704585,1419.900989434428,True,65,1008.7110801072026,2811.824288966912
65,2020-03-27,1136,68.55011608704585,1419.900989434428,True,66,1120.4008530259437,2811.824288966912
66,2020-03-28,1245,68.55011608704585,1419.900989434428,True,67,1236.1090322842467,2811.824288966912
67,2020-03-29,1388,68.55011608704585,1419.900989434428,True,68,1354.3542445896971,2811.824288966912
68,2020-03-30,1524,68.55011608704585,1419.900989434428,True,69,1473.5176157394208,2811.824288966912
69,2020-03-31,1651,68.55011608704585,1419.900989434428,True,70,1591.9294145142949,2811.824288966912
70,2020-04-01,1771,68.55011608704585,1419.900989434428,True,71,1707.961582655479,2811.824288966912
71,2020-04-02,1875,68.55011608704585,1419.900989434428,True,72,1820.1154350664717,2811.824288966912
72,2020-04-03,1978,68.55011608704585,1419.900989434428,True,73,1927.094754468916,2811.824288966912
